GO:1903232	melanosome assembly
GO:0035646	endosome to melanosome transport
GO:0034493	melanosome lumen
GO:1902908	regulation of melanosome transport
GO:1902909	negative regulation of melanosome transport
GO:1902910	positive regulation of melanosome transport
GO:0032401	establishment of melanosome localization
GO:0032402	melanosome transport
GO:0032400	melanosome localization
GO:0032438	melanosome organization
GO:0042470	melanosome
GO:1903056	regulation of melanosome organization
GO:1903057	negative regulation of melanosome organization
GO:1903058	positive regulation of melanosome organization
GO:0033162	melanosome membrane
