Name	heart1	spleen1	lung1	colon1	liver1	kidney1	skeletal_muscle_tissue1	brain1	testis1	brain2	kidney2	colon2	liver2	lung2	skeletal_muscle_tissue2	spleen2	testis2	brain3	colon3	heart3	kidney3	liver3	lung3	skeletal_muscle_tissue3	spleen3	testis3
MGI:3716138	0	2.942	2.283	1146.73	0	18.218	4.327	0	1497.98	0	0	16.418	0	0	0	0	1418.22	0	7.524	0	0	0	0	0	0	231.371
MGI:3603513	288.254	1097.28	114.714	197.375	51.857	115.445	84.963	606.356	123.967	133.24	149.069	7.913	33.736	19.279	4.89	32.126	0	28.817	10.504	12.307	7.042	0	21.738	9.219	160.938	0
MGI:3705207	5	9.003	7	1	0	3	2	65	44	74	9	1	1	9	3	0	31	21	2	0	1	0	20	0	15	8
MGI:2442715	11.011	23.044	24.075	13.628	0.001	57.693	17.011	88.61	74.106	94.205	112.263	5.024	92.993	33.001	19	19.027	36.579	33.035	4.036	1.014	7.023	17.025	61.073	9.019	19.005	29.829
MGI:3603753	6.302	315.262	17.729	70.489	72.718	114.565	34.087	1403.01	824.127	919.16	69.723	31.24	35.609	49.837	28.743	237.522	334.169	625.481	37.426	8.078	15.941	15.926	62.827	24.137	172.501	213.73
MGI:1925776	7.264	62.077	233.826	77.652	19.654	181.02	12.49	35.656	603.779	89.793	169.938	54.445	85.869	239.145	14.826	62.644	292.482	18.026	4.578	2.971	34.449	14.629	464.715	4.872	38.511	136.701
MGI:1918695	158.913	1295.08	275.059	342.008	204.213	478.194	138.817	744.127	324.543	878.603	484.189	151.911	290.465	363.905	173.177	1376.59	238.803	282.736	97.949	49.513	73.494	82.016	572.048	49.939	1324.03	56.245
MGI:98974	132.416	174.519	151.751	120.32	0.005	106.889	0.016	25.611	86.754	47.171	15.254	21.575	54.307	233.554	1.986	39.4	31.563	11.886	52.396	31.172	0.009	33.668	472.283	0	235.689	17.677
MGI:1336196	100.743	138.308	228.223	87.508	0.102	178.775	1.213	41.382	0.232	78.712	31.967	0.107	85.455	209.936	1.79	10.157	0.488	39.948	39.097	36.84	108.368	47.14	492.133	0.056	314.182	0.619
MGI:1923636	0	0	0	0	0	0	0	0	1943.64	0	0	0	0	0	1.171	0	1160.59	0	0	0	0	0	0	0	0	844.238
MGI:1921646	44.53	708.157	151.241	504.078	86.558	336.776	55.568	276.823	1467.72	549.759	282.849	121.789	178.556	180.048	81.233	682.589	1031.24	134.113	56.935	28.607	80.651	50.746	498.634	14.402	637.922	264.613
MGI:2444570	57.514	353.593	50.81	100.709	1.867	140.448	152.683	563.637	63.61	646.925	244.012	71	100.007	118.014	93.002	185.029	59.125	200.3	54.224	34.429	46.682	44.784	237.113	54.849	147.422	12.521
MGI:3705152	0	0	2.056	0	0	1.013	0	3.162	6	5.386	0	0	0	0	0	0	0	0	0	1	0	0	4.086	0	0	0
MGI:3780324	1.001	11.572	0	0	0	10.101	3	33.189	5.091	51.985	3	3	0	0	10	0	5.099	31.05	0	1	6.077	0	4.034	0	0	1.001
MGI:1921933	0	1.79	0.001	0	0	3.91	0	3.004	1905.49	7.001	1.077	1.143	0	1	0	0	1010.33	2.292	0	0	2.001	0	1.143	1.003	0	635.179
MGI:3641976	8	39.002	14.017	2	31	37	7	34.006	1	86	45	4	23	45	8	9	2	34.007	4.001	7	16	7.001	53.5	6.003	22.007	0
MGI:3705147	83.978	282.798	116.213	217.206	104.59	458.956	108.283	339.104	508.31	350.116	378.061	60.457	115.384	82.302	105.542	164.624	316.367	88.839	75.09	20.056	73.683	30.426	194.21	34.447	149.739	129.201
MGI:3705165	95.309	397.867	148.53	182.019	89.708	328.408	175.487	37134.4	60.332	68972.2	503.144	213.619	148.545	273.453	356.439	561.213	37.416	18527.7	163.491	38.8	64.814	47.39	335.949	50.069	339.579	25.693
MGI:3649346	0	4	18	3	1	18	6	24	14	28	25	7	7	10	2	20	21	5	0	0	8	0	50	0	16	2
MGI:2147732	24.001	142.292	27.536	63	7	114.362	177.798	155.275	470.826	146	26	14	6	21	108	32	244	81.344	36	7	18.014	3.093	86.038	58.023	53.001	235.051
MGI:3052329	0	3.007	2.03	1.005	1.019	2354.22	219.349	430.598	96.714	539.051	1319.54	0	0.003	0	139.008	0	102.391	199.88	0	0	428.867	0	0	97.475	3.182	10.134
MGI:1923050	1.079	5.551	0	3.277	2	9.031	5.628	20.091	1453.81	58.28	3.001	0	2.036	3.029	4.101	4.455	2324.47	13.853	0	0	6.125	0	2	0	3.058	374.943
MGI:2444948	62.888	552.039	96.922	117.275	168.569	200.638	195.12	826.069	374.517	1456.12	210.859	54.034	583.116	137.585	322.846	763.215	269.646	329.999	51.251	31.727	17.573	127.819	265.836	91.257	549.481	83.301
MGI:1349458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGI:1921149	0	1969.44	51.015	165.067	0	0	2.035	0	5.375	0	10.758	202.183	0	164.562	4.142	701.841	3.448	0	42.505	3.469	0	0	122.236	1.999	434.045	0
MGI:1922306	22.826	276.919	29.427	82.006	4.806	184.184	72.019	121.096	551.152	122.176	176.218	36.973	78.808	31.332	70.485	149.198	483.493	52.366	22.74	3.52	41.779	16.95	115.453	26.98	163.41	87.773
MGI:3642139	0	6	1	25765	4	7221	1	6	17	6	6642	6261	11526	3	0	4	6	5	633	0	302	2736	2	0	2	2
MGI:2686464	24.009	11.213	170.13	2.142	1.046	10.05	3.01	18.056	359.242	25	8.001	16.014	0	183	2.011	14.011	219.252	13.934	0	14.023	1.001	0	295.397	2.009	3.002	82.179
MGI:3641826	3.061	4.072	0	32.287	0	6.702	0	250.376	43.315	490.391	5.018	25.04	0	0	1	5.006	36.074	140.248	7.088	1.002	4.95	0	3.494	10.673	5.093	19.315
MGI:2443002	0.005	66.862	0.01	0.012	0.009	0.004	0.009	0.006	1833.46	0.008	0.004	0.011	38.182	0.01	0.011	0.01	1721.4	0.008	0.012	0.003	0.005	0.011	29.456	0.008	131.68	109.088
MGI:3642424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGI:2443529	3.134	11.9	7.583	3.748	25.75	61.446	2.347	5.295	28.641	5.087	38.12	1.054	1.007	15.882	0.042	8.778	13.973	8.408	0	1.648	5.207	0	30.165	0.006	19.141	10.249
MGI:1924860	23.269	119.423	1126.74	87.782	60.646	1363.99	81.297	5546.56	392.094	5017.06	4459.01	15.508	4952.46	526.031	70.401	29.233	1096.5	713.398	21.007	1.34	652.929	349.132	863.441	22.313	25.536	74.735
MGI:3781903	0	0.002	0.015	1.107	1.025	0	1.011	6.643	68.43	29.397	0.002	1.019	0	0	0	0	19.257	1.042	0	0	1.003	0.001	3.065	0	0.001	10.836
MGI:3698434	280.947	7691.67	500.403	905.22	33.259	781.47	203.23	186.538	14.69	215.924	194.891	383.686	212.083	1041.12	193.143	6546.14	22.56	77.034	276.617	240.007	205.035	88.648	1184.26	61.484	7229.41	0
MGI:3641658	1	2	1	0.97	0	0	0	1.049	2	0	0	0	2	0	0	2	1	0	0	0	0	0	3	0	0	0
MGI:3763743	258	2806.1	297.077	1251.45	2.006	388.102	212.409	407.12	263.013	469	324	379	293	377	188	1675	251	190.062	675.135	112.056	135.041	205.077	897.591	97.044	4314.81	138.045
MGI:3705162	17.035	184.728	55.032	124.202	31.11	153.416	25.002	36.172	1620.48	47.022	113.069	63.005	49	50.752	25	86.065	1357.42	22.011	77.227	16.001	86.148	31.007	195.462	26.24	198.873	460.317
MGI:3642580	21.183	97.365	50.819	87.797	1.283	44.043	546.765	132.779	16.443	249.593	70.992	31.708	66.817	62.17	434.014	256.362	17.482	91.573	22.922	11.346	21.975	10.367	166.787	116.652	211.198	1.249
MGI:1914211	30586.8	44818.4	42806.6	66622.8	69972.8	94708.2	57649.1	7069.7	12361.4	13046.1	137074	49924.2	70229.9	98862	124859	58741.1	11291.4	393.141	3638.71	5629.97	12532	11375.1	82106.6	14265.7	12439.1	1703.38
MGI:1923763	0	0	10.109	131.648	0	141.056	0	0	150.665	0	38.016	40.602	0	5.248	0	0	211.828	1	26.522	0	69.991	0	19.502	0	0	73.929
MGI:3801953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGI:1918210	0.019	2.218	2.253	5.122	1.047	1.047	1.108	8.692	1137.58	16.111	4.587	26.144	1.148	18.969	8.882	647.691	802.182	4.237	0.001	0.001	0.001	0.001	7.171	2.042	0.75	389.882
MGI:1921235	0	16	1	0	0	3	20	1	72	3	0	1	0	1	10	9	34	5	0	1	2	0	7	1	11	14
MGI:3642582	0	0	3.003	8660.64	0	610.712	0	2.017	25.908	5	1114	3300.01	0	2	0	0	16.006	4.004	1458.95	0	341.798	2.002	9.019	0	1.001	6.89
MGI:3583306	0	1	0	0	0	0	0	0	0	1.684	0	0	0	0	0	0	6.237	0	0	0	0	0	0	0	0	1
MGI:3604191	71.014	19.908	0	2.506	0	0	642.636	0	7.555	8.393	0	0	0	0	747.18	33.103	18.997	1.537	1.435	30.512	0	0	4.441	0	22.112	7.134
MGI:2685802	1.037	27.047	23.863	75.815	72.433	112.525	4.717	130.099	14.947	122.491	32.346	33.891	1.058	37.158	1.006	17.808	12.997	52.695	17.426	0	16.192	2.169	93.307	1.159	51.369	9.895
