Tipo de ncRNA	Total	Compatíveis com a Referência	Compatíveis(%)
other	1	1	100.0
Gene;tRNA	37060	9169	24.740960604425254
Gene;snRNA;splicing	1338	1308	97.75784753363229
Gene;snRNA;snoRNA;scaRNA	108	41	37.96296296296296
Gene;snRNA;snoRNA;HACA-box	1200	1089	90.75
Gene;snRNA;snoRNA;CD-box	511	426	83.36594911937377
Gene;snRNA	3192	2899	90.82080200501254
Gene;scRNA	1	0	0.0
Gene;sRNA	51	0	0.0
Gene;ribozyme	22	22	100.0
Gene;rRNA	278	245	88.12949640287769
Gene;miRNA	10027	2289	22.828363418769325
Gene;lncRNA	267	163	61.04868913857678
Gene	76343	15269	20.000523951115362
Cis-reg;frameshift_element	15	0	0.0
Cis-reg;IRES	20	19	95.0
Cis-reg	3468	28	0.8073817762399077
