"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"padj"
"Transcript_100013.0"	0.189924910901913	0	0.379849821803826	Inf	Inf	0.00887266468857665	0.323154692393743
"Transcript_100050.0"	0.236288322247466	0.0320574235797692	0.440519220915163	13.7415665928052	3.78047458134579	0.0217301055213611	0.4127804372343
"Transcript_100077.0"	0.547328206384382	1.09465641276876	0	0	-Inf	0.02561215672602	0.431260462310599
"Transcript_100093.0"	0.231186469649753	0.462372939299506	0	0	-Inf	0.000645517831626941	0.100876363497368
"Transcript_100272.0"	0.306883607063056	0.161715245291351	0.452051968834761	2.79535777854668	1.48303294578816	0.0217301053254584	0.4127804372343
"Transcript_100273.0"	0.159590211346245	0	0.31918042269249	Inf	Inf	0.0192394870097197	0.411952104390899
"Transcript_100275.0"	0.185322195595217	0.370644391190434	0	0	-Inf	0.0210541871130974	0.411952104390899
"Transcript_100276.0"	0.270043771500751	0	0.540087543001502	Inf	Inf	0.000870233539743105	0.110623484233496
"Transcript_100281.0"	0.277516433496673	0	0.555032866993346	Inf	Inf	0.000870233539920134	0.110623484233496
"Transcript_100325.0"	0.160287117898846	0.320574235797692	0	0	-Inf	0.00412621380626716	0.215320019122768
"Transcript_100392.0"	0.132792337595327	0.265584675190655	0	0	-Inf	0.0142117441147858	0.368838189042873
"Transcript_100464.0"	0.280638037881923	0	0.561276075763846	Inf	Inf	0.00040132517435244	0.0839944923898915
"Transcript_100483.0"	0.299250584611656	0.598501169223312	0	0	-Inf	0.0129047144309116	0.368838189042873
"Transcript_100506.0"	0.284050613954168	0	0.568101227908337	Inf	Inf	0.000401325173743044	0.0839944923898915
"Transcript_100520.0"	0.279994266818353	0.161715245291351	0.398273288345356	2.46280607389746	1.30030303171783	0.0217301053828712	0.4127804372343
"Transcript_100550.0"	0.776083000279469	1.55216600055894	0	0	-Inf	0.0280128742700888	0.447403260252108
"Transcript_100563.0"	0.220583365383297	0	0.441166730766594	Inf	Inf	0.00409180239618752	0.215320019122768
"Transcript_100613.0"	0.379927848808604	0.759855697617208	0	0	-Inf	0.00880357597997274	0.323154692393743
"Transcript_100633.0"	0.354707172287804	0	0.709414344575609	Inf	Inf	0.000587956540350016	0.100876363497368
"Transcript_100674.0"	0.45312873210099	0.90625746420198	0	0	-Inf	0.00776134293338834	0.314575828482099
"Transcript_100770.0"	0.259863702347792	0.416746506537	0.102980898158584	0.247106806039756	-2.01679334765822	0.0170086444733376	0.411952104390899
"Transcript_100853.0"	0.306161412024248	0.104308647636067	0.508014176412429	4.87029779338038	2.28400998830313	0.0356923084195836	0.529797538866541
"Transcript_100855.0"	0.210313056048559	0	0.420626112097118	Inf	Inf	0.00887266467103836	0.323154692393743
"Transcript_100856.0"	0.377482070338707	0.754964140677413	0	0	-Inf	0.00116204451084077	0.128111452017329
"Transcript_100899.0"	0.53499969753766	1.06999939507532	0	0	-Inf	0.0119201097634347	0.368838189042873
"Transcript_100904.0"	0.253933939941895	0.50786787988379	0	0	-Inf	0.00222332979207932	0.161451767950979
"Transcript_101144.0"	0.264905553627658	0.529811107255317	0	0	-Inf	0.00222332978495932	0.161451767950979
"Transcript_101159.0"	0.182776003831707	0	0.365552007663414	Inf	Inf	0.00887266473698194	0.323154692393743
"Transcript_101178.0"	0.185322195595217	0.370644391190434	0	0	-Inf	0.0210541871130974	0.411952104390899
"Transcript_101254.0"	0.186188579903952	0	0.372377159807905	Inf	Inf	0.0202872303103532	0.411952104390899
"Transcript_101271.0"	0.737727723894568	1.47545544778914	0	0	-Inf	0.0233723264985403	0.426706219551223
"Transcript_101368.0"	0.413178973628095	0.826357947256191	0	0	-Inf	0.0218247649578386	0.41390772688002
"Transcript_101433.0"	0.159590211346245	0	0.31918042269249	Inf	Inf	0.0192394870097197	0.411952104390899
"Transcript_101527.0"	0.353030178885721	0.0897101775738919	0.616350180197551	6.87045992847221	2.78040668045764	0.00338925620738324	0.215320019122768
"Transcript_101613.0"	0.478900788380408	0.897132177649478	0.0606693991113367	0.0676259314098987	-3.88627963050347	0.0295354994422249	0.464156432907821
"Transcript_101650.0"	0.319841939677791	0.639683879355583	0	0	-Inf	0.0332529815279864	0.509594985225696
"Transcript_101731.0"	0.374111796245237	0.19377266887112	0.554450923619355	2.86134740698713	1.51669467134507	0.029567629187624	0.464536784357411
"Transcript_101878.0"	0.128229694319077	0.256459388638154	0	0	-Inf	0.0142117441530802	0.368838189042873
"Transcript_101898.0"	0.140464504784459	0	0.280929009568918	Inf	Inf	0.0417189053497756	0.554443026792109
"Transcript_101950.0"	0.186188579903952	0	0.372377159807905	Inf	Inf	0.0202872303103532	0.411952104390899
"Transcript_101994.0"	0.224997108108622	0.449994216217244	0	0	-Inf	0.0142117436869023	0.368838189042873
"Transcript_102018.0"	0.0961722707393076	0.192344541478615	0	0	-Inf	0.0489489108969482	0.578444056540221
"Transcript_102081.0"	0.381024498621181	0.0411827101322704	0.720866287110091	17.5041002594248	4.12962100157658	0.00353297701630706	0.215320019122768
"Transcript_102170.0"	0.331802463019296	0.663604926038593	0	0	-Inf	0.0170027163046887	0.411952104390899
"Transcript_102180.0"	0.144139485462947	0.288278970925893	0	0	-Inf	0.0263751659252071	0.431260462310599
"Transcript_102194.0"	0.375394832434199	0.104308647636067	0.646481017232332	6.19777009752734	2.6317492400308	0.019944784103194	0.411952104390899
"Transcript_102208.0"	0.124460402607924	0	0.248920805215847	Inf	Inf	0.041718905579538	0.554443026792109
"Transcript_102215.0"	0.311911218976017	0	0.623822437952035	Inf	Inf	0.000401325171119708	0.0839944923898915
"Transcript_102281.0"	0.278043600462596	0.0411827101322704	0.514904490792922	12.502928756732	3.64419417440634	0.00555931717250967	0.264666487882852
"Transcript_102284.0"	1.63865256732551	3.27730513465101	0	0	-Inf	0.0494942281545117	0.580672824486625
"Transcript_102312.0"	0.364258050038412	0	0.728516100076825	Inf	Inf	0.00405319373209703	0.215320019122768
"Transcript_102409.0"	0.300988753416285	0.0823654202645409	0.519612086568029	6.30861938055001	2.65732431094972	0.0194557339906249	0.411952104390899
"Transcript_102432.0"	0.203691689346234	0.407383378692469	0	0	-Inf	0.00222332983357433	0.161451767950979
"Transcript_102502.0"	0.523533629024026	1.04706725804805	0	0	-Inf	0.0284575791800922	0.45206588644938
"Transcript_102605.0"	0.202217291693837	0.0320574235797692	0.372377159807905	11.6159415893579	3.53803419877482	0.0423387008101948	0.554443026792109
"Transcript_102746.0"	5.60917549847164	10.0828046176234	1.1355463793199	0.112622075145156	-3.15043845591512	0.0368290457406128	0.541730858055069
"Transcript_102799.0"	0.327324428583916	0.54078272094108	0.113866136226752	0.210558014924367	-2.24771030191866	0.0447101977060883	0.573076782204851
