"id"	"packs"
"Transcript_104926.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_136546.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_14443.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_16359.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_186526.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_188838.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_188877.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_18902.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_190369.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_192505.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_200903.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_20689.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_211904.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_213718.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_22251.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_224769.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_227338.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_229221.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_23168.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_237899.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_24145.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_251757.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_252685.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_25473.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_254951.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_25542.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_26123.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_264844.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_270788.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_271246.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_27283.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_273129.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_27339.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_273570.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_273963.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_274509.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_275446.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_27617.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_288431.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_28905.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_3268.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_33795.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_40078.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_40392.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_46577.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_52580.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_5905.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_60190.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_60615.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_65826.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_68572.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_72752.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_75070.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_79383.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_87993.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_89983.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_91861.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_9692.0"	"DESeq,EBSeq,edgeR,DESeq2"
"Transcript_100070.0"	"EBSeq,edgeR,DESeq2"
"Transcript_100550.0"	"DESeq,edgeR,DESeq2"
"Transcript_100698.0"	"EBSeq,edgeR,DESeq2"
"Transcript_100763.0"	"EBSeq,edgeR,DESeq2"
"Transcript_100790.0"	"EBSeq,edgeR,DESeq2"
"Transcript_100810.0"	"EBSeq,edgeR,DESeq2"
"Transcript_100949.0"	"EBSeq,edgeR,DESeq2"
"Transcript_101155.0"	"EBSeq,edgeR,DESeq2"
"Transcript_101179.0"	"EBSeq,edgeR,DESeq2"
"Transcript_101271.0"	"DESeq,edgeR,DESeq2"
"Transcript_101470.0"	"EBSeq,edgeR,DESeq2"
"Transcript_101477.0"	"EBSeq,edgeR,DESeq2"
"Transcript_101558.0"	"EBSeq,edgeR,DESeq2"
"Transcript_101646.0"	"EBSeq,edgeR,DESeq2"
"Transcript_101664.0"	"EBSeq,edgeR,DESeq2"
"Transcript_101812.0"	"EBSeq,edgeR,DESeq2"
