gene-id	Brain_Female	Gonad_Female	Kidney_Female	Liver_Female	Lung_Female	Muscle_Female	Skin_Female	Brain_Male	Gonad_Male	Heart_Male	Kidney_Male	Liver_Male	Lung_Male	Skin_Male
Transcript_100003.0	6	0	0	0	0	0	0	5	0	0	0	2	0	0
Transcript_100004.0	22	0	2	0	0	32	0	11	0	9	8	0	4	5
Transcript_100005.0	0	34	1	0	0	0	0	1	0	0	0	0	0	2
Transcript_100011.0	0	20	0	0	0	0	0	0	0	0	0	0	0	0
Transcript_100013.0	0	0	0	0	0	0	0	6	0	0	1	0	0	0
Transcript_100016.0	22	2	5	0	0	0	0	0	0	0	6	0	1	2
Transcript_100018.0	137	35	24	0	10	15	2	91	13	15	18	4	13	0
Transcript_100023.0	0	0	0	0	0	0	0	10	0	2	0	0	0	2
Transcript_100028.0	2	0	2	0	0	0	0	3	0	0	0	0	0	0
Transcript_100031.0	0	0	11	0	3	0	0	0	12	0	12	0	13	0
Transcript_100035.0	0	0	1	0	5	0	0	0	21	0	9	0	4	0
Transcript_100039.0	0	6	4	0	1	0	0	0	1	0	1	0	5	0
Transcript_100041.0	18	0	0	0	0	2	0	30	0	0	6	0	0	0
Transcript_100050.0	1	0	0	0	0	0	0	6	0	0	2	0	0	0
Transcript_100052.0	2	4	1	0	0	0	0	1	0	0	0	0	5	0
Transcript_100060.0	1	3	0	0	5	0	0	20	12	0	6	0	4	0
Transcript_100063.0	4	0	0	0	0	0	0	15	0	0	1	0	0	0
Transcript_100064.0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
Transcript_100066.0	0	33	0	0	0	0	0	0	0	0	0	0	0	1
Transcript_100069.0	14	7	11	0	0	0	0	11	0	8	8	0	9	2
Transcript_100070.0	5	0	0	0	0	0	0	1	19	1	4	0	7	2
Transcript_100077.0	0	5	5	0	7	0	0	0	0	0	0	0	0	0
Transcript_100079.0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Transcript_100080.0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
Transcript_100081.0	1	0	4	0	1	0	0	0	4	0	0	0	10	0
Transcript_100082.0	2	4	0	0	1	0	0	1	16	1	7	0	18	0
Transcript_100083.0	0	5	0	0	0	0	0	8	0	0	0	0	0	0
Transcript_100085.0	4	0	10	0	0	1	0	8	0	0	0	0	4	0
Transcript_100088.0	77	2	0	0	0	0	0	264	0	0	1	0	0	0
Transcript_100089.0	42	4	0	0	1	0	0	67	7	0	0	0	0	0
Transcript_100093.0	8	5	0	0	0	0	0	0	0	0	0	0	0	0
Transcript_100095.0	0	0	0	0	0	0	0	22	0	0	0	0	0	2
Transcript_100096.0	0	0	0	0	0	14	0	0	0	13	0	0	0	1
Transcript_100099.0	2	0	1	0	1	0	0	6	0	0	1	0	10	0
Transcript_100105.0	4	0	0	0	0	2	0	3	0	0	0	0	5	0
Transcript_100106.0	0	20	0	0	0	0	0	0	0	0	0	0	0	0
Transcript_100108.0	0	0	0	0	3	0	0	0	7	0	4	0	7	0
Transcript_100110.0	28	2	1	0	0	0	0	6	0	0	0	0	0	0
Transcript_100111.0	0	0	0	0	5	0	0	0	15	0	4	0	16	0
Transcript_100114.0	0	9	1	0	0	0	0	0	0	0	0	0	0	1
Transcript_100116.0	0	5	0	0	0	0	0	0	0	0	0	0	1	0
Transcript_100117.0	0	0	0	0	0	0	0	0	0	0	2	2	4	0
Transcript_100119.0	0	0	13	0	2	4	0	1	11	0	0	0	0	0
Transcript_100122.0	6	2	0	0	0	0	0	28	0	0	0	0	3	0
Transcript_100123.0	10	0	0	0	0	0	0	9	0	0	0	0	0	0
Transcript_100124.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Transcript_100127.0	1	1	2	0	0	0	0	5	0	0	5	0	3	0
Transcript_100129.0	0	0	8	0	0	6	0	10	0	0	0	0	0	2
Transcript_100130.0	26	0	0	0	4	2	0	4	0	0	0	0	3	0
Transcript_100131.0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Transcript_100132.0	15	1	3	0	2	0	2	4	0	0	0	0	5	2
Transcript_100136.0	9	1	0	0	0	0	0	4	0	0	0	0	1	0
Transcript_100140.0	0	0	7	0	0	6	0	4	0	0	1	0	4	0
Transcript_100142.0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
Transcript_100144.0	2	0	0	0	0	1	0	7	7	0	0	0	0	0
Transcript_100145.0	1	0	2	0	0	1	0	1	1	0	0	0	0	0
Transcript_100146.0	18	48	0	0	0	0	0	5	13	0	0	0	1	0
Transcript_100147.0	63	0	0	0	0	3	2	25	0	0	0	0	0	0
Transcript_100149.0	0	2	0	0	0	0	0	0	0	0	3	0	1	0
Transcript_100158.0	1	0	0	0	1	3	0	0	0	7	0	0	0	0
Transcript_100160.0	4	0	0	0	0	0	0	0	0	0	0	0	0	2
