go	onto	in_study	in_population	depth	log2fc	fdr	n_genes	description	genes
GO:0001711	BP	30	48	5	6.706681362910604	3.1240308342641328e-52	30	endodermal cell fate commitment	['Transcript_100228.0', 'Transcript_140027.0', 'Transcript_140434.0', 'Transcript_146061.0', 'Transcript_148837.0', 'Transcript_154410.0', 'Transcript_164793.0', 'Transcript_168010.0', 'Transcript_177074.0', 'Transcript_193002.0', 'Transcript_228864.0', 'Transcript_237373.0', 'Transcript_237862.0', 'Transcript_32081.0', 'Transcript_42835.0', 'Transcript_42942.0', 'Transcript_43675.0', 'Transcript_44325.0', 'Transcript_48156.0', 'Transcript_52995.0', 'Transcript_58493.0', 'Transcript_61462.0', 'Transcript_66503.0', 'Transcript_71058.0', 'Transcript_74600.0', 'Transcript_77337.0', 'Transcript_79197.0', 'Transcript_80840.0', 'Transcript_84994.0', 'Transcript_90220.0']
GO:0001714	BP	30	48	4	6.706681362910604	3.1240308342641328e-52	30	endodermal cell fate specification	['Transcript_100228.0', 'Transcript_140027.0', 'Transcript_140434.0', 'Transcript_146061.0', 'Transcript_148837.0', 'Transcript_154410.0', 'Transcript_164793.0', 'Transcript_168010.0', 'Transcript_177074.0', 'Transcript_193002.0', 'Transcript_228864.0', 'Transcript_237373.0', 'Transcript_237862.0', 'Transcript_32081.0', 'Transcript_42835.0', 'Transcript_42942.0', 'Transcript_43675.0', 'Transcript_44325.0', 'Transcript_48156.0', 'Transcript_52995.0', 'Transcript_58493.0', 'Transcript_61462.0', 'Transcript_66503.0', 'Transcript_71058.0', 'Transcript_74600.0', 'Transcript_77337.0', 'Transcript_79197.0', 'Transcript_80840.0', 'Transcript_84994.0', 'Transcript_90220.0']
GO:1903224	BP	30	48	5	6.706681362910604	3.1240308342641328e-52	30	regulation of endodermal cell differentiation	['Transcript_100228.0', 'Transcript_140027.0', 'Transcript_140434.0', 'Transcript_146061.0', 'Transcript_148837.0', 'Transcript_154410.0', 'Transcript_164793.0', 'Transcript_168010.0', 'Transcript_177074.0', 'Transcript_193002.0', 'Transcript_228864.0', 'Transcript_237373.0', 'Transcript_237862.0', 'Transcript_32081.0', 'Transcript_42835.0', 'Transcript_42942.0', 'Transcript_43675.0', 'Transcript_44325.0', 'Transcript_48156.0', 'Transcript_52995.0', 'Transcript_58493.0', 'Transcript_61462.0', 'Transcript_66503.0', 'Transcript_71058.0', 'Transcript_74600.0', 'Transcript_77337.0', 'Transcript_79197.0', 'Transcript_80840.0', 'Transcript_84994.0', 'Transcript_90220.0']
GO:0042663	BP	30	48	6	6.706681362910604	3.1240308342641328e-52	30	regulation of endodermal cell fate specification	['Transcript_100228.0', 'Transcript_140027.0', 'Transcript_140434.0', 'Transcript_146061.0', 'Transcript_148837.0', 'Transcript_154410.0', 'Transcript_164793.0', 'Transcript_168010.0', 'Transcript_177074.0', 'Transcript_193002.0', 'Transcript_228864.0', 'Transcript_237373.0', 'Transcript_237862.0', 'Transcript_32081.0', 'Transcript_42835.0', 'Transcript_42942.0', 'Transcript_43675.0', 'Transcript_44325.0', 'Transcript_48156.0', 'Transcript_52995.0', 'Transcript_58493.0', 'Transcript_61462.0', 'Transcript_66503.0', 'Transcript_71058.0', 'Transcript_74600.0', 'Transcript_77337.0', 'Transcript_79197.0', 'Transcript_80840.0', 'Transcript_84994.0', 'Transcript_90220.0']
GO:0035987	BP	30	49	4	6.676934019516551	6.411184977027627e-52	30	endodermal cell differentiation	['Transcript_100228.0', 'Transcript_140027.0', 'Transcript_140434.0', 'Transcript_146061.0', 'Transcript_148837.0', 'Transcript_154410.0', 'Transcript_164793.0', 'Transcript_168010.0', 'Transcript_177074.0', 'Transcript_193002.0', 'Transcript_228864.0', 'Transcript_237373.0', 'Transcript_237862.0', 'Transcript_32081.0', 'Transcript_42835.0', 'Transcript_42942.0', 'Transcript_43675.0', 'Transcript_44325.0', 'Transcript_48156.0', 'Transcript_52995.0', 'Transcript_58493.0', 'Transcript_61462.0', 'Transcript_66503.0', 'Transcript_71058.0', 'Transcript_74600.0', 'Transcript_77337.0', 'Transcript_79197.0', 'Transcript_80840.0', 'Transcript_84994.0', 'Transcript_90220.0']
GO:0051781	BP	30	65	5	6.269276050603306	7.832303303784435e-47	30	positive regulation of cell division	['Transcript_100228.0', 'Transcript_140027.0', 'Transcript_140434.0', 'Transcript_146061.0', 'Transcript_148837.0', 'Transcript_154410.0', 'Transcript_164793.0', 'Transcript_168010.0', 'Transcript_177074.0', 'Transcript_193002.0', 'Transcript_228864.0', 'Transcript_237373.0', 'Transcript_237862.0', 'Transcript_32081.0', 'Transcript_42835.0', 'Transcript_42942.0', 'Transcript_43675.0', 'Transcript_44325.0', 'Transcript_48156.0', 'Transcript_52995.0', 'Transcript_58493.0', 'Transcript_61462.0', 'Transcript_66503.0', 'Transcript_71058.0', 'Transcript_74600.0', 'Transcript_77337.0', 'Transcript_79197.0', 'Transcript_80840.0', 'Transcript_84994.0', 'Transcript_90220.0']
GO:0051302	BP	30	116	4	5.433662868504188	8.980596742619807e-38	30	regulation of cell division	['Transcript_100228.0', 'Transcript_140027.0', 'Transcript_140434.0', 'Transcript_146061.0', 'Transcript_148837.0', 'Transcript_154410.0', 'Transcript_164793.0', 'Transcript_168010.0', 'Transcript_177074.0', 'Transcript_193002.0', 'Transcript_228864.0', 'Transcript_237373.0', 'Transcript_237862.0', 'Transcript_32081.0', 'Transcript_42835.0', 'Transcript_42942.0', 'Transcript_43675.0', 'Transcript_44325.0', 'Transcript_48156.0', 'Transcript_52995.0', 'Transcript_58493.0', 'Transcript_61462.0', 'Transcript_66503.0', 'Transcript_71058.0', 'Transcript_74600.0', 'Transcript_77337.0', 'Transcript_79197.0', 'Transcript_80840.0', 'Transcript_84994.0', 'Transcript_90220.0']
GO:0045214	BP	14	84	5	4.799790767302085	5.798226711239326e-15	14	sarcomere organization	['Transcript_154811.0', 'Transcript_199810.0', 'Transcript_199838.0', 'Transcript_232582.0', 'Transcript_238953.0', 'Transcript_244324.0', 'Transcript_27842.0', 'Transcript_32938.0', 'Transcript_41286.0', 'Transcript_4363.0', 'Transcript_54676.0', 'Transcript_79196.0', 'Transcript_87159.0', 'Transcript_95379.0']
GO:0015012	BP	9	55	7	4.773318555940894	8.270799922578493e-10	9	heparan sulfate proteoglycan biosynthetic process	['Transcript_174870.0', 'Transcript_267521.0', 'Transcript_45039.0', 'Transcript_54648.0', 'Transcript_57345.0', 'Transcript_58309.0', 'Transcript_83717.0', 'Transcript_91097.0', 'Transcript_99813.0']
GO:0021999	BP	6	41	5	4.612163764126313	1.5288603643581292e-06	6	neural plate anterior/posterior regionalization	['Transcript_189115.0', 'Transcript_233826.0', 'Transcript_244393.0', 'Transcript_31608.0', 'Transcript_58796.0', 'Transcript_62436.0']
