go	onto	in_study	in_population	depth	log2fc	fdr	n_genes	description	genes
GO:0007600	BP	4	6479	4	5.532857568771503	4.5193889963687685e-77	4	sensory perception	['Transcript_102597.0', 'Transcript_37737.0', 'Transcript_46647.0', 'Transcript_93766.0']
GO:1901135	BP	3	4782	3	5.509738040294216	4.928743289160296e-56	3	carbohydrate derivative metabolic process	['Transcript_163708.0', 'Transcript_240052.0', 'Transcript_82298.0']
GO:1901137	BP	3	4382	4	5.383713394572811	8.460235966658018e-51	3	carbohydrate derivative biosynthetic process	['Transcript_163708.0', 'Transcript_240052.0', 'Transcript_82298.0']
GO:1905114	BP	3	4229	4	5.332440470611391	8.154159194316086e-49	3	cell surface receptor signaling pathway involved in cell-cell signaling	['Transcript_242124.0', 'Transcript_39256.0', 'Transcript_74456.0']
GO:0198738	BP	3	4223	3	5.3303921573838915	1.2418832755191068e-48	3	cell-cell signaling by wnt	['Transcript_242124.0', 'Transcript_39256.0', 'Transcript_74456.0']
GO:0016055	BP	3	4217	5	5.328340931861723	1.2123424651040907e-48	3	Wnt signaling pathway	['Transcript_242124.0', 'Transcript_39256.0', 'Transcript_74456.0']
GO:0006974	BP	3	4164	4	5.310093978882006	6.298432681472012e-48	3	cellular response to DNA damage stimulus	['Transcript_19917.0', 'Transcript_23022.0', 'Transcript_78974.0']
GO:0051056	BP	3	3887	6	5.210781017921786	2.166182187524778e-44	3	regulation of small GTPase mediated signal transduction	['Transcript_234643.0', 'Transcript_238898.0', 'Transcript_40890.0']
GO:0046578	BP	3	3793	7	5.175463281876826	3.768641951553991e-43	3	regulation of Ras protein signal transduction	['Transcript_234643.0', 'Transcript_238898.0', 'Transcript_40890.0']
GO:0035023	BP	3	3634	8	5.1136823298167045	4.688329543745907e-41	3	regulation of Rho protein signal transduction	['Transcript_234643.0', 'Transcript_238898.0', 'Transcript_40890.0']
GO:1901700	BP	4	4827	3	5.108213237748347	4.519031478744675e-55	4	response to oxygen-containing compound	['Transcript_130054.0', 'Transcript_236603.0', 'Transcript_260563.0', 'Transcript_50830.0']
GO:0015850	BP	3	3603	5	5.101322562009379	1.0122003415430124e-40	3	organic hydroxy compound transport	['Transcript_37737.0', 'Transcript_46647.0', 'Transcript_93766.0']
GO:0021510	BP	3	3429	4	5.029911814518223	1.9304654867557857e-38	3	spinal cord development	['Transcript_236603.0', 'Transcript_260563.0', 'Transcript_50830.0']
GO:0046903	BP	4	4442	4	4.9882958038507255	4.919185238921365e-50	4	secretion	['Transcript_37737.0', 'Transcript_46647.0', 'Transcript_78136.0', 'Transcript_93766.0']
GO:0008104	BP	5	5537	3	4.984262837946778	8.072158555513418e-63	5	protein localization	['Transcript_253520.0', 'Transcript_37737.0', 'Transcript_46647.0', 'Transcript_78136.0', 'Transcript_93766.0']
GO:0032940	BP	4	4395	3	4.9729495763345115	2.7301984894247394e-49	4	secretion by cell	['Transcript_37737.0', 'Transcript_46647.0', 'Transcript_78136.0', 'Transcript_93766.0']
GO:0140352	BP	4	4395	2	4.9729495763345115	2.7301984894247394e-49	4	export from cell	['Transcript_37737.0', 'Transcript_46647.0', 'Transcript_78136.0', 'Transcript_93766.0']
GO:1901566	BP	6	6445	4	4.940304268831603	1.2399165318876866e-73	6	organonitrogen compound biosynthetic process	['Transcript_236603.0', 'Transcript_260563.0', 'Transcript_266530.0', 'Transcript_50830.0', 'Transcript_82298.0', 'Transcript_85444.0']
GO:0021517	BP	3	3222	3	4.940080404289158	7.678867060404718e-36	3	ventral spinal cord development	['Transcript_236603.0', 'Transcript_260563.0', 'Transcript_50830.0']
GO:0045595	BP	8	8583	4	4.938568409348084	8.176025263006961e-100	8	regulation of cell differentiation	['Transcript_228405.0', 'Transcript_27662.0', 'Transcript_39256.0', 'Transcript_57765.0', 'Transcript_72189.0', 'Transcript_74456.0', 'Transcript_82912.0', 'Transcript_90153.0']
GO:0019637	BP	3	3200	3	4.9301958153573135	1.1022719304325937e-35	3	organophosphate metabolic process	['Transcript_236603.0', 'Transcript_260563.0', 'Transcript_50830.0']
GO:1903530	BP	4	4246	4	4.923190782209122	1.5255980000438418e-47	4	regulation of secretion by cell	['Transcript_37737.0', 'Transcript_46647.0', 'Transcript_78136.0', 'Transcript_93766.0']
GO:0051046	BP	4	4246	5	4.923190782209122	1.5255980000438418e-47	4	regulation of secretion	['Transcript_37737.0', 'Transcript_46647.0', 'Transcript_78136.0', 'Transcript_93766.0']
GO:0045184	BP	4	3891	3	4.797227391276601	5.772880903715382e-43	4	establishment of protein localization	['Transcript_37737.0', 'Transcript_46647.0', 'Transcript_78136.0', 'Transcript_93766.0']
GO:0007264	BP	7	6758	4	4.786327839409942	2.1743346331313298e-76	7	small GTPase mediated signal transduction	['Transcript_126666.0', 'Transcript_234643.0', 'Transcript_238898.0', 'Transcript_240497.0', 'Transcript_27016.0', 'Transcript_39256.0', 'Transcript_40890.0']
GO:0090407	BP	3	2891	4	4.783692519059638	9.021154852008394e-32	3	organophosphate biosynthetic process	['Transcript_236603.0', 'Transcript_260563.0', 'Transcript_50830.0']
GO:0055086	BP	3	2838	3	4.7569984996431405	4.086424298707622e-31	3	nucleobase-containing small molecule metabolic process	['Transcript_236603.0', 'Transcript_260563.0', 'Transcript_50830.0']
GO:0042886	BP	4	3766	5	4.750119410917973	2.0559112544703477e-41	4	amide transport	['Transcript_37737.0', 'Transcript_46647.0', 'Transcript_78136.0', 'Transcript_93766.0']
GO:0015833	BP	4	3766	5	4.750119410917973	2.0559112544703477e-41	4	peptide transport	['Transcript_37737.0', 'Transcript_46647.0', 'Transcript_78136.0', 'Transcript_93766.0']
GO:0015031	BP	4	3766	4	4.750119410917973	2.0559112544703477e-41	4	protein transport	['Transcript_37737.0', 'Transcript_46647.0', 'Transcript_78136.0', 'Transcript_93766.0']
GO:0006753	BP	3	2813	4	4.744233462897289	9.075361030698986e-31	3	nucleoside phosphate metabolic process	['Transcript_236603.0', 'Transcript_260563.0', 'Transcript_50830.0']
GO:0060284	BP	8	7452	5	4.734714085245383	3.3982992936294953e-84	8	regulation of cell development	['Transcript_228405.0', 'Transcript_27662.0', 'Transcript_39256.0', 'Transcript_57765.0', 'Transcript_72189.0', 'Transcript_74456.0', 'Transcript_82912.0', 'Transcript_90153.0']
GO:0050767	BP	8	7405	6	4.725586146479955	1.1748993667919266e-83	8	regulation of neurogenesis	['Transcript_228405.0', 'Transcript_27662.0', 'Transcript_39256.0', 'Transcript_57765.0', 'Transcript_72189.0', 'Transcript_74456.0', 'Transcript_82912.0', 'Transcript_90153.0']
GO:0007265	BP	7	6461	5	4.721488963949519	2.185232691238184e-72	7	Ras protein signal transduction	['Transcript_126666.0', 'Transcript_234643.0', 'Transcript_238898.0', 'Transcript_240497.0', 'Transcript_27016.0', 'Transcript_39256.0', 'Transcript_40890.0']
GO:0009117	BP	3	2765	5	4.719403390704659	2.8557961219987494e-30	3	nucleotide metabolic process	['Transcript_236603.0', 'Transcript_260563.0', 'Transcript_50830.0']
GO:0072521	BP	3	2716	4	4.693607389827321	1.3896940966265708e-29	3	purine-containing compound metabolic process	['Transcript_236603.0', 'Transcript_260563.0', 'Transcript_50830.0']
GO:0006163	BP	3	2709	5	4.689884303784604	2.1901938977966618e-29	3	purine nucleotide metabolic process	['Transcript_236603.0', 'Transcript_260563.0', 'Transcript_50830.0']
GO:0099537	BP	9	8094	4	4.684014258530856	1.1267315399457111e-91	9	trans-synaptic signaling	['Transcript_140184.0', 'Transcript_150806.0', 'Transcript_231742.0', 'Transcript_253520.0', 'Transcript_255299.0', 'Transcript_257306.0', 'Transcript_63840.0', 'Transcript_67812.0', 'Transcript_77470.0']
GO:0099536	BP	9	8094	3	4.684014258530856	1.1267315399457111e-91	9	synaptic signaling	['Transcript_140184.0', 'Transcript_150806.0', 'Transcript_231742.0', 'Transcript_253520.0', 'Transcript_255299.0', 'Transcript_257306.0', 'Transcript_63840.0', 'Transcript_67812.0', 'Transcript_77470.0']
GO:0098916	BP	9	8089	5	4.6831227704960074	1.6345423770889613e-91	9	anterograde trans-synaptic signaling	['Transcript_140184.0', 'Transcript_150806.0', 'Transcript_231742.0', 'Transcript_253520.0', 'Transcript_255299.0', 'Transcript_257306.0', 'Transcript_63840.0', 'Transcript_67812.0', 'Transcript_77470.0']
