go	onto	in_study	in_population	depth	log2fc	fdr	n_genes	description	genes
GO:0099537	BP	3	8094	4	5.035163775281327	1.284639099314563e-39	3	trans-synaptic signaling	['Transcript_133708.0', 'Transcript_22207.0', 'Transcript_241184.0']
GO:0099536	BP	3	8094	3	5.035163775281327	1.284639099314563e-39	3	synaptic signaling	['Transcript_133708.0', 'Transcript_22207.0', 'Transcript_241184.0']
GO:0007268	BP	3	8089	6	5.034272287246479	1.284639099314563e-39	3	chemical synaptic transmission	['Transcript_133708.0', 'Transcript_22207.0', 'Transcript_241184.0']
GO:0098916	BP	3	8089	5	5.034272287246479	1.284639099314563e-39	3	anterograde trans-synaptic signaling	['Transcript_133708.0', 'Transcript_22207.0', 'Transcript_241184.0']
GO:0009966	BP	4	9628	4	4.870509568807557	4.40163028361724e-47	4	regulation of signal transduction	['Transcript_19653.0', 'Transcript_212947.0', 'Transcript_5147.0', 'Transcript_8966.0']
GO:0007264	BP	3	6758	4	4.774907276775705	7.569196273515347e-32	3	small GTPase mediated signal transduction	['Transcript_187368.0', 'Transcript_19643.0', 'Transcript_8966.0']
GO:0023051	BP	5	11180	3	4.764193615176249	3.578772482553666e-55	5	regulation of signaling	['Transcript_19329.0', 'Transcript_19653.0', 'Transcript_212947.0', 'Transcript_5147.0', 'Transcript_8966.0']
GO:0010646	BP	5	11179	4	4.764064566914534	3.578772482553666e-55	5	regulation of cell communication	['Transcript_19329.0', 'Transcript_19653.0', 'Transcript_212947.0', 'Transcript_5147.0', 'Transcript_8966.0']
GO:0010033	BP	3	6681	3	4.758374985120849	1.663639341513696e-31	3	response to organic substance	['Transcript_116851.0', 'Transcript_142907.0', 'Transcript_8966.0']
GO:0003008	BP	5	10766	2	4.709755757465128	1.503304536195069e-52	5	system process	['Transcript_133708.0', 'Transcript_19329.0', 'Transcript_196303.0', 'Transcript_241184.0', 'Transcript_67747.0']
GO:0006811	BP	4	7648	4	4.538355950313807	1.2230084803073554e-35	4	ion transport	['Transcript_11892.0', 'Transcript_236739.0', 'Transcript_284550.0', 'Transcript_86125.0']
GO:0051049	BP	3	5536	4	4.487154869248628	5.168020206662283e-25	3	regulation of transport	['Transcript_19329.0', 'Transcript_241184.0', 'Transcript_284550.0']
GO:0034220	BP	3	5293	3	4.4223965802467795	9.23108820129412e-24	3	ion transmembrane transport	['Transcript_11892.0', 'Transcript_236739.0', 'Transcript_284550.0']
GO:0009890	BP	4	6945	5	4.399248121201814	1.2539758494764746e-31	4	negative regulation of biosynthetic process	['Transcript_12601.0', 'Transcript_133708.0', 'Transcript_185711.0', 'Transcript_268558.0']
GO:0045934	BP	4	6936	6	4.397377325554895	1.2539758494764746e-31	4	negative regulation of nucleobase-containing compound metabolic process	['Transcript_12601.0', 'Transcript_133708.0', 'Transcript_185711.0', 'Transcript_268558.0']
GO:0010558	BP	4	6935	6	4.397169309544025	1.2539758494764746e-31	4	negative regulation of macromolecule biosynthetic process	['Transcript_12601.0', 'Transcript_133708.0', 'Transcript_185711.0', 'Transcript_268558.0']
GO:2000113	BP	4	6935	7	4.397169309544025	1.2539758494764746e-31	4	negative regulation of cellular macromolecule biosynthetic process	['Transcript_12601.0', 'Transcript_133708.0', 'Transcript_185711.0', 'Transcript_268558.0']
