# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_sidak	p_holm	p_fdr_bh	study_items
......GO:0048918	BP	e	posterior lateral line nerve development	4/719	16/59161	3.5053643804472744e-05	6	4	0.11378412778931853	0.11091608382617268	0.08994765000227706	0.0001670838880900419	Transcript_102519.0, Transcript_233817.0, Transcript_37075.0, Transcript_77714.0
.....GO:0048935	BP	e	peripheral nervous system neuron development	4/719	18/59161	5.780773663713997e-05	5	4	0.18764391312415635	0.18291415860819019	0.14654261237514982	0.0002631751937225194	Transcript_102519.0, Transcript_233817.0, Transcript_37075.0, Transcript_77714.0
.....GO:0048934	BP	e	peripheral nervous system neuron differentiation	4/719	18/59161	5.780773663713997e-05	5	4	0.18764391312415635	0.18291415860819019	0.14654261237514982	0.0002631751937225194	Transcript_102519.0, Transcript_233817.0, Transcript_37075.0, Transcript_77714.0
....GO:0007413	BP	e	axonal fasciculation	4/719	24/59161	0.00018944532081179778	8	4	0.6149395113550956	0.599439339340705	0.4679299424051405	0.0007904106829757012	Transcript_102519.0, Transcript_233817.0, Transcript_37075.0, Transcript_77714.0
.......GO:0106030	BP	e	neuron projection fasciculation	4/719	24/59161	0.00018944532081179778	7	4	0.6149395113550956	0.599439339340705	0.4679299424051405	0.0007904106829757012	Transcript_102519.0, Transcript_233817.0, Transcript_37075.0, Transcript_77714.0
.......GO:0006367	BP	e	transcription initiation from RNA polymerase II promoter	5/719	47/59161	0.00026301565685203296	9	5	0.853748822141699	0.8322292200411305	0.6459664532285929	0.0010793284729983552	Transcript_145078.0, Transcript_207314.0, Transcript_277684.0, Transcript_285446.0, Transcript_8966.0
......GO:0006352	BP	e	DNA-templated transcription, initiation	5/719	58/59161	0.0007040578556504771	8	5	1.0	1.0	1.0	0.00271099857584988	Transcript_145078.0, Transcript_207314.0, Transcript_277684.0, Transcript_285446.0, Transcript_8966.0
........GO:1902750	BP	e	negative regulation of cell cycle G2/M phase transition	4/719	34/59161	0.0007509815451177669	8	4	1.0	1.0	1.0	0.0028665299076980617	Transcript_185711.0, Transcript_277684.0, Transcript_285446.0, Transcript_8966.0
....GO:0046164	BP	e	alcohol catabolic process	3/719	16/59161	0.0008895685333600422	5	3	1.0	1.0	1.0	0.003338195906689823	Transcript_116851.0, Transcript_285446.0, Transcript_8966.0
........GO:0000288	BP	e	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	4/719	37/59161	0.001039146867249882	10	4	1.0	1.0	1.0	0.0038682003796939417	Transcript_133708.0, Transcript_207314.0, Transcript_212436.0, Transcript_219127.0
