go	onto	in_study	in_population	depth	log2fc	fdr	n_genes	description	genes
GO:0009889	BP	3	11974	4	5.880134079704847	1.7078113114840708e-78	3	regulation of biosynthetic process	['Transcript_244934.0', 'Transcript_39393.0', 'Transcript_99732.0']
GO:2000112	BP	3	11840	6	5.863897985318358	1.3819788919984294e-77	3	regulation of cellular macromolecule biosynthetic process	['Transcript_244934.0', 'Transcript_39393.0', 'Transcript_99732.0']
GO:0031326	BP	3	11840	5	5.863897985318358	1.3819788919984294e-77	3	regulation of cellular biosynthetic process	['Transcript_244934.0', 'Transcript_39393.0', 'Transcript_99732.0']
GO:0010556	BP	3	11840	5	5.863897985318358	1.3819788919984294e-77	3	regulation of macromolecule biosynthetic process	['Transcript_244934.0', 'Transcript_39393.0', 'Transcript_99732.0']
GO:0006355	BP	3	11574	6	5.831116453572306	1.4656388206764826e-75	3	regulation of transcription, DNA-templated	['Transcript_244934.0', 'Transcript_39393.0', 'Transcript_99732.0']
GO:2001141	BP	3	11574	6	5.831116453572306	1.4656388206764826e-75	3	regulation of RNA biosynthetic process	['Transcript_244934.0', 'Transcript_39393.0', 'Transcript_99732.0']
GO:1903506	BP	3	11574	7	5.831116453572306	1.4656388206764826e-75	3	regulation of nucleic acid-templated transcription	['Transcript_244934.0', 'Transcript_39393.0', 'Transcript_99732.0']
GO:0010604	BP	3	10238	5	5.654162815793427	3.991334295614307e-65	3	positive regulation of macromolecule metabolic process	['Transcript_16260.0', 'Transcript_37737.0', 'Transcript_93766.0']
GO:0051173	BP	3	10019	5	5.622967424158424	1.328821304464884e-63	3	positive regulation of nitrogen compound metabolic process	['Transcript_16260.0', 'Transcript_37737.0', 'Transcript_93766.0']
GO:0050793	BP	3	9648	3	5.5685307167021305	8.263283145338618e-61	3	regulation of developmental process	['Transcript_112853.0', 'Transcript_211385.0', 'Transcript_244934.0']
GO:2000026	BP	3	9464	4	5.540750883141834	2.383462348532472e-59	3	regulation of multicellular organismal development	['Transcript_112853.0', 'Transcript_211385.0', 'Transcript_244934.0']
GO:0007154	BP	3	9202	2	5.500248265905291	1.8105381272964956e-57	3	cell communication	['Transcript_201017.0', 'Transcript_206667.0', 'Transcript_242124.0']
GO:0007267	BP	3	9139	2	5.490337122015673	4.5223425815525086e-57	3	cell-cell signaling	['Transcript_201017.0', 'Transcript_206667.0', 'Transcript_242124.0']
GO:0007166	BP	4	11016	3	5.344791869658166	1.6853005717286372e-69	4	cell surface receptor signaling pathway	['Transcript_104590.0', 'Transcript_112853.0', 'Transcript_211385.0', 'Transcript_242124.0']
GO:1902531	BP	3	7957	5	5.290525408458989	2.101163126804477e-48	3	regulation of intracellular signal transduction	['Transcript_206667.0', 'Transcript_37737.0', 'Transcript_93766.0']
GO:0007186	BP	3	7814	3	5.264362064985719	2.0607099208687843e-47	3	G protein-coupled receptor signaling pathway	['Transcript_206667.0', 'Transcript_37737.0', 'Transcript_93766.0']
GO:0010468	BP	5	12567	5	5.212903600223519	8.488912168701732e-80	5	regulation of gene expression	['Transcript_244934.0', 'Transcript_37737.0', 'Transcript_39393.0', 'Transcript_93766.0', 'Transcript_99732.0']
GO:0031325	BP	4	10043	5	5.211381694144721	3.436189466772918e-62	4	positive regulation of cellular metabolic process	['Transcript_16260.0', 'Transcript_236603.0', 'Transcript_260563.0', 'Transcript_47486.0']
GO:0051252	BP	5	12137	5	5.162675173295983	1.494722746969727e-76	5	regulation of RNA metabolic process	['Transcript_244934.0', 'Transcript_37737.0', 'Transcript_39393.0', 'Transcript_93766.0', 'Transcript_99732.0']
GO:0009890	BP	3	6945	5	5.094275503670801	2.700960967231642e-41	3	negative regulation of biosynthetic process	['Transcript_244934.0', 'Transcript_39393.0', 'Transcript_99732.0']
GO:0031327	BP	3	6935	6	5.092196692013011	4.420725165206313e-41	3	negative regulation of cellular biosynthetic process	['Transcript_244934.0', 'Transcript_39393.0', 'Transcript_99732.0']
GO:0010558	BP	3	6935	6	5.092196692013011	4.420725165206313e-41	3	negative regulation of macromolecule biosynthetic process	['Transcript_244934.0', 'Transcript_39393.0', 'Transcript_99732.0']
GO:2000113	BP	3	6935	7	5.092196692013011	4.420725165206313e-41	3	negative regulation of cellular macromolecule biosynthetic process	['Transcript_244934.0', 'Transcript_39393.0', 'Transcript_99732.0']
GO:0060255	BP	6	13841	4	5.089177084531546	2.492062863106016e-88	6	regulation of macromolecule metabolic process	['Transcript_16260.0', 'Transcript_244934.0', 'Transcript_37737.0', 'Transcript_39393.0', 'Transcript_93766.0', 'Transcript_99732.0']
GO:1902679	BP	3	6828	7	5.069763867829784	1.5386569522489347e-40	3	negative regulation of RNA biosynthetic process	['Transcript_244934.0', 'Transcript_39393.0', 'Transcript_99732.0']
GO:1903507	BP	3	6828	8	5.069763867829784	1.5386569522489347e-40	3	negative regulation of nucleic acid-templated transcription	['Transcript_244934.0', 'Transcript_39393.0', 'Transcript_99732.0']
GO:0045892	BP	3	6828	7	5.069763867829784	1.5386569522489347e-40	3	negative regulation of transcription, DNA-templated	['Transcript_244934.0', 'Transcript_39393.0', 'Transcript_99732.0']
GO:0023051	BP	5	11180	3	5.044183498366392	3.1000101163434487e-69	5	regulation of signaling	['Transcript_104590.0', 'Transcript_112853.0', 'Transcript_206667.0', 'Transcript_37737.0', 'Transcript_93766.0']
GO:0010646	BP	5	11179	4	5.044054450104676	3.1000101163434487e-69	5	regulation of cell communication	['Transcript_104590.0', 'Transcript_112853.0', 'Transcript_206667.0', 'Transcript_37737.0', 'Transcript_93766.0']
GO:0048583	BP	5	10622	3	4.970318744728664	5.6040779400567875e-65	5	regulation of response to stimulus	['Transcript_104590.0', 'Transcript_112853.0', 'Transcript_206667.0', 'Transcript_37737.0', 'Transcript_93766.0']
GO:0070887	BP	3	6361	3	4.967554395985297	2.704420152363117e-37	3	cellular response to chemical stimulus	['Transcript_104590.0', 'Transcript_112853.0', 'Transcript_206667.0']
GO:0048522	BP	6	12257	4	4.913834815293208	6.880772471303145e-76	6	positive regulation of cellular process	['Transcript_16260.0', 'Transcript_236603.0', 'Transcript_260563.0', 'Transcript_37737.0', 'Transcript_47486.0', 'Transcript_93766.0']
GO:0051716	BP	4	8153	2	4.910594325202379	2.693083765729843e-48	4	cellular response to stimulus	['Transcript_104590.0', 'Transcript_112853.0', 'Transcript_206667.0', 'Transcript_72118.0']
GO:0051239	BP	5	9827	3	4.858086271162122	5.3689136252617736e-59	5	regulation of multicellular organismal process	['Transcript_112853.0', 'Transcript_211385.0', 'Transcript_244934.0', 'Transcript_37737.0', 'Transcript_93766.0']
GO:0009966	BP	5	9628	4	4.828571357110336	1.6612968767059247e-57	5	regulation of signal transduction	['Transcript_104590.0', 'Transcript_112853.0', 'Transcript_206667.0', 'Transcript_37737.0', 'Transcript_93766.0']
GO:0071310	BP	3	5676	4	4.803175398862598	2.177076324368457e-32	3	cellular response to organic substance	['Transcript_104590.0', 'Transcript_112853.0', 'Transcript_206667.0']
GO:0006396	BP	3	5450	6	4.744557039353697	6.046874829032728e-31	3	RNA processing	['Transcript_101937.0', 'Transcript_116902.0', 'Transcript_204923.0']
GO:0071495	BP	3	5396	3	4.730191157750313	1.3853820106994033e-30	3	cellular response to endogenous stimulus	['Transcript_104590.0', 'Transcript_112853.0', 'Transcript_206667.0']
GO:0048518	BP	7	12342	3	4.7014126827116876	4.82578310511775e-75	7	positive regulation of biological process	['Transcript_16260.0', 'Transcript_211385.0', 'Transcript_236603.0', 'Transcript_260563.0', 'Transcript_37737.0', 'Transcript_47486.0', 'Transcript_93766.0']
GO:0048513	BP	9	15868	3	4.701386706226169	2.5710069701189215e-100	9	animal organ development	['Transcript_104590.0', 'Transcript_112853.0', 'Transcript_236603.0', 'Transcript_244934.0', 'Transcript_260563.0', 'Transcript_266508.0', 'Transcript_29564.0', 'Transcript_37460.0', 'Transcript_47486.0']
GO:0050877	BP	4	7003	3	4.691236397663001	3.0147581518868887e-40	4	nervous system process	['Transcript_228657.0', 'Transcript_274841.0', 'Transcript_37737.0', 'Transcript_93766.0']
GO:0009893	BP	6	10281	4	4.660209502042376	7.773462626840733e-61	6	positive regulation of metabolic process	['Transcript_16260.0', 'Transcript_236603.0', 'Transcript_260563.0', 'Transcript_37737.0', 'Transcript_47486.0', 'Transcript_93766.0']
GO:0006996	BP	5	8481	4	4.645569599188171	2.9904458853834054e-49	5	organelle organization	['Transcript_137150.0', 'Transcript_228560.0', 'Transcript_228657.0', 'Transcript_240057.0', 'Transcript_72118.0']
GO:0009887	BP	3	4932	3	4.600473609204885	1.5326309977340366e-27	3	animal organ morphogenesis	['Transcript_104590.0', 'Transcript_112853.0', 'Transcript_228560.0']
GO:0007167	BP	3	4913	4	4.5949050485530645	2.3400745067127086e-27	3	enzyme linked receptor protein signaling pathway	['Transcript_104590.0', 'Transcript_112853.0', 'Transcript_211385.0']
GO:0051246	BP	3	4895	5	4.589609669293103	2.2987080565791455e-27	3	regulation of protein metabolic process	['Transcript_16260.0', 'Transcript_37737.0', 'Transcript_93766.0']
GO:0007600	BP	4	6479	4	4.579034467990959	1.2634895331417966e-36	4	sensory perception	['Transcript_228657.0', 'Transcript_274841.0', 'Transcript_37737.0', 'Transcript_93766.0']
