# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_sidak	p_holm	p_fdr_bh	study_items
.....GO:0001711	BP	e	endodermal cell fate commitment	30/354	48/59161	3.84969911800879e-55	5	30	1.2496123337056531e-51	1.2181145916252017e-51	1.2496123337056531e-51	3.1240308342641328e-52	Transcript_100228.0, Transcript_140027.0, Transcript_140434.0, Transcript_146061.0, Transcript_148837.0, Transcript_154410.0, Transcript_164793.0, Transcript_168010.0, Transcript_177074.0, Transcript_193002.0, Transcript_228864.0, Transcript_237373.0, Transcript_237862.0, Transcript_32081.0, Transcript_42835.0, Transcript_42942.0, Transcript_43675.0, Transcript_44325.0, Transcript_48156.0, Transcript_52995.0, Transcript_58493.0, Transcript_61462.0, Transcript_66503.0, Transcript_71058.0, Transcript_74600.0, Transcript_77337.0, Transcript_79197.0, Transcript_80840.0, Transcript_84994.0, Transcript_90220.0
....GO:0001714	BP	e	endodermal cell fate specification	30/354	48/59161	3.84969911800879e-55	4	30	1.2496123337056531e-51	1.2181145916252017e-51	1.2496123337056531e-51	3.1240308342641328e-52	Transcript_100228.0, Transcript_140027.0, Transcript_140434.0, Transcript_146061.0, Transcript_148837.0, Transcript_154410.0, Transcript_164793.0, Transcript_168010.0, Transcript_177074.0, Transcript_193002.0, Transcript_228864.0, Transcript_237373.0, Transcript_237862.0, Transcript_32081.0, Transcript_42835.0, Transcript_42942.0, Transcript_43675.0, Transcript_44325.0, Transcript_48156.0, Transcript_52995.0, Transcript_58493.0, Transcript_61462.0, Transcript_66503.0, Transcript_71058.0, Transcript_74600.0, Transcript_77337.0, Transcript_79197.0, Transcript_80840.0, Transcript_84994.0, Transcript_90220.0
.....GO:1903224	BP	e	regulation of endodermal cell differentiation	30/354	48/59161	3.84969911800879e-55	7	30	1.2496123337056531e-51	1.2181145916252017e-51	1.2496123337056531e-51	3.1240308342641328e-52	Transcript_100228.0, Transcript_140027.0, Transcript_140434.0, Transcript_146061.0, Transcript_148837.0, Transcript_154410.0, Transcript_164793.0, Transcript_168010.0, Transcript_177074.0, Transcript_193002.0, Transcript_228864.0, Transcript_237373.0, Transcript_237862.0, Transcript_32081.0, Transcript_42835.0, Transcript_42942.0, Transcript_43675.0, Transcript_44325.0, Transcript_48156.0, Transcript_52995.0, Transcript_58493.0, Transcript_61462.0, Transcript_66503.0, Transcript_71058.0, Transcript_74600.0, Transcript_77337.0, Transcript_79197.0, Transcript_80840.0, Transcript_84994.0, Transcript_90220.0
......GO:0042663	BP	e	regulation of endodermal cell fate specification	30/354	48/59161	3.84969911800879e-55	8	30	1.2496123337056531e-51	1.2181145916252017e-51	1.2496123337056531e-51	3.1240308342641328e-52	Transcript_100228.0, Transcript_140027.0, Transcript_140434.0, Transcript_146061.0, Transcript_148837.0, Transcript_154410.0, Transcript_164793.0, Transcript_168010.0, Transcript_177074.0, Transcript_193002.0, Transcript_228864.0, Transcript_237373.0, Transcript_237862.0, Transcript_32081.0, Transcript_42835.0, Transcript_42942.0, Transcript_43675.0, Transcript_44325.0, Transcript_48156.0, Transcript_52995.0, Transcript_58493.0, Transcript_61462.0, Transcript_66503.0, Transcript_71058.0, Transcript_74600.0, Transcript_77337.0, Transcript_79197.0, Transcript_80840.0, Transcript_84994.0, Transcript_90220.0
....GO:0035987	BP	e	endodermal cell differentiation	30/354	49/59161	9.875515984330909e-55	4	30	3.205592488513813e-51	3.1247922893681924e-51	3.201642282120081e-51	6.411184977027627e-52	Transcript_100228.0, Transcript_140027.0, Transcript_140434.0, Transcript_146061.0, Transcript_148837.0, Transcript_154410.0, Transcript_164793.0, Transcript_168010.0, Transcript_177074.0, Transcript_193002.0, Transcript_228864.0, Transcript_237373.0, Transcript_237862.0, Transcript_32081.0, Transcript_42835.0, Transcript_42942.0, Transcript_43675.0, Transcript_44325.0, Transcript_48156.0, Transcript_52995.0, Transcript_58493.0, Transcript_61462.0, Transcript_66503.0, Transcript_71058.0, Transcript_74600.0, Transcript_77337.0, Transcript_79197.0, Transcript_80840.0, Transcript_84994.0, Transcript_90220.0
.....GO:0051781	BP	e	positive regulation of cell division	30/354	65/59161	1.447745527501744e-49	5	30	4.699381982270661e-46	4.580929308891439e-46	4.692143254633152e-46	7.832303303784435e-47	Transcript_100228.0, Transcript_140027.0, Transcript_140434.0, Transcript_146061.0, Transcript_148837.0, Transcript_154410.0, Transcript_164793.0, Transcript_168010.0, Transcript_177074.0, Transcript_193002.0, Transcript_228864.0, Transcript_237373.0, Transcript_237862.0, Transcript_32081.0, Transcript_42835.0, Transcript_42942.0, Transcript_43675.0, Transcript_44325.0, Transcript_48156.0, Transcript_52995.0, Transcript_58493.0, Transcript_61462.0, Transcript_66503.0, Transcript_71058.0, Transcript_74600.0, Transcript_77337.0, Transcript_79197.0, Transcript_80840.0, Transcript_84994.0, Transcript_90220.0
....GO:0051302	BP	e	regulation of cell division	30/354	116/59161	1.9366659642125276e-40	4	30	6.286417719833865e-37	6.127962206385045e-37	6.274797724048589e-37	8.980596742619807e-38	Transcript_100228.0, Transcript_140027.0, Transcript_140434.0, Transcript_146061.0, Transcript_148837.0, Transcript_154410.0, Transcript_164793.0, Transcript_168010.0, Transcript_177074.0, Transcript_193002.0, Transcript_228864.0, Transcript_237373.0, Transcript_237862.0, Transcript_32081.0, Transcript_42835.0, Transcript_42942.0, Transcript_43675.0, Transcript_44325.0, Transcript_48156.0, Transcript_52995.0, Transcript_58493.0, Transcript_61462.0, Transcript_66503.0, Transcript_71058.0, Transcript_74600.0, Transcript_77337.0, Transcript_79197.0, Transcript_80840.0, Transcript_84994.0, Transcript_90220.0
....GO:0044344	BP	e	cellular response to fibroblast growth factor stimulus	30/354	248/59161	7.500968050842129e-30	6	30	2.434814229303355e-26	2.373442275346253e-26	2.4190621963965867e-26	1.014505928876398e-27	Transcript_100228.0, Transcript_140027.0, Transcript_140434.0, Transcript_146061.0, Transcript_148837.0, Transcript_154410.0, Transcript_164793.0, Transcript_168010.0, Transcript_177074.0, Transcript_193002.0, Transcript_228864.0, Transcript_237373.0, Transcript_237862.0, Transcript_32081.0, Transcript_42835.0, Transcript_42942.0, Transcript_43675.0, Transcript_44325.0, Transcript_48156.0, Transcript_52995.0, Transcript_58493.0, Transcript_61462.0, Transcript_66503.0, Transcript_71058.0, Transcript_74600.0, Transcript_77337.0, Transcript_79197.0, Transcript_80840.0, Transcript_84994.0, Transcript_90220.0
...GO:0071774	BP	e	response to fibroblast growth factor	30/354	248/59161	7.500968050842129e-30	5	30	2.434814229303355e-26	2.373442275346253e-26	2.4190621963965867e-26	1.014505928876398e-27	Transcript_100228.0, Transcript_140027.0, Transcript_140434.0, Transcript_146061.0, Transcript_148837.0, Transcript_154410.0, Transcript_164793.0, Transcript_168010.0, Transcript_177074.0, Transcript_193002.0, Transcript_228864.0, Transcript_237373.0, Transcript_237862.0, Transcript_32081.0, Transcript_42835.0, Transcript_42942.0, Transcript_43675.0, Transcript_44325.0, Transcript_48156.0, Transcript_52995.0, Transcript_58493.0, Transcript_61462.0, Transcript_66503.0, Transcript_71058.0, Transcript_74600.0, Transcript_77337.0, Transcript_79197.0, Transcript_80840.0, Transcript_84994.0, Transcript_90220.0
......GO:0008543	BP	e	fibroblast growth factor receptor signaling pathway	30/354	248/59161	7.500968050842129e-30	8	30	2.434814229303355e-26	2.373442275346253e-26	2.4190621963965867e-26	1.014505928876398e-27	Transcript_100228.0, Transcript_140027.0, Transcript_140434.0, Transcript_146061.0, Transcript_148837.0, Transcript_154410.0, Transcript_164793.0, Transcript_168010.0, Transcript_177074.0, Transcript_193002.0, Transcript_228864.0, Transcript_237373.0, Transcript_237862.0, Transcript_32081.0, Transcript_42835.0, Transcript_42942.0, Transcript_43675.0, Transcript_44325.0, Transcript_48156.0, Transcript_52995.0, Transcript_58493.0, Transcript_61462.0, Transcript_66503.0, Transcript_71058.0, Transcript_74600.0, Transcript_77337.0, Transcript_79197.0, Transcript_80840.0, Transcript_84994.0, Transcript_90220.0
