go	onto	in_study	in_population	depth	log2fc	fdr	n_genes	description	genes
GO:0099536	BP	5	8094	3	4.721239556905784	1.1686291977035752e-51	5	synaptic signaling	['Transcript_110081.0', 'Transcript_268824.0', 'Transcript_41509.0', 'Transcript_67453.0', 'Transcript_76702.0']
GO:0099537	BP	5	8094	4	4.721239556905784	1.1686291977035752e-51	5	trans-synaptic signaling	['Transcript_110081.0', 'Transcript_268824.0', 'Transcript_41509.0', 'Transcript_67453.0', 'Transcript_76702.0']
GO:0098916	BP	5	8089	5	4.720348068870936	1.8226208333851102e-51	5	anterograde trans-synaptic signaling	['Transcript_110081.0', 'Transcript_268824.0', 'Transcript_41509.0', 'Transcript_67453.0', 'Transcript_76702.0']
GO:0007268	BP	5	8089	6	4.720348068870936	1.8226208333851102e-51	5	chemical synaptic transmission	['Transcript_110081.0', 'Transcript_268824.0', 'Transcript_41509.0', 'Transcript_67453.0', 'Transcript_76702.0']
GO:0042330	BP	3	4151	2	4.494811234006176	6.319884235494896e-25	3	taxis	['Transcript_244427.0', 'Transcript_8232.0', 'Transcript_8860.0']
GO:0006935	BP	3	4108	3	4.479788483720762	1.417479154778491e-24	3	chemotaxis	['Transcript_244427.0', 'Transcript_8232.0', 'Transcript_8860.0']
GO:0065009	BP	3	4094	2	4.474863404425978	1.3469513409119322e-24	3	regulation of molecular function	['Transcript_55041.0', 'Transcript_63015.0', 'Transcript_68249.0']
GO:0051128	BP	4	5258	4	4.4208289447417695	1.0775742198498973e-31	4	regulation of cellular component organization	['Transcript_108722.0', 'Transcript_263626.0', 'Transcript_272299.0', 'Transcript_81460.0']
GO:0097485	BP	3	3919	3	4.411837875004777	1.9413227211694673e-23	3	neuron projection guidance	['Transcript_244427.0', 'Transcript_8232.0', 'Transcript_8860.0']
GO:0007411	BP	3	3910	4	4.408520909597282	2.961942413936142e-23	3	axon guidance	['Transcript_244427.0', 'Transcript_8232.0', 'Transcript_8860.0']
GO:0021953	BP	4	4104	5	4.063345533730778	2.3667530915482116e-23	4	central nervous system neuron differentiation	['Transcript_47284.0', 'Transcript_65122.0', 'Transcript_70451.0', 'Transcript_86473.0']
GO:0002009	BP	5	5120	4	4.0605305181237235	2.6877735900707077e-29	5	morphogenesis of an epithelium	['Transcript_143010.0', 'Transcript_22662.0', 'Transcript_289203.0', 'Transcript_32285.0', 'Transcript_44975.0']
GO:0016071	BP	5	4499	6	3.8739910748154074	5.144669013135642e-25	5	mRNA metabolic process	['Transcript_190433.0', 'Transcript_246400.0', 'Transcript_47511.0', 'Transcript_51090.0', 'Transcript_92482.0']
GO:0032269	BP	3	2621	6	3.8314696557309844	1.4876108193397164e-14	3	negative regulation of cellular protein metabolic process	['Transcript_47511.0', 'Transcript_51090.0', 'Transcript_92482.0']
GO:0051248	BP	3	2621	6	3.8314696557309844	1.4876108193397164e-14	3	negative regulation of protein metabolic process	['Transcript_47511.0', 'Transcript_51090.0', 'Transcript_92482.0']
GO:0043933	BP	5	4229	4	3.784703268265163	3.322122472962534e-23	5	protein-containing complex subunit organization	['Transcript_143010.0', 'Transcript_190433.0', 'Transcript_289203.0', 'Transcript_32285.0', 'Transcript_44975.0']
GO:0033043	BP	4	3271	5	3.7360465622065018	8.28648414377268e-18	4	regulation of organelle organization	['Transcript_108722.0', 'Transcript_263626.0', 'Transcript_272299.0', 'Transcript_81460.0']
GO:0065003	BP	5	3987	5	3.6996903132336914	1.5172865814955193e-21	5	protein-containing complex assembly	['Transcript_143010.0', 'Transcript_190433.0', 'Transcript_289203.0', 'Transcript_32285.0', 'Transcript_44975.0']
GO:0061024	BP	7	5386	4	3.648174110567791	5.154639705125384e-29	7	membrane organization	['Transcript_161244.0', 'Transcript_234067.0', 'Transcript_245954.0', 'Transcript_26110.0', 'Transcript_38127.0', 'Transcript_61447.0', 'Transcript_80969.0']
GO:0007169	BP	6	4297	5	3.5446820791765057	1.4839973454654212e-22	6	transmembrane receptor protein tyrosine kinase signaling pathway	['Transcript_110081.0', 'Transcript_244427.0', 'Transcript_268824.0', 'Transcript_41509.0', 'Transcript_67453.0', 'Transcript_76702.0']
GO:0006473	BP	4	2857	7	3.540815839060095	4.63514749659481e-15	4	protein acetylation	['Transcript_108722.0', 'Transcript_263626.0', 'Transcript_272299.0', 'Transcript_81460.0']
GO:1901362	BP	7	4902	4	3.512330364932959	1.4277098214195225e-25	7	organic cyclic compound biosynthetic process	['Transcript_141699.0', 'Transcript_167708.0', 'Transcript_202778.0', 'Transcript_232760.0', 'Transcript_272737.0', 'Transcript_88227.0', 'Transcript_96560.0']
GO:0006955	BP	5	3393	2	3.4669481379473375	1.6152370800891678e-17	5	immune response	['Transcript_126778.0', 'Transcript_255277.0', 'Transcript_66870.0', 'Transcript_81023.0', 'Transcript_8860.0']
GO:0019438	BP	7	4746	4	3.465671981260067	1.378495573639401e-24	7	aromatic compound biosynthetic process	['Transcript_141699.0', 'Transcript_167708.0', 'Transcript_202778.0', 'Transcript_232760.0', 'Transcript_272737.0', 'Transcript_88227.0', 'Transcript_96560.0']
GO:0016192	BP	7	4696	2	3.450392289176172	2.878165225889516e-24	7	vesicle-mediated transport	['Transcript_161244.0', 'Transcript_234067.0', 'Transcript_245954.0', 'Transcript_26110.0', 'Transcript_38127.0', 'Transcript_61447.0', 'Transcript_80969.0']
GO:0032879	BP	10	6679	3	3.4440188221190593	4.6362109153703636e-35	10	regulation of localization	['Transcript_161244.0', 'Transcript_234067.0', 'Transcript_244099.0', 'Transcript_245954.0', 'Transcript_246400.0', 'Transcript_26110.0', 'Transcript_38127.0', 'Transcript_61447.0', 'Transcript_80969.0', 'Transcript_97485.0']
GO:0140352	BP	7	4395	2	3.3548230460968855	2.678331129171053e-22	7	export from cell	['Transcript_161244.0', 'Transcript_234067.0', 'Transcript_245954.0', 'Transcript_26110.0', 'Transcript_38127.0', 'Transcript_61447.0', 'Transcript_80969.0']
GO:0032940	BP	7	4395	3	3.3548230460968855	2.678331129171053e-22	7	secretion by cell	['Transcript_161244.0', 'Transcript_234067.0', 'Transcript_245954.0', 'Transcript_26110.0', 'Transcript_38127.0', 'Transcript_61447.0', 'Transcript_80969.0']
GO:0016050	BP	7	4275	5	3.3148843007267415	1.752052367518892e-21	7	vesicle organization	['Transcript_161244.0', 'Transcript_234067.0', 'Transcript_245954.0', 'Transcript_26110.0', 'Transcript_38127.0', 'Transcript_61447.0', 'Transcript_80969.0']
GO:1903530	BP	7	4246	4	3.305064251971497	2.5485869385247707e-21	7	regulation of secretion by cell	['Transcript_161244.0', 'Transcript_234067.0', 'Transcript_245954.0', 'Transcript_26110.0', 'Transcript_38127.0', 'Transcript_61447.0', 'Transcript_80969.0']
GO:0051046	BP	7	4246	5	3.305064251971497	2.5485869385247707e-21	7	regulation of secretion	['Transcript_161244.0', 'Transcript_234067.0', 'Transcript_245954.0', 'Transcript_26110.0', 'Transcript_38127.0', 'Transcript_61447.0', 'Transcript_80969.0']
GO:0007017	BP	7	4116	2	3.260202862960088	2.5257258374131385e-20	7	microtubule-based process	['Transcript_161244.0', 'Transcript_234067.0', 'Transcript_245954.0', 'Transcript_26110.0', 'Transcript_38127.0', 'Transcript_61447.0', 'Transcript_80969.0']
GO:0006928	BP	10	5855	2	3.2540558786249383	3.0397677429322357e-29	10	movement of cell or subcellular component	['Transcript_161244.0', 'Transcript_234067.0', 'Transcript_244427.0', 'Transcript_245954.0', 'Transcript_26110.0', 'Transcript_38127.0', 'Transcript_61447.0', 'Transcript_80969.0', 'Transcript_8232.0', 'Transcript_8860.0']
GO:0061025	BP	7	4082	5	3.248236063098838	3.5637778895123193e-20	7	membrane fusion	['Transcript_161244.0', 'Transcript_234067.0', 'Transcript_245954.0', 'Transcript_26110.0', 'Transcript_38127.0', 'Transcript_61447.0', 'Transcript_80969.0']
GO:0007154	BP	16	9202	2	3.228262259226968	3.338135698240861e-47	16	cell communication	['Transcript_110081.0', 'Transcript_176163.0', 'Transcript_234590.0', 'Transcript_268824.0', 'Transcript_34204.0', 'Transcript_41509.0', 'Transcript_52618.0', 'Transcript_58526.0', 'Transcript_59097.0', 'Transcript_61403.0', 'Transcript_61635.0', 'Transcript_67453.0', 'Transcript_73541.0', 'Transcript_76702.0', 'Transcript_8860.0', 'Transcript_98218.0']
GO:0007267	BP	16	9139	2	3.2183511153373505	1.1567349909672628e-46	16	cell-cell signaling	['Transcript_110081.0', 'Transcript_176163.0', 'Transcript_234590.0', 'Transcript_268824.0', 'Transcript_34204.0', 'Transcript_41509.0', 'Transcript_52618.0', 'Transcript_58526.0', 'Transcript_59097.0', 'Transcript_61403.0', 'Transcript_61635.0', 'Transcript_67453.0', 'Transcript_73541.0', 'Transcript_76702.0', 'Transcript_8860.0', 'Transcript_98218.0']
GO:0006812	BP	10	5642	5	3.2005933738219325	1.0622432191280621e-27	10	cation transport	['Transcript_168015.0', 'Transcript_216841.0', 'Transcript_226660.0', 'Transcript_244099.0', 'Transcript_80386.0', 'Transcript_8860.0', 'Transcript_90437.0', 'Transcript_92374.0', 'Transcript_94126.0', 'Transcript_97485.0']
GO:0046903	BP	8	4442	4	3.177524195670704	1.4901651209931587e-21	8	secretion	['Transcript_161244.0', 'Transcript_234067.0', 'Transcript_245954.0', 'Transcript_26110.0', 'Transcript_38127.0', 'Transcript_61447.0', 'Transcript_75823.0', 'Transcript_80969.0']
GO:0051049	BP	10	5536	4	3.1732306508730854	4.986885743905694e-27	10	regulation of transport	['Transcript_161244.0', 'Transcript_234067.0', 'Transcript_244099.0', 'Transcript_245954.0', 'Transcript_246400.0', 'Transcript_26110.0', 'Transcript_38127.0', 'Transcript_61447.0', 'Transcript_80969.0', 'Transcript_97485.0']
GO:0043067	BP	3	1653	5	3.166439026694881	5.616067271752731e-08	3	regulation of programmed cell death	['Transcript_222474.0', 'Transcript_255277.0', 'Transcript_81023.0']
GO:0042981	BP	3	1646	6	3.1603166378241925	5.528087598341014e-08	3	regulation of apoptotic process	['Transcript_222474.0', 'Transcript_255277.0', 'Transcript_81023.0']
GO:0018130	BP	7	3777	4	3.136200664506292	4.1675956384177144e-18	7	heterocycle biosynthetic process	['Transcript_141699.0', 'Transcript_167708.0', 'Transcript_202778.0', 'Transcript_232760.0', 'Transcript_272737.0', 'Transcript_88227.0', 'Transcript_96560.0']
GO:0034654	BP	7	3763	4	3.1308431701340007	3.96936382123903e-18	7	nucleobase-containing compound biosynthetic process	['Transcript_141699.0', 'Transcript_167708.0', 'Transcript_202778.0', 'Transcript_232760.0', 'Transcript_272737.0', 'Transcript_88227.0', 'Transcript_96560.0']
GO:0055085	BP	10	5366	2	3.1282337624968823	7.643141389700159e-26	10	transmembrane transport	['Transcript_168015.0', 'Transcript_216841.0', 'Transcript_226660.0', 'Transcript_244099.0', 'Transcript_80386.0', 'Transcript_8860.0', 'Transcript_90437.0', 'Transcript_92374.0', 'Transcript_94126.0', 'Transcript_97485.0']
GO:0002521	BP	5	2682	4	3.1276959451408355	7.496220089165313e-13	5	leukocyte differentiation	['Transcript_246268.0', 'Transcript_26229.0', 'Transcript_53709.0', 'Transcript_60029.0', 'Transcript_65535.0']
GO:0034220	BP	10	5293	3	3.1084723618712364	2.376204724169156e-25	10	ion transmembrane transport	['Transcript_168015.0', 'Transcript_216841.0', 'Transcript_226660.0', 'Transcript_244099.0', 'Transcript_80386.0', 'Transcript_8860.0', 'Transcript_90437.0', 'Transcript_92374.0', 'Transcript_94126.0', 'Transcript_97485.0']
GO:0007018	BP	7	3668	3	3.0939535196611736	1.5750906257647785e-17	7	microtubule-based movement	['Transcript_161244.0', 'Transcript_234067.0', 'Transcript_245954.0', 'Transcript_26110.0', 'Transcript_38127.0', 'Transcript_61447.0', 'Transcript_80969.0']
GO:0060627	BP	7	3637	4	3.081708806521736	2.268379663743346e-17	7	regulation of vesicle-mediated transport	['Transcript_161244.0', 'Transcript_234067.0', 'Transcript_245954.0', 'Transcript_26110.0', 'Transcript_38127.0', 'Transcript_61447.0', 'Transcript_80969.0']
GO:0000226	BP	7	3621	3	3.0753480575422967	3.332114143865356e-17	7	microtubule cytoskeleton organization	['Transcript_161244.0', 'Transcript_234067.0', 'Transcript_245954.0', 'Transcript_26110.0', 'Transcript_38127.0', 'Transcript_61447.0', 'Transcript_80969.0']
GO:0098660	BP	10	5156	4	3.070638971598012	2.379641840442346e-24	10	inorganic ion transmembrane transport	['Transcript_168015.0', 'Transcript_216841.0', 'Transcript_226660.0', 'Transcript_244099.0', 'Transcript_80386.0', 'Transcript_8860.0', 'Transcript_90437.0', 'Transcript_92374.0', 'Transcript_94126.0', 'Transcript_97485.0']
