# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_sidak	p_holm	p_fdr_bh	study_items
....GO:0060059	BP	e	embryonic retina morphogenesis in camera-type eye	24/964	219/59161	2.9832185117193044e-13	4	24	9.683527289040862e-10	9.439444194826566e-10	8.308263555138263e-10	2.0960015777144724e-12	Transcript_110159.0, Transcript_140706.0, Transcript_159605.0, Transcript_175743.0, Transcript_205376.0, Transcript_234534.0, Transcript_236100.0, Transcript_263083.0, Transcript_263190.0, Transcript_271136.0, Transcript_34218.0, Transcript_34924.0, Transcript_40915.0, Transcript_45799.0, Transcript_46891.0, Transcript_50731.0, Transcript_50733.0, Transcript_53884.0, Transcript_54758.0, Transcript_58371.0, Transcript_61969.0, Transcript_84079.0, Transcript_86957.0, Transcript_95640.0
..GO:0045494	BP	e	photoreceptor cell maintenance	24/964	241/59161	2.3962840244871313e-12	2	24	7.778337943485228e-09	7.582277072645427e-09	6.642499315878328e-09	1.634104609975888e-11	Transcript_110159.0, Transcript_140706.0, Transcript_159605.0, Transcript_175743.0, Transcript_205376.0, Transcript_234534.0, Transcript_236100.0, Transcript_263083.0, Transcript_263190.0, Transcript_271136.0, Transcript_34218.0, Transcript_34924.0, Transcript_40915.0, Transcript_45799.0, Transcript_46891.0, Transcript_50731.0, Transcript_50733.0, Transcript_53884.0, Transcript_54758.0, Transcript_58371.0, Transcript_61969.0, Transcript_84079.0, Transcript_86957.0, Transcript_95640.0
......GO:0001895	BP	e	retina homeostasis	24/964	241/59161	2.3962840244871313e-12	6	24	7.778337943485228e-09	7.582277072645427e-09	6.642499315878328e-09	1.634104609975888e-11	Transcript_110159.0, Transcript_140706.0, Transcript_159605.0, Transcript_175743.0, Transcript_205376.0, Transcript_234534.0, Transcript_236100.0, Transcript_263083.0, Transcript_263190.0, Transcript_271136.0, Transcript_34218.0, Transcript_34924.0, Transcript_40915.0, Transcript_45799.0, Transcript_46891.0, Transcript_50731.0, Transcript_50733.0, Transcript_53884.0, Transcript_54758.0, Transcript_58371.0, Transcript_61969.0, Transcript_84079.0, Transcript_86957.0, Transcript_95640.0
.........GO:0007204	BP	e	positive regulation of cytosolic calcium ion concentration	24/964	260/59161	1.209916211380054e-11	11	24	3.927388022139656e-08	3.828394236919584e-08	3.3417885758317094e-08	8.097707262143619e-11	Transcript_165554.0, Transcript_237975.0, Transcript_249133.0, Transcript_26092.0, Transcript_267768.0, Transcript_271145.0, Transcript_33079.0, Transcript_35111.0, Transcript_38104.0, Transcript_43050.0, Transcript_52603.0, Transcript_53946.0, Transcript_59196.0, Transcript_65382.0, Transcript_71160.0, Transcript_75195.0, Transcript_81220.0, Transcript_83196.0, Transcript_86322.0, Transcript_86730.0, Transcript_8860.0, Transcript_89094.0, Transcript_89100.0, Transcript_96266.0
....GO:0006954	BP	e	inflammatory response	25/964	346/59161	8.431854875308231e-10	4	25	2.7369800925250516e-06	2.6679917425317084e-06	2.311171421321986e-06	5.4090515662550426e-09	Transcript_126778.0, Transcript_165554.0, Transcript_237975.0, Transcript_249133.0, Transcript_26092.0, Transcript_267768.0, Transcript_271145.0, Transcript_33079.0, Transcript_35111.0, Transcript_38104.0, Transcript_43050.0, Transcript_52603.0, Transcript_53946.0, Transcript_59196.0, Transcript_65382.0, Transcript_66870.0, Transcript_71160.0, Transcript_75195.0, Transcript_81220.0, Transcript_83196.0, Transcript_86322.0, Transcript_86730.0, Transcript_89094.0, Transcript_89100.0, Transcript_96266.0
........GO:0051480	BP	e	regulation of cytosolic calcium ion concentration	24/964	327/59161	1.3384427314245648e-09	10	24	4.344585106204137e-06	4.235075446743604e-06	3.6646561986404585e-06	8.535530660518934e-09	Transcript_165554.0, Transcript_237975.0, Transcript_249133.0, Transcript_26092.0, Transcript_267768.0, Transcript_271145.0, Transcript_33079.0, Transcript_35111.0, Transcript_38104.0, Transcript_43050.0, Transcript_52603.0, Transcript_53946.0, Transcript_59196.0, Transcript_65382.0, Transcript_71160.0, Transcript_75195.0, Transcript_81220.0, Transcript_83196.0, Transcript_86322.0, Transcript_86730.0, Transcript_8860.0, Transcript_89094.0, Transcript_89100.0, Transcript_96266.0
....GO:0009311	BP	e	oligosaccharide metabolic process	14/964	149/59161	1.805142811021524e-07	4	14	0.0005859493564575866	0.0005711799106029854	0.0004830562162293598	1.026181009557945e-06	Transcript_149189.0, Transcript_149803.0, Transcript_165216.0, Transcript_170597.0, Transcript_174287.0, Transcript_178730.0, Transcript_232427.0, Transcript_245579.0, Transcript_29024.0, Transcript_32445.0, Transcript_35089.0, Transcript_81055.0, Transcript_93573.0, Transcript_97017.0
...GO:0006952	BP	e	defense response	25/964	464/59161	2.674757928336662e-07	3	25	0.0008682264235380804	0.0008463418988591835	0.0007141603668658887	1.5047251707765693e-06	Transcript_126778.0, Transcript_165554.0, Transcript_237975.0, Transcript_249133.0, Transcript_26092.0, Transcript_267768.0, Transcript_271145.0, Transcript_33079.0, Transcript_35111.0, Transcript_38104.0, Transcript_43050.0, Transcript_52603.0, Transcript_53946.0, Transcript_59196.0, Transcript_65382.0, Transcript_66870.0, Transcript_71160.0, Transcript_75195.0, Transcript_81220.0, Transcript_83196.0, Transcript_86322.0, Transcript_86730.0, Transcript_89094.0, Transcript_89100.0, Transcript_96266.0
.....GO:0001894	BP	e	tissue homeostasis	25/964	545/59161	4.786890015559662e-06	5	25	0.015538244990506664	0.015146587818203874	0.0124842091605796	2.4316502332561292e-05	Transcript_110159.0, Transcript_140706.0, Transcript_159605.0, Transcript_175743.0, Transcript_190519.0, Transcript_205376.0, Transcript_234534.0, Transcript_236100.0, Transcript_263083.0, Transcript_263190.0, Transcript_271136.0, Transcript_34218.0, Transcript_34924.0, Transcript_40915.0, Transcript_45799.0, Transcript_46891.0, Transcript_50731.0, Transcript_50733.0, Transcript_53884.0, Transcript_54758.0, Transcript_58371.0, Transcript_61969.0, Transcript_84079.0, Transcript_86957.0, Transcript_95640.0
...GO:0045104	BP	e	intermediate filament cytoskeleton organization	11/964	162/59161	7.806345862514799e-05	6	11	0.2533939866972304	0.24700693511135294	0.19656378881812264	0.0003471150502701786	Transcript_139138.0, Transcript_141699.0, Transcript_143830.0, Transcript_167708.0, Transcript_202778.0, Transcript_232611.0, Transcript_232760.0, Transcript_70417.0, Transcript_74504.0, Transcript_88227.0, Transcript_94412.0
