go	onto	in_study	in_population	depth	log2fc	fdr	n_genes	description	genes
GO:0030168	BP	4	6	3	5.763570579389332	1.7210280576936666e-06	4	platelet activation	['Transcript_145826.0', 'Transcript_156153.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0071216	BP	3	5	3	5.611567485944282	7.91522227295608e-05	3	cellular response to biotic stimulus	['Transcript_145826.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0071222	BP	3	5	5	5.611567485944282	7.91522227295608e-05	3	cellular response to lipopolysaccharide	['Transcript_145826.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0071219	BP	3	5	4	5.611567485944282	7.91522227295608e-05	3	cellular response to molecule of bacterial origin	['Transcript_145826.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0072376	BP	4	7	2	5.541178158052884	3.871091845621714e-06	4	protein activation cascade	['Transcript_145826.0', 'Transcript_156153.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0007165	BP	4	14803	2	5.50506888384215	3.8252836252865845e-81	4	signal transduction	['Transcript_194211.0', 'Transcript_267416.0', 'Transcript_50594.0', 'Transcript_5463.0']
GO:0007166	BP	3	11016	3	5.49381726330332	5.316089038038111e-58	3	cell surface receptor signaling pathway	['Transcript_194211.0', 'Transcript_50594.0', 'Transcript_5463.0']
GO:0048583	BP	3	10622	3	5.441272233261181	1.2977705353044363e-55	3	regulation of response to stimulus	['Transcript_194211.0', 'Transcript_50594.0', 'Transcript_5463.0']
GO:0009966	BP	3	9628	4	5.2995248456428525	2.3722035814108597e-49	3	regulation of signal transduction	['Transcript_194211.0', 'Transcript_50594.0', 'Transcript_5463.0']
GO:0035556	BP	3	9050	3	5.210206496026286	9.348411894428159e-46	3	intracellular signal transduction	['Transcript_194211.0', 'Transcript_267416.0', 'Transcript_5463.0']
GO:0007596	BP	4	9	3	5.178608078668176	1.3252018370922187e-05	4	blood coagulation	['Transcript_145826.0', 'Transcript_156153.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0050817	BP	4	9	2	5.178608078668176	1.3252018370922187e-05	4	coagulation	['Transcript_145826.0', 'Transcript_156153.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0007599	BP	4	10	4	5.026604985223125	2.1609933567902416e-05	4	hemostasis	['Transcript_145826.0', 'Transcript_156153.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0006811	BP	3	7648	4	4.967371227149105	1.522828034463543e-37	3	ion transport	['Transcript_260133.0', 'Transcript_27347.0', 'Transcript_86125.0']
GO:0032879	BP	3	6679	3	4.771920818051055	6.456270837619373e-32	3	regulation of localization	['Transcript_145826.0', 'Transcript_79591.0', 'Transcript_93442.0']
GO:0009888	BP	5	10553	3	4.694904390201761	4.588802877213199e-52	5	tissue development	['Transcript_130848.0', 'Transcript_194211.0', 'Transcript_198094.0', 'Transcript_41376.0', 'Transcript_5463.0']
