# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_sidak	p_holm	p_fdr_bh	study_items
...GO:0030168	BP	e	platelet activation	4/726	6/59161	3.3084458040691554e-07	3	4	0.0010739215080008478	0.0010468522307848084	0.0008678053344073394	1.7210280576936666e-06	Transcript_145826.0, Transcript_156153.0, Transcript_79591.0, Transcript_93442.0
..GO:0072376	BP	e	protein activation cascade	4/726	7/59161	7.644392708082313e-07	5	4	0.0024813698730435188	0.002418824437023729	0.001992128739726251	3.871091845621714e-06	Transcript_145826.0, Transcript_156153.0, Transcript_79591.0, Transcript_93442.0
...GO:0007596	BP	e	blood coagulation	4/726	9/59161	2.6985779861921027e-06	5	4	0.008759584143179565	0.008538789969953301	0.0069812212502789696	1.3252018370922187e-05	Transcript_145826.0, Transcript_156153.0, Transcript_79591.0, Transcript_93442.0
..GO:0050817	BP	e	coagulation	4/726	9/59161	2.6985779861921027e-06	2	4	0.008759584143179565	0.008538789969953301	0.0069812212502789696	1.3252018370922187e-05	Transcript_145826.0, Transcript_156153.0, Transcript_79591.0, Transcript_93442.0
....GO:0007599	BP	e	hemostasis	4/726	10/59161	4.453803313902254e-06	4	4	0.014457045556926715	0.014092641109311303	0.01148190494324001	2.1609933567902416e-05	Transcript_145826.0, Transcript_156153.0, Transcript_79591.0, Transcript_93442.0
...GO:0071216	BP	e	cellular response to biotic stimulus	3/726	5/59161	1.80689454844746e-05	3	3	0.05865179704260456	0.05717341920815682	0.0453169152750623	7.91522227295608e-05	Transcript_145826.0, Transcript_79591.0, Transcript_93442.0
.....GO:0071222	BP	e	cellular response to lipopolysaccharide	3/726	5/59161	1.80689454844746e-05	6	3	0.05865179704260456	0.05717341920815682	0.0453169152750623	7.91522227295608e-05	Transcript_145826.0, Transcript_79591.0, Transcript_93442.0
....GO:0071219	BP	e	cellular response to molecule of bacterial origin	3/726	5/59161	1.80689454844746e-05	5	3	0.05865179704260456	0.05717341920815682	0.0453169152750623	7.91522227295608e-05	Transcript_145826.0, Transcript_79591.0, Transcript_93442.0
........GO:0034625	BP	e	fatty acid elongation, monounsaturated fatty acid	2/726	3/59161	0.0004474807457668627	11	2	1.0	1.0	1.0	0.001621118862454505	Transcript_27347.0, Transcript_47028.0
......GO:0042761	BP	e	very long-chain fatty acid biosynthetic process	2/726	3/59161	0.0004474807457668627	9	2	1.0	1.0	1.0	0.001621118862454505	Transcript_27347.0, Transcript_47028.0
......GO:0030497	BP	e	fatty acid elongation	2/726	3/59161	0.0004474807457668627	9	2	1.0	1.0	1.0	0.001621118862454505	Transcript_27347.0, Transcript_47028.0
........GO:0034626	BP	e	fatty acid elongation, polyunsaturated fatty acid	2/726	3/59161	0.0004474807457668627	11	2	1.0	1.0	1.0	0.001621118862454505	Transcript_27347.0, Transcript_47028.0
.......GO:0019367	BP	e	fatty acid elongation, saturated fatty acid	2/726	3/59161	0.0004474807457668627	10	2	1.0	1.0	1.0	0.001621118862454505	Transcript_27347.0, Transcript_47028.0
.......GO:0019368	BP	e	fatty acid elongation, unsaturated fatty acid	2/726	3/59161	0.0004474807457668627	10	2	1.0	1.0	1.0	0.001621118862454505	Transcript_27347.0, Transcript_47028.0
.....GO:0070365	BP	e	hepatocyte differentiation	3/726	13/59161	0.00048018971279898326	5	3	1.0	1.0	1.0	0.0017338106871473856	Transcript_145826.0, Transcript_79591.0, Transcript_93442.0
.....GO:0000038	BP	e	very long-chain fatty acid metabolic process	2/726	4/59161	0.0008876670922838301	8	2	1.0	1.0	1.0	0.003088282295341171	Transcript_27347.0, Transcript_47028.0
...GO:0050878	BP	e	regulation of body fluid levels	4/726	49/59161	0.0030769282696010746	3	4	1.0	1.0	1.0	0.01019153996237254	Transcript_145826.0, Transcript_156153.0, Transcript_79591.0, Transcript_93442.0
......GO:0006636	BP	e	unsaturated fatty acid biosynthetic process	2/726	8/59161	0.004009372348213021	9	2	1.0	1.0	1.0	0.013053583392476895	Transcript_27347.0, Transcript_47028.0
....GO:0070189	BP	e	kynurenine metabolic process	2/726	8/59161	0.004009372348213021	8	2	1.0	1.0	1.0	0.013053583392476895	Transcript_101038.0, Transcript_25168.0
....GO:0042537	BP	e	benzene-containing compound metabolic process	2/726	9/59161	0.005113106805618525	4	2	1.0	1.0	1.0	0.01646542132047394	Transcript_101038.0, Transcript_25168.0
....GO:0032496	BP	e	response to lipopolysaccharide	3/726	36/59161	0.009726641687030985	5	3	1.0	1.0	1.0	0.0300978826654934	Transcript_145826.0, Transcript_79591.0, Transcript_93442.0
