# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_sidak	p_holm	p_fdr_bh	study_items
.....GO:0048934	BP	e	peripheral nervous system neuron differentiation	8/1541	18/59161	7.217895199393947e-09	5	8	2.3429287817232753e-05	2.2838728933576847e-05	1.735182005934305e-05	2.7759819688664402e-08	Transcript_100636.0, Transcript_102519.0, Transcript_22631.0, Transcript_233817.0, Transcript_23773.0, Transcript_37075.0, Transcript_77714.0, Transcript_94176.0
.....GO:0048935	BP	e	peripheral nervous system neuron development	8/1541	18/59161	7.217895199393947e-09	5	8	2.3429287817232753e-05	2.2838728933576847e-05	1.735182005934305e-05	2.7759819688664402e-08	Transcript_100636.0, Transcript_102519.0, Transcript_22631.0, Transcript_233817.0, Transcript_23773.0, Transcript_37075.0, Transcript_77714.0, Transcript_94176.0
......GO:0048918	BP	e	posterior lateral line nerve development	5/1541	16/59161	4.0944744261331905e-05	6	5	0.13290663987228338	0.1295565936615017	0.09126583495850882	0.00013055662069968895	Transcript_100636.0, Transcript_102519.0, Transcript_233817.0, Transcript_37075.0, Transcript_77714.0
.......GO:0106030	BP	e	neuron projection fasciculation	5/1541	24/59161	0.0003350063731404517	7	5	1.0	1.0	0.721603727744533	0.0009939951437055816	Transcript_100636.0, Transcript_102519.0, Transcript_233817.0, Transcript_37075.0, Transcript_77714.0
....GO:0007413	BP	e	axonal fasciculation	5/1541	24/59161	0.0003350063731404517	8	5	1.0	1.0	0.721603727744533	0.0009939951437055816	Transcript_100636.0, Transcript_102519.0, Transcript_233817.0, Transcript_37075.0, Transcript_77714.0
.........GO:0048936	BP	e	peripheral nervous system neuron axonogenesis	3/1541	8/59161	0.0008954067747025012	10	3	1.0	1.0	1.0	0.0025789621922664764	Transcript_22631.0, Transcript_23773.0, Transcript_94176.0
.....GO:0050715	BP	e	positive regulation of cytokine secretion	6/1541	45/59161	0.0010567012667255147	9	6	1.0	1.0	1.0	0.0030327606647135457	Transcript_158075.0, Transcript_227409.0, Transcript_241653.0, Transcript_43515.0, Transcript_48618.0, Transcript_66374.0
...GO:0032612	BP	e	interleukin-1 production	6/1541	45/59161	0.0010567012667255147	6	6	1.0	1.0	1.0	0.0030327606647135457	Transcript_158075.0, Transcript_227409.0, Transcript_241653.0, Transcript_43515.0, Transcript_48618.0, Transcript_66374.0
.....GO:0032652	BP	e	regulation of interleukin-1 production	6/1541	45/59161	0.0010567012667255147	7	6	1.0	1.0	1.0	0.0030327606647135457	Transcript_158075.0, Transcript_227409.0, Transcript_241653.0, Transcript_43515.0, Transcript_48618.0, Transcript_66374.0
.....GO:0046688	BP	e	response to copper ion	2/1541	4/59161	0.003928543574131201	5	2	1.0	1.0	1.0	0.010443941393636266	Transcript_229573.0, Transcript_45430.0
.....GO:0050663	BP	e	cytokine secretion	6/1541	60/59161	0.004672141289467276	9	6	1.0	1.0	1.0	0.01238022091886594	Transcript_158075.0, Transcript_227409.0, Transcript_241653.0, Transcript_43515.0, Transcript_48618.0, Transcript_66374.0
....GO:0050707	BP	e	regulation of cytokine secretion	6/1541	60/59161	0.004672141289467276	8	6	1.0	1.0	1.0	0.01238022091886594	Transcript_158075.0, Transcript_227409.0, Transcript_241653.0, Transcript_43515.0, Transcript_48618.0, Transcript_66374.0
........GO:0010390	BP	e	histone monoubiquitination	3/1541	16/59161	0.00766285574131298	11	3	1.0	1.0	1.0	0.019662948408143824	Transcript_261014.0, Transcript_3302.0, Transcript_56287.0
.....GO:0051222	BP	e	positive regulation of protein transport	6/1541	67/59161	0.007994175981541748	7	6	1.0	1.0	1.0	0.020400232103840028	Transcript_158075.0, Transcript_227409.0, Transcript_241653.0, Transcript_43515.0, Transcript_48618.0, Transcript_66374.0
....GO:1904951	BP	e	positive regulation of establishment of protein localization	6/1541	67/59161	0.007994175981541748	6	6	1.0	1.0	1.0	0.020400232103840028	Transcript_158075.0, Transcript_227409.0, Transcript_241653.0, Transcript_43515.0, Transcript_48618.0, Transcript_66374.0
......GO:0002793	BP	e	positive regulation of peptide secretion	6/1541	67/59161	0.007994175981541748	7	6	1.0	1.0	1.0	0.020400232103840028	Transcript_158075.0, Transcript_227409.0, Transcript_241653.0, Transcript_43515.0, Transcript_48618.0, Transcript_66374.0
......GO:0050714	BP	e	positive regulation of protein secretion	6/1541	67/59161	0.007994175981541748	8	6	1.0	1.0	1.0	0.020400232103840028	Transcript_158075.0, Transcript_227409.0, Transcript_241653.0, Transcript_43515.0, Transcript_48618.0, Transcript_66374.0
.....GO:0001755	BP	e	neural crest cell migration	8/1541	113/59161	0.00961039047223467	6	8	1.0	1.0	1.0	0.024447748803192584	Transcript_115089.0, Transcript_227803.0, Transcript_234715.0, Transcript_38952.0, Transcript_59115.0, Transcript_76611.0, Transcript_88912.0, Transcript_93677.0
