go	onto	in_study	in_population	depth	log2fc	fdr	n_genes	description	genes
GO:0007600	BP	4	6479	4	6.5057295384398195	6.778694067883657e-162	4	sensory perception	['Transcript_102597.0', 'Transcript_37737.0', 'Transcript_46647.0', 'Transcript_93766.0']
GO:0007218	BP	3	4678	4	6.450887741603333	1.0357317147943148e-114	3	neuropeptide signaling pathway	['Transcript_102597.0', 'Transcript_228126.0', 'Transcript_75070.0']
GO:0023057	BP	3	4251	4	6.312798138890081	2.324396799159587e-103	3	negative regulation of signaling	['Transcript_228126.0', 'Transcript_5147.0', 'Transcript_77104.0']
GO:0010648	BP	3	4251	5	6.312798138890081	2.324396799159587e-103	3	negative regulation of cell communication	['Transcript_228126.0', 'Transcript_5147.0', 'Transcript_77104.0']
GO:0048585	BP	3	4249	4	6.312119223564191	2.3276609129597766e-103	3	negative regulation of response to stimulus	['Transcript_228126.0', 'Transcript_5147.0', 'Transcript_77104.0']
GO:0009968	BP	3	4227	5	6.304629992281698	1.3765842671888587e-102	3	negative regulation of signal transduction	['Transcript_228126.0', 'Transcript_5147.0', 'Transcript_77104.0']
GO:0034613	BP	3	3946	4	6.205386835974464	2.338657530630107e-95	3	cellular protein localization	['Transcript_253520.0', 'Transcript_275400.0', 'Transcript_45430.0']
GO:0070727	BP	3	3946	3	6.205386835974464	2.338657530630107e-95	3	cellular macromolecule localization	['Transcript_253520.0', 'Transcript_275400.0', 'Transcript_45430.0']
GO:0035023	BP	3	3634	8	6.086554299485021	4.2435826282124854e-87	3	regulation of Rho protein signal transduction	['Transcript_234643.0', 'Transcript_238898.0', 'Transcript_40890.0']
GO:0015850	BP	3	3603	5	6.074194531677696	2.266210163465183e-86	3	organic hydroxy compound transport	['Transcript_37737.0', 'Transcript_46647.0', 'Transcript_93766.0']
GO:0006886	BP	3	3599	4	6.072591982175633	3.520956666065328e-86	3	intracellular protein transport	['Transcript_207314.0', 'Transcript_275400.0', 'Transcript_45430.0']
GO:0051641	BP	6	6513	2	5.928318106587206	3.599215053589261e-159	6	cellular localization	['Transcript_190498.0', 'Transcript_207314.0', 'Transcript_251328.0', 'Transcript_253520.0', 'Transcript_275400.0', 'Transcript_45430.0']
GO:0021517	BP	3	3222	3	5.9129523739574745	2.3805676220669053e-76	3	ventral spinal cord development	['Transcript_236603.0', 'Transcript_260563.0', 'Transcript_50830.0']
GO:1905114	BP	4	4229	4	5.890274941000864	6.528941320713953e-101	4	cell surface receptor signaling pathway involved in cell-cell signaling	['Transcript_242124.0', 'Transcript_39256.0', 'Transcript_5147.0', 'Transcript_74456.0']
GO:0198738	BP	4	4223	3	5.8882266277733635	1.0167461700541167e-100	4	cell-cell signaling by wnt	['Transcript_242124.0', 'Transcript_39256.0', 'Transcript_5147.0', 'Transcript_74456.0']
GO:0016055	BP	4	4217	5	5.886175402251196	1.595093388771425e-100	4	Wnt signaling pathway	['Transcript_242124.0', 'Transcript_39256.0', 'Transcript_5147.0', 'Transcript_74456.0']
GO:0006974	BP	4	4164	4	5.86792844927148	3.027955442194273e-99	4	cellular response to DNA damage stimulus	['Transcript_19917.0', 'Transcript_23022.0', 'Transcript_252042.0', 'Transcript_78974.0']
GO:0099537	BP	9	8094	4	5.656886228199173	5.1422659645046255e-198	9	trans-synaptic signaling	['Transcript_140184.0', 'Transcript_150806.0', 'Transcript_231742.0', 'Transcript_253520.0', 'Transcript_255299.0', 'Transcript_257306.0', 'Transcript_63840.0', 'Transcript_67812.0', 'Transcript_77470.0']
GO:0099536	BP	9	8094	3	5.656886228199173	5.1422659645046255e-198	9	synaptic signaling	['Transcript_140184.0', 'Transcript_150806.0', 'Transcript_231742.0', 'Transcript_253520.0', 'Transcript_255299.0', 'Transcript_257306.0', 'Transcript_63840.0', 'Transcript_67812.0', 'Transcript_77470.0']
GO:0098916	BP	9	8089	5	5.655994740164324	7.838917693813016e-198	9	anterograde trans-synaptic signaling	['Transcript_140184.0', 'Transcript_150806.0', 'Transcript_231742.0', 'Transcript_253520.0', 'Transcript_255299.0', 'Transcript_257306.0', 'Transcript_63840.0', 'Transcript_67812.0', 'Transcript_77470.0']
GO:0007268	BP	9	8089	6	5.655994740164324	7.838917693813016e-198	9	chemical synaptic transmission	['Transcript_140184.0', 'Transcript_150806.0', 'Transcript_231742.0', 'Transcript_253520.0', 'Transcript_255299.0', 'Transcript_257306.0', 'Transcript_63840.0', 'Transcript_67812.0', 'Transcript_77470.0']
GO:0048878	BP	4	3460	4	5.600730418496148	6.465168196086948e-81	4	chemical homeostasis	['Transcript_236603.0', 'Transcript_260563.0', 'Transcript_270026.0', 'Transcript_37733.0']
GO:0009260	BP	3	2589	6	5.597390845151017	4.0772441183665245e-60	3	ribonucleotide biosynthetic process	['Transcript_22809.0', 'Transcript_64884.0', 'Transcript_86051.0']
GO:0046390	BP	3	2589	5	5.597390845151017	4.0772441183665245e-60	3	ribose phosphate biosynthetic process	['Transcript_22809.0', 'Transcript_64884.0', 'Transcript_86051.0']
GO:0009152	BP	3	2588	7	5.596833497243413	4.0228205589315e-60	3	purine ribonucleotide biosynthetic process	['Transcript_22809.0', 'Transcript_64884.0', 'Transcript_86051.0']
GO:0046907	BP	5	4123	3	5.531724746972764	1.6616041081438354e-96	5	intracellular transport	['Transcript_190498.0', 'Transcript_207314.0', 'Transcript_251328.0', 'Transcript_275400.0', 'Transcript_45430.0']
GO:0050801	BP	4	3272	5	5.52013112891381	4.999796751348807e-76	4	ion homeostasis	['Transcript_236603.0', 'Transcript_260563.0', 'Transcript_270026.0', 'Transcript_37733.0']
GO:0098771	BP	4	3257	6	5.5135021003679645	1.134538967084813e-75	4	inorganic ion homeostasis	['Transcript_236603.0', 'Transcript_260563.0', 'Transcript_270026.0', 'Transcript_37733.0']
GO:0055080	BP	4	3257	6	5.5135021003679645	1.134538967084813e-75	4	cation homeostasis	['Transcript_236603.0', 'Transcript_260563.0', 'Transcript_270026.0', 'Transcript_37733.0']
GO:0070085	BP	5	4067	2	5.511995276546832	4.8818750787543094e-95	5	glycosylation	['Transcript_131506.0', 'Transcript_21421.0', 'Transcript_32716.0', 'Transcript_58325.0', 'Transcript_59936.0']
GO:0043413	BP	5	4065	3	5.511285638047089	7.71324928200985e-95	5	macromolecule glycosylation	['Transcript_131506.0', 'Transcript_21421.0', 'Transcript_32716.0', 'Transcript_58325.0', 'Transcript_59936.0']
GO:0006486	BP	5	4065	4	5.511285638047089	7.71324928200985e-95	5	protein glycosylation	['Transcript_131506.0', 'Transcript_21421.0', 'Transcript_32716.0', 'Transcript_58325.0', 'Transcript_59936.0']
GO:0055082	BP	4	3246	3	5.508621380520033	2.639221327186399e-75	4	cellular chemical homeostasis	['Transcript_236603.0', 'Transcript_260563.0', 'Transcript_270026.0', 'Transcript_37733.0']
GO:0006873	BP	4	3229	4	5.501045821586042	5.951292471941852e-75	4	cellular ion homeostasis	['Transcript_236603.0', 'Transcript_260563.0', 'Transcript_270026.0', 'Transcript_37733.0']
GO:0030003	BP	4	3223	5	5.498362569031607	9.01747670783044e-75	4	cellular cation homeostasis	['Transcript_236603.0', 'Transcript_260563.0', 'Transcript_270026.0', 'Transcript_37733.0']
GO:1901700	BP	6	4827	3	5.496122706695508	2.9444728520117997e-113	6	response to oxygen-containing compound	['Transcript_130054.0', 'Transcript_236603.0', 'Transcript_260563.0', 'Transcript_45430.0', 'Transcript_50830.0', 'Transcript_55064.0']
GO:0044283	BP	4	3125	3	5.453814570408873	2.957494567248319e-72	4	small molecule biosynthetic process	['Transcript_229573.0', 'Transcript_250010.0', 'Transcript_266530.0', 'Transcript_76603.0']
GO:0070838	BP	4	3125	7	5.453814570408873	2.957494567248319e-72	4	divalent metal ion transport	['Transcript_236603.0', 'Transcript_260563.0', 'Transcript_270026.0', 'Transcript_37733.0']
GO:0072511	BP	4	3125	6	5.453814570408873	2.957494567248319e-72	4	divalent inorganic cation transport	['Transcript_236603.0', 'Transcript_260563.0', 'Transcript_270026.0', 'Transcript_37733.0']
GO:0006816	BP	4	3060	8	5.423490033552076	1.9881824070739103e-70	4	calcium ion transport	['Transcript_236603.0', 'Transcript_260563.0', 'Transcript_270026.0', 'Transcript_37733.0']
GO:0055065	BP	4	3053	7	5.420185970178841	2.974052405991431e-70	4	metal ion homeostasis	['Transcript_236603.0', 'Transcript_260563.0', 'Transcript_270026.0', 'Transcript_37733.0']
GO:0070588	BP	4	3037	6	5.412605289139521	6.383735384533491e-70	4	calcium ion transmembrane transport	['Transcript_236603.0', 'Transcript_260563.0', 'Transcript_270026.0', 'Transcript_37733.0']
GO:0006875	BP	4	3019	6	5.404029137485687	1.408886832409071e-69	4	cellular metal ion homeostasis	['Transcript_236603.0', 'Transcript_260563.0', 'Transcript_270026.0', 'Transcript_37733.0']
GO:0072507	BP	4	2974	7	5.38236302802448	2.5716863906342687e-68	4	divalent inorganic cation homeostasis	['Transcript_236603.0', 'Transcript_260563.0', 'Transcript_270026.0', 'Transcript_37733.0']
GO:0072503	BP	4	2966	6	5.378476978426692	3.813115047243455e-68	4	cellular divalent inorganic cation homeostasis	['Transcript_236603.0', 'Transcript_260563.0', 'Transcript_270026.0', 'Transcript_37733.0']
GO:0055074	BP	4	2933	8	5.362335451729018	3.0872369823706934e-67	4	calcium ion homeostasis	['Transcript_236603.0', 'Transcript_260563.0', 'Transcript_270026.0', 'Transcript_37733.0']
GO:0006874	BP	4	2925	7	5.358395005330191	4.512407271529483e-67	4	cellular calcium ion homeostasis	['Transcript_236603.0', 'Transcript_260563.0', 'Transcript_270026.0', 'Transcript_37733.0']
GO:0008380	BP	6	4275	7	5.320920299911528	7.92852846336947e-99	6	RNA splicing	['Transcript_101937.0', 'Transcript_204923.0', 'Transcript_245330.0', 'Transcript_256667.0', 'Transcript_73800.0', 'Transcript_77074.0']
GO:0007154	BP	13	9202	2	5.311466118934215	8.13389807774685e-223	13	cell communication	['Transcript_140184.0', 'Transcript_150806.0', 'Transcript_231742.0', 'Transcript_242124.0', 'Transcript_253520.0', 'Transcript_255299.0', 'Transcript_257306.0', 'Transcript_39256.0', 'Transcript_5147.0', 'Transcript_63840.0', 'Transcript_67812.0', 'Transcript_74456.0', 'Transcript_77470.0']
GO:0007267	BP	13	9139	2	5.301554975044597	3.964913156708186e-221	13	cell-cell signaling	['Transcript_140184.0', 'Transcript_150806.0', 'Transcript_231742.0', 'Transcript_242124.0', 'Transcript_253520.0', 'Transcript_255299.0', 'Transcript_257306.0', 'Transcript_39256.0', 'Transcript_5147.0', 'Transcript_63840.0', 'Transcript_67812.0', 'Transcript_74456.0', 'Transcript_77470.0']
GO:0042330	BP	6	4151	2	5.278454811854513	1.7400759265727338e-95	6	taxis	['Transcript_22631.0', 'Transcript_23773.0', 'Transcript_43804.0', 'Transcript_82298.0', 'Transcript_82912.0', 'Transcript_94176.0']
GO:0006935	BP	6	4108	3	5.263432061569101	2.119309430824807e-94	6	chemotaxis	['Transcript_22631.0', 'Transcript_23773.0', 'Transcript_43804.0', 'Transcript_82298.0', 'Transcript_82912.0', 'Transcript_94176.0']
GO:0006955	BP	5	3393	2	5.250591715795676	1.5169829591865933e-77	5	immune response	['Transcript_19917.0', 'Transcript_261014.0', 'Transcript_3302.0', 'Transcript_56287.0', 'Transcript_78136.0']
GO:0019693	BP	4	2698	4	5.2418487289203295	3.305298914880827e-61	4	ribose phosphate metabolic process	['Transcript_22809.0', 'Transcript_229573.0', 'Transcript_64884.0', 'Transcript_86051.0']
GO:0000375	BP	6	4030	8	5.235775718666235	2.1868085433014183e-92	6	RNA splicing, via transesterification reactions	['Transcript_101937.0', 'Transcript_204923.0', 'Transcript_245330.0', 'Transcript_256667.0', 'Transcript_73800.0', 'Transcript_77074.0']
GO:0000398	BP	6	4030	8	5.235775718666235	2.1868085433014183e-92	6	mRNA splicing, via spliceosome	['Transcript_101937.0', 'Transcript_204923.0', 'Transcript_245330.0', 'Transcript_256667.0', 'Transcript_73800.0', 'Transcript_77074.0']
