# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_sidak	p_holm	p_fdr_bh	study_items
....GO:0071698	BP	e	olfactory placode development	59/3319	278/59161	7.037490932396356e-19	4	59	2.284369556655857e-15	2.2267897127545004e-15	1.7502239948869737e-15	3.0057494166524437e-18	Transcript_100636.0, Transcript_100813.0, Transcript_100890.0, Transcript_102519.0, Transcript_143179.0, Transcript_147674.0, Transcript_148614.0, Transcript_148677.0, Transcript_149019.0, Transcript_150799.0, Transcript_152435.0, Transcript_154241.0, Transcript_157887.0, Transcript_160488.0, Transcript_163886.0, Transcript_207663.0, Transcript_208040.0, Transcript_230743.0, Transcript_233817.0, Transcript_236196.0, Transcript_246814.0, Transcript_248573.0, Transcript_250288.0, Transcript_25443.0, Transcript_255148.0, Transcript_260618.0, Transcript_262299.0, Transcript_269273.0, Transcript_271009.0, Transcript_29019.0, Transcript_30141.0, Transcript_30769.0, Transcript_34712.0, Transcript_37075.0, Transcript_40086.0, Transcript_40345.0, Transcript_48636.0, Transcript_48719.0, Transcript_49165.0, Transcript_52405.0, Transcript_54226.0, Transcript_55829.0, Transcript_56904.0, Transcript_59371.0, Transcript_65150.0, Transcript_65587.0, Transcript_70504.0, Transcript_77714.0, Transcript_80240.0, Transcript_80628.0, Transcript_81555.0, Transcript_83035.0, Transcript_85987.0, Transcript_91696.0, Transcript_94158.0, Transcript_95955.0, Transcript_97282.0, Transcript_97615.0, Transcript_99413.0
....GO:0048864	BP	e	stem cell development	70/3319	395/59161	1.3011377589676892e-17	4	70	4.2234931656091193e-14	4.1170357509208283e-14	3.2021000248194834e-14	5.359762900519187e-17	Transcript_100813.0, Transcript_100890.0, Transcript_115089.0, Transcript_142507.0, Transcript_143179.0, Transcript_147674.0, Transcript_148614.0, Transcript_148677.0, Transcript_149019.0, Transcript_150799.0, Transcript_152435.0, Transcript_154241.0, Transcript_157887.0, Transcript_160488.0, Transcript_163886.0, Transcript_207663.0, Transcript_208040.0, Transcript_227748.0, Transcript_227803.0, Transcript_230743.0, Transcript_234715.0, Transcript_236196.0, Transcript_246814.0, Transcript_248573.0, Transcript_250288.0, Transcript_25443.0, Transcript_255148.0, Transcript_260618.0, Transcript_262299.0, Transcript_269273.0, Transcript_271009.0, Transcript_29019.0, Transcript_30141.0, Transcript_30769.0, Transcript_34712.0, Transcript_38952.0, Transcript_39256.0, Transcript_40086.0, Transcript_40345.0, Transcript_40680.0, Transcript_48636.0, Transcript_48719.0, Transcript_49165.0, Transcript_51029.0, Transcript_52405.0, Transcript_54226.0, Transcript_55829.0, Transcript_56904.0, Transcript_59115.0, Transcript_59371.0, Transcript_64639.0, Transcript_65150.0, Transcript_65587.0, Transcript_69702.0, Transcript_70504.0, Transcript_74456.0, Transcript_76611.0, Transcript_80240.0, Transcript_80628.0, Transcript_81555.0, Transcript_83035.0, Transcript_85987.0, Transcript_88912.0, Transcript_91696.0, Transcript_93677.0, Transcript_94158.0, Transcript_95955.0, Transcript_97282.0, Transcript_97615.0, Transcript_99413.0
.....GO:0014032	BP	e	neural crest cell development	70/3319	395/59161	1.3011377589676892e-17	5	70	4.2234931656091193e-14	4.1170357509208283e-14	3.2021000248194834e-14	5.359762900519187e-17	Transcript_100813.0, Transcript_100890.0, Transcript_115089.0, Transcript_142507.0, Transcript_143179.0, Transcript_147674.0, Transcript_148614.0, Transcript_148677.0, Transcript_149019.0, Transcript_150799.0, Transcript_152435.0, Transcript_154241.0, Transcript_157887.0, Transcript_160488.0, Transcript_163886.0, Transcript_207663.0, Transcript_208040.0, Transcript_227748.0, Transcript_227803.0, Transcript_230743.0, Transcript_234715.0, Transcript_236196.0, Transcript_246814.0, Transcript_248573.0, Transcript_250288.0, Transcript_25443.0, Transcript_255148.0, Transcript_260618.0, Transcript_262299.0, Transcript_269273.0, Transcript_271009.0, Transcript_29019.0, Transcript_30141.0, Transcript_30769.0, Transcript_34712.0, Transcript_38952.0, Transcript_39256.0, Transcript_40086.0, Transcript_40345.0, Transcript_40680.0, Transcript_48636.0, Transcript_48719.0, Transcript_49165.0, Transcript_51029.0, Transcript_52405.0, Transcript_54226.0, Transcript_55829.0, Transcript_56904.0, Transcript_59115.0, Transcript_59371.0, Transcript_64639.0, Transcript_65150.0, Transcript_65587.0, Transcript_69702.0, Transcript_70504.0, Transcript_74456.0, Transcript_76611.0, Transcript_80240.0, Transcript_80628.0, Transcript_81555.0, Transcript_83035.0, Transcript_85987.0, Transcript_88912.0, Transcript_91696.0, Transcript_93677.0, Transcript_94158.0, Transcript_95955.0, Transcript_97282.0, Transcript_97615.0, Transcript_99413.0
....GO:0014031	BP	e	mesenchymal cell development	70/3319	395/59161	1.3011377589676892e-17	4	70	4.2234931656091193e-14	4.1170357509208283e-14	3.2021000248194834e-14	5.359762900519187e-17	Transcript_100813.0, Transcript_100890.0, Transcript_115089.0, Transcript_142507.0, Transcript_143179.0, Transcript_147674.0, Transcript_148614.0, Transcript_148677.0, Transcript_149019.0, Transcript_150799.0, Transcript_152435.0, Transcript_154241.0, Transcript_157887.0, Transcript_160488.0, Transcript_163886.0, Transcript_207663.0, Transcript_208040.0, Transcript_227748.0, Transcript_227803.0, Transcript_230743.0, Transcript_234715.0, Transcript_236196.0, Transcript_246814.0, Transcript_248573.0, Transcript_250288.0, Transcript_25443.0, Transcript_255148.0, Transcript_260618.0, Transcript_262299.0, Transcript_269273.0, Transcript_271009.0, Transcript_29019.0, Transcript_30141.0, Transcript_30769.0, Transcript_34712.0, Transcript_38952.0, Transcript_39256.0, Transcript_40086.0, Transcript_40345.0, Transcript_40680.0, Transcript_48636.0, Transcript_48719.0, Transcript_49165.0, Transcript_51029.0, Transcript_52405.0, Transcript_54226.0, Transcript_55829.0, Transcript_56904.0, Transcript_59115.0, Transcript_59371.0, Transcript_64639.0, Transcript_65150.0, Transcript_65587.0, Transcript_69702.0, Transcript_70504.0, Transcript_74456.0, Transcript_76611.0, Transcript_80240.0, Transcript_80628.0, Transcript_81555.0, Transcript_83035.0, Transcript_85987.0, Transcript_88912.0, Transcript_91696.0, Transcript_93677.0, Transcript_94158.0, Transcript_95955.0, Transcript_97282.0, Transcript_97615.0, Transcript_99413.0
......GO:0071711	BP	e	basement membrane organization	54/3319	265/59161	1.351716655187459e-16	6	54	4.387672262738492e-13	4.2770765479415204e-13	3.3062989385885247e-13	5.477743149486257e-16	Transcript_100813.0, Transcript_100890.0, Transcript_143179.0, Transcript_147674.0, Transcript_148614.0, Transcript_148677.0, Transcript_149019.0, Transcript_150799.0, Transcript_152435.0, Transcript_154241.0, Transcript_157887.0, Transcript_160488.0, Transcript_163886.0, Transcript_207663.0, Transcript_208040.0, Transcript_230743.0, Transcript_236196.0, Transcript_246814.0, Transcript_248573.0, Transcript_250288.0, Transcript_25443.0, Transcript_255148.0, Transcript_260618.0, Transcript_262299.0, Transcript_269273.0, Transcript_271009.0, Transcript_29019.0, Transcript_30141.0, Transcript_30769.0, Transcript_34712.0, Transcript_40086.0, Transcript_40345.0, Transcript_48636.0, Transcript_48719.0, Transcript_49165.0, Transcript_52405.0, Transcript_54226.0, Transcript_55829.0, Transcript_56904.0, Transcript_59371.0, Transcript_65150.0, Transcript_65587.0, Transcript_70504.0, Transcript_80240.0, Transcript_80628.0, Transcript_81555.0, Transcript_83035.0, Transcript_85987.0, Transcript_91696.0, Transcript_94158.0, Transcript_95955.0, Transcript_97282.0, Transcript_97615.0, Transcript_99413.0
...GO:0030574	BP	e	collagen catabolic process	54/3319	274/59161	6.103705651488043e-16	3	54	1.9812628544730188e-12	1.931323121404995e-12	1.4862523261373384e-12	2.439978884818989e-15	Transcript_100813.0, Transcript_100890.0, Transcript_143179.0, Transcript_147674.0, Transcript_148614.0, Transcript_148677.0, Transcript_149019.0, Transcript_150799.0, Transcript_152435.0, Transcript_154241.0, Transcript_157887.0, Transcript_160488.0, Transcript_163886.0, Transcript_207663.0, Transcript_208040.0, Transcript_230743.0, Transcript_236196.0, Transcript_246814.0, Transcript_248573.0, Transcript_250288.0, Transcript_25443.0, Transcript_255148.0, Transcript_260618.0, Transcript_262299.0, Transcript_269273.0, Transcript_271009.0, Transcript_29019.0, Transcript_30141.0, Transcript_30769.0, Transcript_34712.0, Transcript_40086.0, Transcript_40345.0, Transcript_48636.0, Transcript_48719.0, Transcript_49165.0, Transcript_52405.0, Transcript_54226.0, Transcript_55829.0, Transcript_56904.0, Transcript_59371.0, Transcript_65150.0, Transcript_65587.0, Transcript_70504.0, Transcript_80240.0, Transcript_80628.0, Transcript_81555.0, Transcript_83035.0, Transcript_85987.0, Transcript_91696.0, Transcript_94158.0, Transcript_95955.0, Transcript_97282.0, Transcript_97615.0, Transcript_99413.0
...GO:0014029	BP	e	neural crest formation	54/3319	283/59161	2.564043157920587e-15	6	54	8.322884090610226e-12	8.113097383660769e-12	6.217804657957424e-12	1.0125163127263049e-14	Transcript_100813.0, Transcript_100890.0, Transcript_143179.0, Transcript_147674.0, Transcript_148614.0, Transcript_148677.0, Transcript_149019.0, Transcript_150799.0, Transcript_152435.0, Transcript_154241.0, Transcript_157887.0, Transcript_160488.0, Transcript_163886.0, Transcript_207663.0, Transcript_208040.0, Transcript_230743.0, Transcript_236196.0, Transcript_246814.0, Transcript_248573.0, Transcript_250288.0, Transcript_25443.0, Transcript_255148.0, Transcript_260618.0, Transcript_262299.0, Transcript_269273.0, Transcript_271009.0, Transcript_29019.0, Transcript_30141.0, Transcript_30769.0, Transcript_34712.0, Transcript_40086.0, Transcript_40345.0, Transcript_48636.0, Transcript_48719.0, Transcript_49165.0, Transcript_52405.0, Transcript_54226.0, Transcript_55829.0, Transcript_56904.0, Transcript_59371.0, Transcript_65150.0, Transcript_65587.0, Transcript_70504.0, Transcript_80240.0, Transcript_80628.0, Transcript_81555.0, Transcript_83035.0, Transcript_85987.0, Transcript_91696.0, Transcript_94158.0, Transcript_95955.0, Transcript_97282.0, Transcript_97615.0, Transcript_99413.0
...GO:0071696	BP	e	ectodermal placode development	92/3319	672/59161	3.9425512856930316e-15	3	92	1.279752147335958e-11	1.247494700785189e-11	9.548859213948523e-12	1.5512147240435855e-14	Transcript_100114.0, Transcript_100636.0, Transcript_100813.0, Transcript_100890.0, Transcript_102519.0, Transcript_115089.0, Transcript_143179.0, Transcript_147674.0, Transcript_148614.0, Transcript_148677.0, Transcript_149019.0, Transcript_150799.0, Transcript_152435.0, Transcript_154241.0, Transcript_157811.0, Transcript_157887.0, Transcript_160488.0, Transcript_163886.0, Transcript_207663.0, Transcript_208040.0, Transcript_227748.0, Transcript_227803.0, Transcript_230743.0, Transcript_233817.0, Transcript_234715.0, Transcript_236196.0, Transcript_246814.0, Transcript_248441.0, Transcript_248573.0, Transcript_250288.0, Transcript_25443.0, Transcript_255148.0, Transcript_258540.0, Transcript_260618.0, Transcript_262299.0, Transcript_267464.0, Transcript_269273.0, Transcript_271009.0, Transcript_271094.0, Transcript_29019.0, Transcript_30141.0, Transcript_30769.0, Transcript_34712.0, Transcript_36890.0, Transcript_37075.0, Transcript_38952.0, Transcript_39256.0, Transcript_40086.0, Transcript_40345.0, Transcript_40725.0, Transcript_42697.0, Transcript_45927.0, Transcript_48636.0, Transcript_48719.0, Transcript_49165.0, Transcript_50538.0, Transcript_52405.0, Transcript_54226.0, Transcript_55829.0, Transcript_56904.0, Transcript_59115.0, Transcript_59371.0, Transcript_62280.0, Transcript_65150.0, Transcript_65587.0, Transcript_68501.0, Transcript_70504.0, Transcript_72923.0, Transcript_74456.0, Transcript_74619.0, Transcript_76611.0, Transcript_77714.0, Transcript_78797.0, Transcript_80240.0, Transcript_80628.0, Transcript_81555.0, Transcript_81655.0, Transcript_83035.0, Transcript_85023.0, Transcript_85987.0, Transcript_88912.0, Transcript_89911.0, Transcript_91696.0, Transcript_93677.0, Transcript_94158.0, Transcript_95129.0, Transcript_95955.0, Transcript_96379.0, Transcript_97282.0, Transcript_97615.0, Transcript_99294.0, Transcript_99413.0
...GO:0030902	BP	e	hindbrain development	103/3319	810/59161	1.1886657986741892e-14	3	103	3.858409182496418e-11	3.761154078658955e-11	2.8575525800127507e-11	4.5769978440052407e-14	Transcript_100636.0, Transcript_100813.0, Transcript_100890.0, Transcript_102519.0, Transcript_142507.0, Transcript_143179.0, Transcript_144530.0, Transcript_147223.0, Transcript_147674.0, Transcript_148614.0, Transcript_148677.0, Transcript_149019.0, Transcript_149441.0, Transcript_150799.0, Transcript_152435.0, Transcript_154241.0, Transcript_154407.0, Transcript_156921.0, Transcript_157765.0, Transcript_157887.0, Transcript_160488.0, Transcript_160703.0, Transcript_163886.0, Transcript_16585.0, Transcript_169949.0, Transcript_207663.0, Transcript_208040.0, Transcript_230743.0, Transcript_233817.0, Transcript_236196.0, Transcript_243947.0, Transcript_246814.0, Transcript_248573.0, Transcript_248631.0, Transcript_250288.0, Transcript_25443.0, Transcript_255148.0, Transcript_260618.0, Transcript_261168.0, Transcript_262299.0, Transcript_262709.0, Transcript_269119.0, Transcript_269273.0, Transcript_271009.0, Transcript_271117.0, Transcript_274080.0, Transcript_29019.0, Transcript_30038.0, Transcript_30141.0, Transcript_30769.0, Transcript_32758.0, Transcript_34712.0, Transcript_34882.0, Transcript_36038.0, Transcript_37075.0, Transcript_39256.0, Transcript_40086.0, Transcript_40345.0, Transcript_40680.0, Transcript_48636.0, Transcript_48719.0, Transcript_49165.0, Transcript_51029.0, Transcript_52405.0, Transcript_54226.0, Transcript_55829.0, Transcript_56904.0, Transcript_57641.0, Transcript_58642.0, Transcript_59371.0, Transcript_60321.0, Transcript_61898.0, Transcript_64639.0, Transcript_65150.0, Transcript_65587.0, Transcript_66691.0, Transcript_67018.0, Transcript_69592.0, Transcript_69702.0, Transcript_70504.0, Transcript_70896.0, Transcript_71356.0, Transcript_72244.0, Transcript_74205.0, Transcript_74456.0, Transcript_77714.0, Transcript_78507.0, Transcript_79299.0, Transcript_80240.0, Transcript_80628.0, Transcript_81555.0, Transcript_82201.0, Transcript_83035.0, Transcript_85987.0, Transcript_91696.0, Transcript_94158.0, Transcript_94288.0, Transcript_94542.0, Transcript_95873.0, Transcript_95955.0, Transcript_97282.0, Transcript_97615.0, Transcript_99413.0
..GO:0033059	BP	e	cellular pigmentation	54/3319	300/59161	3.223308110242296e-14	2	54	1.0462858125846493e-10	1.0199131210079754e-10	7.726269540250784e-11	1.230924485393705e-13	Transcript_100813.0, Transcript_100890.0, Transcript_143179.0, Transcript_147674.0, Transcript_148614.0, Transcript_148677.0, Transcript_149019.0, Transcript_150799.0, Transcript_152435.0, Transcript_154241.0, Transcript_157887.0, Transcript_160488.0, Transcript_163886.0, Transcript_207663.0, Transcript_208040.0, Transcript_230743.0, Transcript_236196.0, Transcript_246814.0, Transcript_248573.0, Transcript_250288.0, Transcript_25443.0, Transcript_255148.0, Transcript_260618.0, Transcript_262299.0, Transcript_269273.0, Transcript_271009.0, Transcript_29019.0, Transcript_30141.0, Transcript_30769.0, Transcript_34712.0, Transcript_40086.0, Transcript_40345.0, Transcript_48636.0, Transcript_48719.0, Transcript_49165.0, Transcript_52405.0, Transcript_54226.0, Transcript_55829.0, Transcript_56904.0, Transcript_59371.0, Transcript_65150.0, Transcript_65587.0, Transcript_70504.0, Transcript_80240.0, Transcript_80628.0, Transcript_81555.0, Transcript_83035.0, Transcript_85987.0, Transcript_91696.0, Transcript_94158.0, Transcript_95955.0, Transcript_97282.0, Transcript_97615.0, Transcript_99413.0
