go	onto	in_study	in_population	depth	log2fc	fdr	n_genes	description	genes
GO:0007154	BP	3	9202	2	3.7304104222758503	4.593593913995662e-13	3	cell communication	['Transcript_10953.0', 'Transcript_212417.0', 'Transcript_5968.0']
GO:0007267	BP	3	9139	2	3.7204992783862325	4.565547053588936e-13	3	cell-cell signaling	['Transcript_10953.0', 'Transcript_212417.0', 'Transcript_5968.0']
GO:2001141	BP	4	11574	6	3.646241110664022	1.0369890963541487e-16	4	regulation of RNA biosynthetic process	['Transcript_15996.0', 'Transcript_217895.0', 'Transcript_219867.0', 'Transcript_86062.0']
GO:1903506	BP	4	11574	7	3.646241110664022	1.0369890963541487e-16	4	regulation of nucleic acid-templated transcription	['Transcript_15996.0', 'Transcript_217895.0', 'Transcript_219867.0', 'Transcript_86062.0']
GO:0006355	BP	4	11574	6	3.646241110664022	1.0369890963541487e-16	4	regulation of transcription, DNA-templated	['Transcript_15996.0', 'Transcript_217895.0', 'Transcript_219867.0', 'Transcript_86062.0']
GO:0006357	BP	4	11274	7	3.608353034034973	4.0094552219553263e-16	4	regulation of transcription by RNA polymerase II	['Transcript_15996.0', 'Transcript_217895.0', 'Transcript_219867.0', 'Transcript_86062.0']
GO:0099537	BP	3	8094	4	3.545315814842029	4.5967177014215043e-11	3	trans-synaptic signaling	['Transcript_10953.0', 'Transcript_212417.0', 'Transcript_5968.0']
GO:0099536	BP	3	8094	3	3.545315814842029	4.5967177014215043e-11	3	synaptic signaling	['Transcript_10953.0', 'Transcript_212417.0', 'Transcript_5968.0']
GO:0098916	BP	3	8089	5	3.5444243268071807	4.5967177014215043e-11	3	anterograde trans-synaptic signaling	['Transcript_10953.0', 'Transcript_212417.0', 'Transcript_5968.0']
GO:0007268	BP	3	8089	6	3.5444243268071807	4.5967177014215043e-11	3	chemical synaptic transmission	['Transcript_10953.0', 'Transcript_212417.0', 'Transcript_5968.0']
GO:0051960	BP	3	7550	5	3.4449396102724092	4.814506253321546e-10	3	regulation of nervous system development	['Transcript_209775.0', 'Transcript_215159.0', 'Transcript_217895.0']
GO:0050767	BP	3	7405	6	3.4169627013488157	6.642794534885885e-10	3	regulation of neurogenesis	['Transcript_209775.0', 'Transcript_215159.0', 'Transcript_217895.0']
GO:0019219	BP	5	12254	5	3.4066782229837282	4.566428732890035e-17	5	regulation of nucleobase-containing compound metabolic process	['Transcript_15996.0', 'Transcript_217895.0', 'Transcript_219867.0', 'Transcript_5968.0', 'Transcript_86062.0']
GO:0051252	BP	5	12137	5	3.392837329666543	1.0369890963541487e-16	5	regulation of RNA metabolic process	['Transcript_15996.0', 'Transcript_217895.0', 'Transcript_219867.0', 'Transcript_5968.0', 'Transcript_86062.0']
GO:0010629	BP	3	7140	6	3.364387040089068	2.1212887970984815e-09	3	negative regulation of gene expression	['Transcript_212417.0', 'Transcript_217895.0', 'Transcript_5968.0']
GO:0031324	BP	3	7104	5	3.3570945475227116	3.266179642634982e-09	3	negative regulation of cellular metabolic process	['Transcript_15996.0', 'Transcript_217895.0', 'Transcript_5968.0']
GO:0051172	BP	3	7051	5	3.346290846428644	3.119489075937377e-09	3	negative regulation of nitrogen compound metabolic process	['Transcript_15996.0', 'Transcript_217895.0', 'Transcript_5968.0']
GO:0048869	BP	6	14001	2	3.3359209338579054	1.1890713799983264e-19	6	cellular developmental process	['Transcript_11157.0', 'Transcript_209775.0', 'Transcript_212417.0', 'Transcript_215159.0', 'Transcript_217895.0', 'Transcript_5968.0']
GO:0023051	BP	5	11180	3	3.274345654736952	5.670760506418963e-15	5	regulation of signaling	['Transcript_11157.0', 'Transcript_212417.0', 'Transcript_220598.0', 'Transcript_223545.0', 'Transcript_5968.0']
GO:0010646	BP	5	11179	4	3.2742166064752363	5.670760506418963e-15	5	regulation of cell communication	['Transcript_11157.0', 'Transcript_212417.0', 'Transcript_220598.0', 'Transcript_223545.0', 'Transcript_5968.0']
GO:0032879	BP	3	6679	3	3.2680950800553044	1.5151443190287755e-08	3	regulation of localization	['Transcript_209775.0', 'Transcript_215159.0', 'Transcript_5968.0']
GO:0007166	BP	5	11016	3	3.2530259311413636	1.4273732817834352e-14	5	cell surface receptor signaling pathway	['Transcript_209775.0', 'Transcript_217895.0', 'Transcript_218429.0', 'Transcript_220598.0', 'Transcript_5968.0']
GO:1903508	BP	4	8730	8	3.2394071204105637	3.4972626431594616e-11	4	positive regulation of nucleic acid-templated transcription	['Transcript_15996.0', 'Transcript_217895.0', 'Transcript_219867.0', 'Transcript_86062.0']
GO:0045893	BP	4	8730	7	3.2394071204105637	3.4972626431594616e-11	4	positive regulation of transcription, DNA-templated	['Transcript_15996.0', 'Transcript_217895.0', 'Transcript_219867.0', 'Transcript_86062.0']
GO:1902680	BP	4	8730	7	3.2394071204105637	3.4972626431594616e-11	4	positive regulation of RNA biosynthetic process	['Transcript_15996.0', 'Transcript_217895.0', 'Transcript_219867.0', 'Transcript_86062.0']
GO:0045944	BP	4	8728	8	3.2390765682173686	3.4972626431594616e-11	4	positive regulation of transcription by RNA polymerase II	['Transcript_15996.0', 'Transcript_217895.0', 'Transcript_219867.0', 'Transcript_86062.0']
GO:0051641	BP	3	6513	2	3.231785192508906	3.305182911570478e-08	3	cellular localization	['Transcript_11157.0', 'Transcript_215159.0', 'Transcript_5968.0']
