# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_sidak	p_holm	p_fdr_bh	study_items
...GO:0001945	BP	e	lymph vessel development	9/873	112/59161	4.518762993361805e-05	3	9	0.1466790467645242	0.14298185311575878	0.10772730976174544	0.00016996413298322617	Transcript_1140.0, Transcript_233035.0, Transcript_241022.0, Transcript_255952.0, Transcript_28607.0, Transcript_76993.0, Transcript_78185.0, Transcript_88337.0, Transcript_96470.0
...GO:0007338	BP	e	single fertilization	3/873	15/59161	0.0012761734601448892	3	3	1.0	1.0	1.0	0.004231316702380297	Transcript_236603.0, Transcript_260563.0, Transcript_47486.0
..GO:0009566	BP	e	fertilization	3/873	15/59161	0.0012761734601448892	2	3	1.0	1.0	1.0	0.004231316702380297	Transcript_236603.0, Transcript_260563.0, Transcript_47486.0
....GO:0043902	BP	e	positive regulation of multi-organism process	3/873	17/59161	0.0018657925673697278	4	3	1.0	1.0	1.0	0.006062425098780917	Transcript_16260.0, Transcript_37737.0, Transcript_93766.0
.....GO:0062013	BP	e	positive regulation of small molecule metabolic process	3/873	19/59161	0.0026010516371654225	5	3	1.0	1.0	1.0	0.008261265767357105	Transcript_236603.0, Transcript_260563.0, Transcript_47486.0
......GO:1900542	BP	e	regulation of purine nucleotide metabolic process	3/873	19/59161	0.0026010516371654225	8	3	1.0	1.0	1.0	0.008261265767357105	Transcript_236603.0, Transcript_260563.0, Transcript_47486.0
.....GO:0006140	BP	e	regulation of nucleotide metabolic process	3/873	19/59161	0.0026010516371654225	7	3	1.0	1.0	1.0	0.008261265767357105	Transcript_236603.0, Transcript_260563.0, Transcript_47486.0
......GO:0009065	BP	e	glutamine family amino acid catabolic process	3/873	20/59161	0.003026710811349992	9	3	1.0	1.0	1.0	0.009557104371247155	Transcript_236603.0, Transcript_260563.0, Transcript_47486.0
GO:0008150	BP	p	biological_process	59/873	28185/59161	9.145123098922145e-158	0	59	2.9685069579101283e-154	2.8936827392286382e-154	2.9685069579101283e-154	2.9685069579101283e-154	Transcript_101937.0, Transcript_103374.0, Transcript_104590.0, Transcript_105238.0, Transcript_112853.0, Transcript_1140.0, Transcript_116902.0, Transcript_137150.0, Transcript_16260.0, Transcript_201017.0, Transcript_202000.0, Transcript_204923.0, Transcript_206667.0, Transcript_208877.0, Transcript_211385.0, Transcript_228560.0, Transcript_228657.0, Transcript_231314.0, Transcript_233035.0, Transcript_233423.0, Transcript_233740.0, Transcript_236603.0, Transcript_240041.0, Transcript_240057.0, Transcript_241022.0, Transcript_242124.0, Transcript_244934.0, Transcript_250052.0, Transcript_254981.0, Transcript_255952.0, Transcript_260133.0, Transcript_260563.0, Transcript_260829.0, Transcript_265558.0, Transcript_265999.0, Transcript_266508.0, Transcript_274841.0, Transcript_28607.0, Transcript_29564.0, Transcript_36537.0, Transcript_37460.0, Transcript_37737.0, Transcript_38255.0, Transcript_39393.0, Transcript_46577.0, Transcript_47486.0, Transcript_5436.0, Transcript_63677.0, Transcript_67212.0, Transcript_72118.0, Transcript_76993.0, Transcript_78185.0, Transcript_79772.0, Transcript_88337.0, Transcript_93766.0, Transcript_93998.0, Transcript_96470.0, Transcript_97566.0, Transcript_99732.0
.GO:0065007	BP	p	biological regulation	23/873	22985/59161	4.105409766839209e-148	1	23	1.332616010316007e-144	1.2990260766597497e-144	1.3322054693393233e-144	6.663080051580036e-145	Transcript_104590.0, Transcript_112853.0, Transcript_1140.0, Transcript_16260.0, Transcript_201017.0, Transcript_202000.0, Transcript_206667.0, Transcript_211385.0, Transcript_236603.0, Transcript_242124.0, Transcript_244934.0, Transcript_260133.0, Transcript_260563.0, Transcript_265999.0, Transcript_266508.0, Transcript_274841.0, Transcript_37737.0, Transcript_39393.0, Transcript_47486.0, Transcript_72118.0, Transcript_93766.0, Transcript_93998.0, Transcript_99732.0
