# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_sidak	p_holm	p_fdr_bh	study_items
...GO:0045137	BP	e	development of primary sexual characteristics	24/24	24/59161	1.844505157289664e-91	3	24	5.98726374056225e-88	5.836348705570053e-88	5.98726374056225e-88	1.19745274811245e-88	Transcript_10604.0, Transcript_119932.0, Transcript_12504.0, Transcript_125467.0, Transcript_125795.0, Transcript_128657.0, Transcript_13786.0, Transcript_13888.0, Transcript_191098.0, Transcript_197839.0, Transcript_202785.0, Transcript_203363.0, Transcript_205476.0, Transcript_215833.0, Transcript_228651.0, Transcript_240441.0, Transcript_25008.0, Transcript_273476.0, Transcript_284070.0, Transcript_29001.0, Transcript_5484.0, Transcript_5802.0, Transcript_88286.0, Transcript_96283.0
....GO:0061458	BP	e	reproductive system development	24/24	24/59161	1.844505157289664e-91	4	24	5.98726374056225e-88	5.836348705570053e-88	5.98726374056225e-88	1.19745274811245e-88	Transcript_10604.0, Transcript_119932.0, Transcript_12504.0, Transcript_125467.0, Transcript_125795.0, Transcript_128657.0, Transcript_13786.0, Transcript_13888.0, Transcript_191098.0, Transcript_197839.0, Transcript_202785.0, Transcript_203363.0, Transcript_205476.0, Transcript_215833.0, Transcript_228651.0, Transcript_240441.0, Transcript_25008.0, Transcript_273476.0, Transcript_284070.0, Transcript_29001.0, Transcript_5484.0, Transcript_5802.0, Transcript_88286.0, Transcript_96283.0
...GO:0048608	BP	e	reproductive structure development	24/24	24/59161	1.844505157289664e-91	3	24	5.98726374056225e-88	5.836348705570053e-88	5.98726374056225e-88	1.19745274811245e-88	Transcript_10604.0, Transcript_119932.0, Transcript_12504.0, Transcript_125467.0, Transcript_125795.0, Transcript_128657.0, Transcript_13786.0, Transcript_13888.0, Transcript_191098.0, Transcript_197839.0, Transcript_202785.0, Transcript_203363.0, Transcript_205476.0, Transcript_215833.0, Transcript_228651.0, Transcript_240441.0, Transcript_25008.0, Transcript_273476.0, Transcript_284070.0, Transcript_29001.0, Transcript_5484.0, Transcript_5802.0, Transcript_88286.0, Transcript_96283.0
...GO:0007548	BP	e	sex differentiation	24/24	24/59161	1.844505157289664e-91	3	24	5.98726374056225e-88	5.836348705570053e-88	5.98726374056225e-88	1.19745274811245e-88	Transcript_10604.0, Transcript_119932.0, Transcript_12504.0, Transcript_125467.0, Transcript_125795.0, Transcript_128657.0, Transcript_13786.0, Transcript_13888.0, Transcript_191098.0, Transcript_197839.0, Transcript_202785.0, Transcript_203363.0, Transcript_205476.0, Transcript_215833.0, Transcript_228651.0, Transcript_240441.0, Transcript_25008.0, Transcript_273476.0, Transcript_284070.0, Transcript_29001.0, Transcript_5484.0, Transcript_5802.0, Transcript_88286.0, Transcript_96283.0
....GO:0008406	BP	e	gonad development	24/24	24/59161	1.844505157289664e-91	4	24	5.98726374056225e-88	5.836348705570053e-88	5.98726374056225e-88	1.19745274811245e-88	Transcript_10604.0, Transcript_119932.0, Transcript_12504.0, Transcript_125467.0, Transcript_125795.0, Transcript_128657.0, Transcript_13786.0, Transcript_13888.0, Transcript_191098.0, Transcript_197839.0, Transcript_202785.0, Transcript_203363.0, Transcript_205476.0, Transcript_215833.0, Transcript_228651.0, Transcript_240441.0, Transcript_25008.0, Transcript_273476.0, Transcript_284070.0, Transcript_29001.0, Transcript_5484.0, Transcript_5802.0, Transcript_88286.0, Transcript_96283.0
..GO:0003006	BP	e	developmental process involved in reproduction	24/24	267/59161	1.7649322726949905e-57	2	24	5.728970157167939e-54	5.584565673049279e-54	5.720145495804464e-54	9.548283595279899e-55	Transcript_10604.0, Transcript_119932.0, Transcript_12504.0, Transcript_125467.0, Transcript_125795.0, Transcript_128657.0, Transcript_13786.0, Transcript_13888.0, Transcript_191098.0, Transcript_197839.0, Transcript_202785.0, Transcript_203363.0, Transcript_205476.0, Transcript_215833.0, Transcript_228651.0, Transcript_240441.0, Transcript_25008.0, Transcript_273476.0, Transcript_284070.0, Transcript_29001.0, Transcript_5484.0, Transcript_5802.0, Transcript_88286.0, Transcript_96283.0
....GO:0046545	BP	e	development of primary female sexual characteristics	11/24	11/59161	3.209508703222648e-39	4	11	1.0418065250660716e-35	1.0155467384593302e-35	1.039880819844138e-35	1.1575628056289686e-36	Transcript_119932.0, Transcript_12504.0, Transcript_125467.0, Transcript_125795.0, Transcript_205476.0, Transcript_228651.0, Transcript_273476.0, Transcript_5484.0, Transcript_5802.0, Transcript_88286.0, Transcript_96283.0
.....GO:0008585	BP	e	female gonad development	11/24	11/59161	3.209508703222648e-39	5	11	1.0418065250660716e-35	1.0155467384593302e-35	1.039880819844138e-35	1.1575628056289686e-36	Transcript_119932.0, Transcript_12504.0, Transcript_125467.0, Transcript_125795.0, Transcript_205476.0, Transcript_228651.0, Transcript_273476.0, Transcript_5484.0, Transcript_5802.0, Transcript_88286.0, Transcript_96283.0
....GO:0046660	BP	e	female sex differentiation	11/24	11/59161	3.209508703222648e-39	4	11	1.0418065250660716e-35	1.0155467384593302e-35	1.039880819844138e-35	1.1575628056289686e-36	Transcript_119932.0, Transcript_12504.0, Transcript_125467.0, Transcript_125795.0, Transcript_205476.0, Transcript_228651.0, Transcript_273476.0, Transcript_5484.0, Transcript_5802.0, Transcript_88286.0, Transcript_96283.0
.GO:0022414	BP	e	reproductive process	24/24	1713/59161	1.0305162132991614e-37	1	24	3.345055628369078e-34	3.260740119802763e-34	3.3357809824493856e-34	3.1279174942615366e-35	Transcript_10604.0, Transcript_119932.0, Transcript_12504.0, Transcript_125467.0, Transcript_125795.0, Transcript_128657.0, Transcript_13786.0, Transcript_13888.0, Transcript_191098.0, Transcript_197839.0, Transcript_202785.0, Transcript_203363.0, Transcript_205476.0, Transcript_215833.0, Transcript_228651.0, Transcript_240441.0, Transcript_25008.0, Transcript_273476.0, Transcript_284070.0, Transcript_29001.0, Transcript_5484.0, Transcript_5802.0, Transcript_88286.0, Transcript_96283.0
