Name	Classification	Specific_Tissue	Sex_Expression	Diff_Sex	log2_FC	Involved_in_Maturation	Involved_in_Growth
Transcript_27617.0	Others					False	False
Transcript_112090.0	Others				1.4417874790677594	False	False
Transcript_27615.0	Others					False	False
Transcript_276133.0	Others				0.012786052990562936	False	False
Transcript_239455.0	Others					False	False
Transcript_275878.0	Tissue Specific	Brain			1.51871073574669	False	False
Transcript_275845.0	Others				0.13655815951157593	False	False
Transcript_27578.0	Others					False	False
Transcript_275617.0	Others				2.1465330544474943	False	False
Transcript_275596.0	Others				1.315812610092838	False	False
Transcript_37087.0	Others					False	False
Transcript_275547.0	Others				0.6966748516005437	False	True
Transcript_275530.0	Others				1.280113739846482	False	False
Transcript_275503.0	Others					False	False
Transcript_275500.0	Others					False	False
Transcript_172327.0	Tissue Specific	Skin	Male			False	False
Transcript_275390.0	Others				0.4243744277583157	False	False
Transcript_27538.0	Tissue Specific	Skin	Female		1.4754265147129761	False	False
Transcript_17711.0	Tissue Specific	Brain	Female			False	False
Transcript_27527.0	Others					False	False
Transcript_49345.0	Tissue Specific	Gonad	Female			False	True
Transcript_63317.0	Tissue Specific	Lung	Male			False	False
Transcript_275256.0	Others				0.07713652802948856	False	True
Transcript_245020.0	Others					False	False
Transcript_53760.0	Others					False	False
Transcript_275190.0	Others				0.7532117191167403	False	False
Transcript_237125.0	Tissue Specific	Gonad	Male			False	False
Transcript_52324.0	Others					False	False
Transcript_27501.0	Tissue Specific	Lung				False	False
Transcript_96289.0	Others					False	False
Transcript_275006.0	Others				0.8479281871337083	False	False
Transcript_100031.0	Others					False	False
Transcript_48233.0	Others					False	False
Transcript_274846.0	Others				0.991312700365653	False	False
Transcript_274795.0	Others				0.958372797023366	False	True
Transcript_274770.0	Tissue Specific	Gonad	Female			False	True
Transcript_265316.0	Others				0.35265770521074996	False	False
Transcript_238659.0	Tissue Specific	Brain	Female			False	False
Transcript_56068.0	Others					False	False
Transcript_27475.0	Others					False	True
Transcript_47181.0	Tissue Specific	Skin	Female			False	False
Transcript_274747.0	Others				0.7998686274010929	False	False
Transcript_218334.0	Expressed in All				0.38674393892830705	False	False
Transcript_274664.0	Others					False	False
Transcript_236514.0	Others					False	False
Transcript_274613.0	Others				1.3326650802961302	False	False
Transcript_45313.0	Tissue Specific	Gonad	Female			False	True
Transcript_286487.0	Tissue Specific	Muscle				False	False
Transcript_274600.0	Others				0.21849635976864648	False	False
Transcript_274596.0	Others				0.7655786539779642	False	False
Transcript_274590.0	Others				1.1418558987705387	False	False
Transcript_225336.0	Tissue Specific	Brain	Male			False	False
Transcript_274589.0	Expressed in All				0.29718632068715306	False	False
Transcript_274587.0	Tissue Specific	Skin	Male			False	False
Transcript_263931.0	Others				0.2331277182340902	False	False
Transcript_274579.0	Others				0.3101425042049601	False	False
Transcript_263145.0	Others					False	True
Transcript_142892.0	Others					False	False
Transcript_88643.0	Others				1.776182418906147	False	False
Transcript_274575.0	Others					False	False
Transcript_274558.0	Others				1.0373905259089393	False	False
Transcript_274538.0	Tissue Specific	Gonad	Female			False	True
Transcript_271438.0	Tissue Specific	Gonad	Female			False	True
Transcript_274526.0	Others					False	True
Transcript_159575.0	Tissue Specific	Gonad	Female			False	True
Transcript_274520.0	Tissue Specific	Brain	Female			False	False
Transcript_274518.0	Tissue Specific	Gonad	Female			False	True
Transcript_62273.0	Tissue Specific	Brain	Male			False	False
Transcript_274511.0	Others				0.8514616103470704	False	False
Transcript_59742.0	Others					False	True
Transcript_274507.0	Others				0.6502790465338788	False	False
Transcript_274493.0	Others				0.5074613455796988	False	False
Transcript_99893.0	Others					False	False
Transcript_274490.0	Others				1.3797690671299416	False	False
Transcript_274479.0	Others				1.0460418602495156	False	False
Transcript_53621.0	Others					False	False
Transcript_274475.0	Others			Female	2.745884610392466	False	False
Transcript_281509.0	Others				0.4222580565876271	False	False
Transcript_274457.0	Others				1.9870842915120248	False	False
Transcript_274456.0	Others				0.3028912260291518	False	False
Transcript_229243.0	Others					False	True
Transcript_274442.0	Others				1.086529136885128	False	False
Transcript_231185.0	Others					False	True
Transcript_88514.0	Tissue Specific	Skin	Female			False	False
Transcript_274437.0	Others					False	False
Transcript_274426.0	Others					False	False
Transcript_274422.0	Tissue Specific	Brain	Male			False	False
Transcript_274415.0	Others				2.437881716078281	False	False
Transcript_274408.0	Others				0.6729488715975767	False	False
Transcript_227962.0	Others				1.9829205169409696	False	False
Transcript_128685.0	Others			Female	3.0699963478987145	False	False
Transcript_274399.0	Expressed in All				0.4775682252615533	False	False
Transcript_90116.0	Others					False	False
Transcript_274394.0	Others				2.180424180065051	False	False
Transcript_274389.0	Others				0.7049341108177599	False	False
Transcript_101885.0	Others				0.7279385134756396	False	False
Transcript_274358.0	Tissue Specific	Skin	Female		2.068594554043782	False	False
Transcript_70469.0	Tissue Specific	Brain	Male			False	False
Transcript_274350.0	Others				1.062703899673442	False	False
Transcript_162580.0	Tissue Specific	Skin	Female			False	False
Transcript_162587.0	Others					False	True
Transcript_274346.0	Others				0.23039553689375222	False	False
Transcript_274345.0	Tissue Specific	Muscle			1.6050186432921945	False	False
Transcript_84624.0	Others					False	False
Transcript_209967.0	Others				1.1239171256234872	False	False
Transcript_274333.0	Tissue Specific	Brain	Male	Male	3.220803095811115	False	False
Transcript_152598.0	Tissue Specific	Brain				False	False
Transcript_160367.0	Others					False	False
Transcript_85186.0	Tissue Specific	Brain				False	False
Transcript_274321.0	Others				0.22136136345024005	False	True
Transcript_96257.0	Others					False	True
Transcript_258024.0	Tissue Specific	Lung				False	False
Transcript_153319.0	Others					False	False
Transcript_274302.0	Others				1.9530852895905662	False	False
Transcript_85288.0	Others					False	False
Transcript_274287.0	Others				1.7201815870456187	False	False
Transcript_75065.0	Tissue Specific	Skin	Female			False	False
Transcript_274279.0	Tissue Specific	Gonad	Female			False	False
Transcript_274270.0	Others				0.7215500245976438	False	False
Transcript_27427.0	Others					False	False
Transcript_153739.0	Others					False	True
Transcript_274256.0	Tissue Specific	Lung				False	False
Transcript_269073.0	Others					False	False
