# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_sidak	p_holm	p_fdr_bh	study_items
........GO:0033522	BP	e	histone H2A ubiquitination	2/256	14/59161	0.0016400150173719607	11	2	1.0	1.0	1.0	0.009696700813095418	Transcript_10586.0, Transcript_15996.0
.......GO:0016574	BP	e	histone ubiquitination	2/256	20/59161	0.0033661111529402557	10	2	1.0	1.0	1.0	0.01944198719296098	Transcript_10586.0, Transcript_15996.0
......GO:0043363	BP	e	nucleate erythrocyte differentiation	2/256	24/59161	0.00483435199964426	6	2	1.0	1.0	1.0	0.027434102431547674	Transcript_11157.0, Transcript_5968.0
...GO:0015980	BP	e	energy derivation by oxidation of organic compounds	3/256	87/59161	0.006495549033533836	4	3	1.0	1.0	1.0	0.03616561262924671	Transcript_219287.0, Transcript_288197.0, Transcript_5968.0
GO:0008150	BP	p	biological_process	31/256	28185/59161	6.0311359942309285e-34	0	31	1.9577067437273593e-30	1.9083607662431055e-30	1.9577067437273593e-30	1.9577067437273593e-30	Transcript_101139.0, Transcript_10586.0, Transcript_10656.0, Transcript_10953.0, Transcript_11157.0, Transcript_12318.0, Transcript_15996.0, Transcript_16839.0, Transcript_17471.0, Transcript_186108.0, Transcript_1973.0, Transcript_209622.0, Transcript_209775.0, Transcript_211209.0, Transcript_212417.0, Transcript_215159.0, Transcript_217895.0, Transcript_218429.0, Transcript_219251.0, Transcript_219287.0, Transcript_219303.0, Transcript_219867.0, Transcript_220598.0, Transcript_221763.0, Transcript_222064.0, Transcript_223545.0, Transcript_224200.0, Transcript_274399.0, Transcript_288197.0, Transcript_5968.0, Transcript_86062.0
.GO:0065007	BP	p	biological regulation	19/256	22985/59161	1.062762884318899e-30	1	19	3.449728322499146e-27	3.362774432865642e-27	3.4486655596148275e-27	1.724864161249573e-27	Transcript_10586.0, Transcript_10656.0, Transcript_10953.0, Transcript_11157.0, Transcript_15996.0, Transcript_17471.0, Transcript_186108.0, Transcript_209775.0, Transcript_212417.0, Transcript_215159.0, Transcript_217895.0, Transcript_218429.0, Transcript_219867.0, Transcript_220598.0, Transcript_222064.0, Transcript_223545.0, Transcript_274399.0, Transcript_5968.0, Transcript_86062.0
.GO:0009987	BP	p	cellular process	28/256	25691/59161	6.641178110618829e-30	1	28	2.155726414706872e-26	2.1013891512412512e-26	2.1543981790847482e-26	7.185754715689573e-27	Transcript_101139.0, Transcript_10586.0, Transcript_10656.0, Transcript_10953.0, Transcript_11157.0, Transcript_12318.0, Transcript_15996.0, Transcript_16839.0, Transcript_17471.0, Transcript_186108.0, Transcript_1973.0, Transcript_209622.0, Transcript_209775.0, Transcript_211209.0, Transcript_212417.0, Transcript_215159.0, Transcript_217895.0, Transcript_218429.0, Transcript_219251.0, Transcript_219287.0, Transcript_219303.0, Transcript_219867.0, Transcript_220598.0, Transcript_223545.0, Transcript_224200.0, Transcript_274399.0, Transcript_288197.0, Transcript_5968.0
..GO:0050789	BP	p	regulation of biological process	17/256	21352/59161	2.1360333807462308e-28	2	17	6.933564353902265e-25	6.758796855353497e-25	6.927156253760026e-25	1.7333910884755661e-25	Transcript_10586.0, Transcript_10656.0, Transcript_11157.0, Transcript_15996.0, Transcript_17471.0, Transcript_186108.0, Transcript_209775.0, Transcript_212417.0, Transcript_215159.0, Transcript_217895.0, Transcript_218429.0, Transcript_219867.0, Transcript_220598.0, Transcript_223545.0, Transcript_274399.0, Transcript_5968.0, Transcript_86062.0
.GO:0032502	BP	p	developmental process	13/256	18943/59161	3.209775372269094e-26	1	13	1.0418930858385479e-22	1.0156311173800336e-22	1.0406091756896402e-22	1.7193209174298907e-23	Transcript_10586.0, Transcript_10656.0, Transcript_11157.0, Transcript_186108.0, Transcript_1973.0, Transcript_209775.0, Transcript_212417.0, Transcript_215159.0, Transcript_217895.0, Transcript_220598.0, Transcript_221763.0, Transcript_274399.0, Transcript_5968.0
..GO:0048856	BP	p	anatomical structure development	11/256	18120/59161	3.2741882927006307e-26	2	11	1.0628015198106248e-22	1.036012533137905e-22	1.0611644256642743e-22	1.7193209174298907e-23	Transcript_10656.0, Transcript_11157.0, Transcript_186108.0, Transcript_1973.0, Transcript_209775.0, Transcript_215159.0, Transcript_217895.0, Transcript_220598.0, Transcript_221763.0, Transcript_274399.0, Transcript_5968.0
...GO:0050794	BP	p	regulation of cellular process	17/256	20436/59161	3.707716088111286e-26	3	17	1.2035246422009233e-22	1.1731885869740216e-22	1.2013000125480566e-22	1.7193209174298907e-23	Transcript_10586.0, Transcript_10656.0, Transcript_11157.0, Transcript_15996.0, Transcript_17471.0, Transcript_186108.0, Transcript_209775.0, Transcript_212417.0, Transcript_215159.0, Transcript_217895.0, Transcript_218429.0, Transcript_219867.0, Transcript_220598.0, Transcript_223545.0, Transcript_274399.0, Transcript_5968.0, Transcript_86062.0
...GO:0048513	BP	p	animal organ development	8/256	15868/59161	4.522907944483663e-24	3	8	1.468135918779397e-20	1.4311300688358157e-20	1.4649698832182585e-20	1.8351698984742463e-21	Transcript_10656.0, Transcript_11157.0, Transcript_186108.0, Transcript_1973.0, Transcript_215159.0, Transcript_217895.0, Transcript_220598.0, Transcript_5968.0
.GO:0032501	BP	p	multicellular organismal process	5/256	14407/59161	5.679842267643569e-24	1	5	1.8436768000771025e-20	1.79720506259326e-20	1.8391329262629875e-20	2.048529777863447e-21	Transcript_186108.0, Transcript_215159.0, Transcript_217895.0, Transcript_218429.0, Transcript_5968.0
...GO:0048731	BP	p	system development	7/256	14936/59161	5.982763781613383e-23	3	7	1.942005123511704e-19	1.8930549212374558e-19	1.936620636108252e-19	1.942005123511704e-20	Transcript_10656.0, Transcript_11157.0, Transcript_215159.0, Transcript_217895.0, Transcript_220598.0, Transcript_221763.0, Transcript_5968.0
..GO:0048869	BP	p	cellular developmental process	6/256	14001/59161	4.029508681448426e-22	2	6	1.307978517998159e-18	1.2750095972413465e-18	1.3039490093167106e-18	1.1890713799983264e-19	Transcript_11157.0, Transcript_209775.0, Transcript_212417.0, Transcript_215159.0, Transcript_217895.0, Transcript_5968.0
..GO:0003008	BP	p	system process	1/256	10766/59161	5.5030668757739875e-21	2	1	1.7862955078762363e-17	1.7412701238679765e-17	1.780242134312885e-17	1.4885795898968636e-18	Transcript_217895.0
..GO:0007165	BP	p	signal transduction	9/256	14803/59161	1.1978925353078826e-20	4	9	3.888359169609387e-17	3.7903491460708677e-17	3.8739844591856925e-17	2.991045515084144e-18	Transcript_11157.0, Transcript_186108.0, Transcript_209775.0, Transcript_212417.0, Transcript_217895.0, Transcript_218429.0, Transcript_220598.0, Transcript_223545.0, Transcript_5968.0
