Name	Classification	Specific_Tissue	Specific_Sex
Transcript_27617.0	Others		
Transcript_112090.0	Others		
Transcript_27615.0	Others		
Transcript_276133.0	Others		
Transcript_239455.0	Others		
Transcript_275878.0	Tissue Specific	Brain	
Transcript_275845.0	Others		
Transcript_27578.0	Others		
Transcript_275617.0	Others		
Transcript_275596.0	Others		
Transcript_37087.0	Others		
Transcript_275547.0	Others		
Transcript_275530.0	Others		
Transcript_275503.0	Others		
Transcript_275500.0	Others		
Transcript_172327.0	Tissue Specific	Skin	
Transcript_275390.0	Others		
Transcript_27538.0	Tissue Specific	Skin	
Transcript_17711.0	Tissue Specific	Brain	
Transcript_27527.0	Others		
Transcript_49345.0	Tissue Specific	Gonad	Female
Transcript_63317.0	Tissue Specific	Lung	Male
Transcript_275256.0	Others		
Transcript_245020.0	Others		
Transcript_53760.0	Others		
Transcript_275190.0	Others		
Transcript_237125.0	Tissue Specific	Gonad	
Transcript_52324.0	Others		
Transcript_27501.0	Tissue Specific	Lung	
Transcript_96289.0	Others		
Transcript_275006.0	Others		
Transcript_100031.0	Others		
Transcript_48233.0	Others		
Transcript_274846.0	Others		
Transcript_274795.0	Others		
Transcript_274770.0	Tissue Specific	Gonad	
Transcript_265316.0	Others		
Transcript_238659.0	Tissue Specific	Brain	Female
Transcript_56068.0	Others		
Transcript_27475.0	Others		
Transcript_47181.0	Tissue Specific	Skin	
Transcript_274747.0	Others		
Transcript_218334.0	Expressed in All		
Transcript_274664.0	Others		
Transcript_236514.0	Others		
Transcript_274613.0	Others		
Transcript_45313.0	Tissue Specific	Gonad	Female
Transcript_286487.0	Tissue Specific	Muscle	
Transcript_274600.0	Others		
Transcript_274596.0	Others		
Transcript_274590.0	Others		
Transcript_225336.0	Tissue Specific	Brain	Male
Transcript_274589.0	Expressed in All		
Transcript_274587.0	Tissue Specific	Skin	
Transcript_263931.0	Others		
Transcript_274579.0	Others		
Transcript_263145.0	Others		
Transcript_142892.0	Others		
Transcript_88643.0	Others		
Transcript_274575.0	Others		
Transcript_274558.0	Others		
Transcript_274538.0	Tissue Specific	Gonad	
Transcript_271438.0	Tissue Specific	Gonad	Female
Transcript_274526.0	Others		
Transcript_159575.0	Tissue Specific	Gonad	Female
Transcript_274520.0	Tissue Specific	Brain	Female
Transcript_274518.0	Tissue Specific	Gonad	Female
Transcript_62273.0	Tissue Specific	Brain	
Transcript_274511.0	Others		
Transcript_59742.0	Others		
Transcript_274507.0	Others		
Transcript_274493.0	Others		
Transcript_99893.0	Others		
Transcript_274490.0	Others		
Transcript_274479.0	Others		
Transcript_53621.0	Others		
Transcript_274475.0	Others		
Transcript_281509.0	Others		
Transcript_274457.0	Others		
Transcript_274456.0	Others		
Transcript_229243.0	Others		
Transcript_274442.0	Others		
Transcript_231185.0	Others		
Transcript_88514.0	Tissue Specific	Skin	
Transcript_274437.0	Others		
Transcript_274426.0	Others		
Transcript_274422.0	Tissue Specific	Brain	Male
Transcript_274415.0	Others		
Transcript_274408.0	Others		
Transcript_227962.0	Others		
Transcript_128685.0	Others		
Transcript_274399.0	Expressed in All		
Transcript_90116.0	Others		
Transcript_274394.0	Others		
Transcript_274389.0	Others		
Transcript_101885.0	Others		
Transcript_274358.0	Tissue Specific	Skin	
Transcript_70469.0	Tissue Specific	Brain	
Transcript_274350.0	Others		
Transcript_162580.0	Tissue Specific	Skin	
Transcript_162587.0	Others		
Transcript_274346.0	Others		
Transcript_274345.0	Tissue Specific	Muscle	
Transcript_84624.0	Others		
Transcript_209967.0	Others		
Transcript_274333.0	Tissue Specific	Brain	
Transcript_152598.0	Tissue Specific	Brain	
Transcript_160367.0	Others		
Transcript_85186.0	Tissue Specific	Brain	
Transcript_274321.0	Others		
Transcript_96257.0	Others		
Transcript_258024.0	Tissue Specific	Lung	
Transcript_153319.0	Others		
Transcript_274302.0	Others		
Transcript_85288.0	Others		
Transcript_274287.0	Others		
Transcript_75065.0	Tissue Specific	Skin	
Transcript_274279.0	Tissue Specific	Gonad	
Transcript_274270.0	Others		
Transcript_27427.0	Others		
Transcript_153739.0	Others		
Transcript_274256.0	Tissue Specific	Lung	
Transcript_269073.0	Others		
Transcript_196989.0	Others		
Transcript_27425.0	Others		
Transcript_274242.0	Others		
Transcript_36063.0	Others		
Transcript_272383.0	Others		
Transcript_43161.0	Others		
Transcript_274227.0	Others		
Transcript_274217.0	Others		
Transcript_274207.0	Others		
Transcript_27420.0	Others		
Transcript_101178.0	Tissue Specific	Gonad	Female
Transcript_274159.0	Others		
Transcript_239695.0	Others		
Transcript_274156.0	Others		
Transcript_274135.0	Tissue Specific	Brain	
Transcript_209790.0	Others		
Transcript_274133.0	Others		
Transcript_274397.0	Others		
Transcript_274114.0	Expressed in All		
Transcript_24023.0	Others		
Transcript_37433.0	Others		
Transcript_46889.0	Others		
Transcript_62780.0	Others		
Transcript_274112.0	Others		
Transcript_264102.0	Others		
Transcript_274109.0	Others		
Transcript_236389.0	Tissue Specific	Liver	
Transcript_84352.0	Others		
Transcript_274106.0	Others		
Transcript_81188.0	Others		
Transcript_274105.0	Others		
Transcript_232677.0	Others		
Transcript_274101.0	Tissue Specific	Liver	
Transcript_274100.0	Others		
Transcript_150847.0	Others		
Transcript_198144.0	Others		
Transcript_274082.0	Others		
Transcript_76728.0	Others		
Transcript_274080.0	Tissue Specific	Skin	
Transcript_27468.0	Others		
Transcript_274079.0	Others		
Transcript_23534.0	Others		
Transcript_274078.0	Others		
Transcript_41186.0	Others		
Transcript_274077.0	Others		
Transcript_85987.0	Tissue Specific	Skin	
Transcript_274076.0	Others		
Transcript_274073.0	Others		
Transcript_201467.0	Tissue Specific	Gonad	Female
Transcript_27407.0	Tissue Specific	Brain	Male
Transcript_47793.0	Others		
Transcript_266182.0	Others		
Transcript_228870.0	Others		
Transcript_274039.0	Tissue Specific	Brain	
Transcript_79499.0	Others		
Transcript_274034.0	Others		
Transcript_274027.0	Others		
Transcript_5349.0	Others		
Transcript_5905.0	Others		
Transcript_258869.0	Others		
Transcript_31590.0	Tissue Specific	Gonad	
Transcript_274015.0	Others		
Transcript_27399.0	Others		
Transcript_70795.0	Others		
Transcript_274274.0	Tissue Specific	Brain	
Transcript_26501.0	Others		
Transcript_197171.0	Others		
Transcript_273963.0	Others		
Transcript_95114.0	Tissue Specific	Brain	
Transcript_273961.0	Others		
Transcript_29761.0	Others		
Transcript_273926.0	Others		
Transcript_273916.0	Others		
Transcript_27604.0	Others		
Transcript_273905.0	Tissue Specific	Brain	
Transcript_273898.0	Others		
Transcript_237670.0	Others		
Transcript_273891.0	Others		
Transcript_83899.0	Others		
Transcript_273887.0	Others		
Transcript_53745.0	Tissue Specific	Muscle	
Transcript_273882.0	Others		
Transcript_274451.0	Others		
Transcript_273878.0	Tissue Specific	Brain	
Transcript_273870.0	Others		
Transcript_264360.0	Tissue Specific	Kidney	
Transcript_18281.0	Tissue Specific	Brain	
Transcript_193405.0	Others		
Transcript_153834.0	Others		
Transcript_273822.0	Others		
Transcript_269958.0	Tissue Specific	Brain	
Transcript_273814.0	Tissue Specific	Brain	
Transcript_256054.0	Tissue Specific	Gonad	Female
Transcript_273802.0	Others		
Transcript_23971.0	Others		
Transcript_27380.0	Others		
Transcript_75935.0	Tissue Specific	Muscle	
Transcript_27378.0	Tissue Specific	Kidney	
Transcript_234855.0	Others		
Transcript_273751.0	Tissue Specific	Brain	
Transcript_273747.0	Others		
Transcript_246065.0	Others		
Transcript_273739.0	Others		
Transcript_273734.0	Others		
Transcript_143653.0	Others		
Transcript_273731.0	Others		
Transcript_272987.0	Others		
Transcript_273714.0	Others		
Transcript_273708.0	Others		
Transcript_237837.0	Others		
Transcript_59396.0	Others		
Transcript_273686.0	Others		
Transcript_41230.0	Others		
Transcript_43763.0	Others		
Transcript_273682.0	Tissue Specific	Brain	
Transcript_241564.0	Others		
Transcript_244626.0	Others		
Transcript_273679.0	Others		
Transcript_47304.0	Tissue Specific	Gonad	Female
Transcript_273669.0	Others		
Transcript_273666.0	Others		
Transcript_62842.0	Tissue Specific	Skin	
Transcript_273661.0	Others		
Transcript_273660.0	Tissue Specific	Brain	
Transcript_54334.0	Others		
Transcript_273658.0	Others		
Transcript_273644.0	Others		
Transcript_273627.0	Others		
Transcript_245647.0	Tissue Specific	Skin	
Transcript_273623.0	Others		
Transcript_85039.0	Others		
Transcript_79102.0	Tissue Specific	Brain	
Transcript_273615.0	Others		
Transcript_273607.0	Others		
Transcript_273600.0	Others		
Transcript_273599.0	Others		
Transcript_191207.0	Others		
Transcript_273595.0	Tissue Specific	Brain	
Transcript_242080.0	Others		
Transcript_161899.0	Tissue Specific	Brain	Male
