sequence_name	coding_score	classification
XR_379583.4	0.08025	noncoding
XR_003948015.1	0.11973	noncoding
XR_003956270.1	0.22611	noncoding
XR_003948152.1	0.38788	noncoding
XR_877116.3	0.13595	noncoding
XR_875095.2	0.08263	noncoding
XR_867578.3	0.15177	noncoding
XR_870602.3	0.23148	noncoding
XR_003954546.1	0.15143	noncoding
XR_001785462.2	0.16686	noncoding
XR_003956333.1	0.08653	noncoding
XR_003948014.1	0.05042	noncoding
XR_003951168.1	0.36074	noncoding
XR_867957.2	0.33623	noncoding
XR_003948013.1	0.30559	noncoding
XR_868957.2	0.62378	coding
XR_875096.3	0.21636	noncoding
XR_003947492.1	0.15792	noncoding
XR_874399.2	0.09848	noncoding
XR_003950181.1	0.30483	noncoding
XR_003946653.1	0.15315	noncoding
XR_003950628.1	0.56221	coding
XR_866185.3	0.28529	noncoding
XR_001780589.2	0.32706	noncoding
XR_381070.4	0.17940	noncoding
XR_003955312.1	0.11534	noncoding
XR_001780581.1	0.03002	noncoding
XR_376437.4	0.05930	noncoding
XR_003954588.1	0.19007	noncoding
XR_003952394.1	0.16569	noncoding
XR_003947747.1	0.08716	noncoding
XR_868598.3	0.06610	noncoding
XR_868455.3	0.17093	noncoding
XR_001780579.2	0.02996	noncoding
XR_001780578.2	0.02992	noncoding
XR_001780582.2	0.02993	noncoding
XR_001780586.2	0.02994	noncoding
XR_003956279.1	0.14371	noncoding
XR_878118.2	0.86053	coding
XR_001780588.2	0.03002	noncoding
XR_003953862.1	0.05202	noncoding
XR_003953056.1	0.18515	noncoding
XR_003953050.1	0.18509	noncoding
XR_003953058.1	0.18533	noncoding
XR_003953054.1	0.18500	noncoding
XR_003953059.1	0.18518	noncoding
XR_003953061.1	0.06197	noncoding
XR_003947365.1	0.13892	noncoding
XR_003953064.1	0.20488	noncoding
XR_003953060.1	0.18569	noncoding
XR_003953057.1	0.18518	noncoding
XR_003953062.1	0.18575	noncoding
XR_003953065.1	0.18585	noncoding
XR_003953066.1	0.24214	noncoding
XR_003953068.1	0.05338	noncoding
XR_003947366.1	0.13805	noncoding
NR_131212.1	0.20287	noncoding
XR_376221.4	0.21527	noncoding
XR_385148.4	0.32822	noncoding
XR_003954578.1	0.21751	noncoding
XR_873236.2	0.06457	noncoding
XR_001780668.2	0.37860	noncoding
XR_003953070.1	0.16939	noncoding
XR_001780580.2	0.15629	noncoding
XR_871645.3	0.11546	noncoding
XR_001779765.1	0.02850	noncoding
XR_003947364.1	0.13903	noncoding
XR_383734.4	0.13372	noncoding
XR_377679.3	0.53730	coding
XR_003953053.1	0.19415	noncoding
XR_001778538.2	0.13574	noncoding
XR_003953038.1	0.04961	noncoding
XR_003954459.1	0.10260	noncoding
XR_003953052.1	0.19436	noncoding
XR_003955826.1	0.07647	noncoding
XR_377840.3	0.11802	noncoding
XR_377838.3	0.11987	noncoding
XR_003947368.1	0.13934	noncoding
XR_377839.3	0.26548	noncoding
XR_003953055.1	0.19450	noncoding
XR_390698.3	0.19307	noncoding
XR_003953067.1	0.19465	noncoding
XR_003952273.1	0.07073	noncoding
XR_003951958.1	0.47356	noncoding
XR_003947363.1	0.13645	noncoding
XR_003947558.1	0.07680	noncoding
XR_003955431.1	0.31930	noncoding
XR_003950281.1	0.32196	noncoding
XR_377032.3	0.37818	noncoding
XR_001781926.2	0.16408	noncoding
XR_003947379.1	0.11758	noncoding
XR_003947377.1	0.11751	noncoding
XR_003947791.1	0.21789	noncoding
XR_867740.2	0.16671	noncoding
XR_003954573.1	0.39203	noncoding
XR_003947793.1	0.21642	noncoding
XR_376219.3	0.53402	coding
XR_003952587.1	0.31186	noncoding
XR_376222.3	0.11783	noncoding
XR_376220.3	0.09864	noncoding
XR_376223.3	0.09299	noncoding
XR_001782436.2	0.04659	noncoding
XR_376224.3	0.30490	noncoding
XR_003955919.1	0.16017	noncoding
XR_872111.2	0.37584	noncoding
XR_003947771.1	0.09168	noncoding
XR_871333.2	0.55588	coding
XR_879314.3	0.14492	noncoding
XR_003951923.1	0.23765	noncoding
XR_001781703.2	0.45674	noncoding
XR_001781015.2	0.06873	noncoding
XR_001785455.2	0.25669	noncoding
XR_001778780.2	0.16753	noncoding
XR_869027.3	0.25743	noncoding
XR_003947381.1	0.11986	noncoding
XR_379700.3	0.28904	noncoding
XR_379699.3	0.28942	noncoding
XR_003956289.1	0.25583	noncoding
XR_377589.4	0.25614	noncoding
XR_003947380.1	0.11997	noncoding
XR_378928.4	0.31476	noncoding
XR_003947792.1	0.21175	noncoding
XR_880678.2	0.22450	noncoding
XR_003950664.1	0.22754	noncoding
XR_880680.2	0.22470	noncoding
XR_003955770.1	0.40449	noncoding
XR_003947794.1	0.22005	noncoding
XR_001783345.2	0.04355	noncoding
XR_389596.3	0.14121	noncoding
XR_003951196.1	0.47019	noncoding
XR_878528.3	0.45887	noncoding
XR_001780584.2	0.03026	noncoding
XR_865377.3	0.20061	noncoding
XR_003946862.1	0.30079	noncoding
XR_003953842.1	0.27406	noncoding
XM_006516387.4	0.98979	coding
XR_001779422.2	0.42661	noncoding
XR_373443.3	0.05516	noncoding
XR_003955939.1	0.14816	noncoding
XR_003949783.1	0.74352	coding
XR_003953387.1	0.10332	noncoding
XR_003949008.1	0.48438	noncoding
XR_867747.2	0.40769	noncoding
XR_001780587.2	0.03013	noncoding
XR_878529.3	0.45261	noncoding
XR_003948681.1	0.09850	noncoding
XR_003955828.1	0.34073	noncoding
XR_003949784.1	0.74508	coding
XR_384978.3	0.21566	noncoding
XR_003948121.1	0.09102	noncoding
XR_003948122.1	0.09030	noncoding
XR_869305.3	0.19799	noncoding
XR_003950644.1	0.29467	noncoding
XR_003951960.1	0.46138	noncoding
XR_003953832.1	0.12299	noncoding
XR_001784582.2	0.14120	noncoding
XR_868417.3	0.16057	noncoding
XR_001783338.2	0.04542	noncoding
XR_003953069.1	0.16469	noncoding
XR_003953071.1	0.16442	noncoding
XR_001783336.2	0.04536	noncoding
XR_003954594.1	0.08732	noncoding
XR_003951144.1	0.05407	noncoding
XR_003948357.1	0.39818	noncoding
XR_003950645.1	0.29231	noncoding
XR_003953072.1	0.16525	noncoding
XR_003947557.1	0.05442	noncoding
XR_001783337.2	0.04562	noncoding
XR_001783353.2	0.04552	noncoding
XR_001783343.2	0.04510	noncoding
XR_001780600.1	0.20305	noncoding
XR_001783354.2	0.04547	noncoding
XR_870775.2	0.38737	noncoding
XR_003952586.1	0.31679	noncoding
XR_003953926.1	0.03044	noncoding
XR_003952925.1	0.03468	noncoding
XR_001783341.2	0.04539	noncoding
XR_003951195.1	0.05067	noncoding
XR_003948123.1	0.09689	noncoding
XR_001783869.2	0.50043	coding
XR_003951846.1	0.01353	noncoding
XR_878410.2	0.03800	noncoding
XR_001785456.2	0.25252	noncoding
XR_001783352.2	0.04594	noncoding
XR_001783339.2	0.04637	noncoding
XR_876914.3	0.09235	noncoding
XR_003948694.1	0.11655	noncoding
XR_003955771.1	0.39894	noncoding
XR_390555.4	0.07013	noncoding
XR_001783340.2	0.04526	noncoding
XR_001780709.2	0.16679	noncoding
XR_003955920.1	0.15151	noncoding
XR_003952870.1	0.16812	noncoding
XR_001783356.2	0.04619	noncoding
XR_001779728.2	0.04878	noncoding
XR_003947751.1	0.15567	noncoding
XR_001783365.2	0.04544	noncoding
XR_872608.3	0.05796	noncoding
XR_001783348.2	0.04632	noncoding
XR_001780583.2	0.05807	noncoding
XR_003952238.1	0.57992	coding
XR_869186.3	0.01428	noncoding
XR_001781655.2	0.16127	noncoding
XR_001778294.2	0.29278	noncoding
XR_003952893.1	0.48818	noncoding
XR_003952894.1	0.48786	noncoding
XR_870371.2	0.03544	noncoding
XR_001783367.2	0.04561	noncoding
XR_003951152.1	0.16410	noncoding
XR_003950703.1	0.16222	noncoding
XR_384360.4	0.23577	noncoding
XR_003952641.1	0.12367	noncoding
XR_377696.4	0.07932	noncoding
XR_001779425.2	0.07362	noncoding
XR_001778900.2	0.20201	noncoding
XR_877106.2	0.31795	noncoding
XR_003947841.1	0.00880	noncoding
XR_001778296.2	0.11682	noncoding
XR_003955754.1	0.18306	noncoding
XR_869796.3	0.02803	noncoding
XR_876176.2	0.33521	noncoding
XR_870456.2	0.34598	noncoding
XR_869109.3	0.07850	noncoding
XR_001779421.2	0.13017	noncoding
XR_003956303.1	0.07901	noncoding
XR_003953063.1	0.22247	noncoding
XR_003951847.1	0.01331	noncoding
XR_003956305.1	0.07926	noncoding
XR_385902.3	0.26667	noncoding
XR_003953051.1	0.03015	noncoding
XR_385103.4	0.01715	noncoding
XR_003948211.1	0.06993	noncoding
XR_003947798.1	0.17789	noncoding
XR_003955370.1	0.24829	noncoding
XR_003955064.1	0.34943	noncoding
XR_003951957.1	0.33651	noncoding
XR_003955065.1	0.34882	noncoding
XR_378532.3	0.38102	noncoding
XR_003952926.1	0.03612	noncoding
XR_003948154.1	0.06087	noncoding
XR_003955071.1	0.35473	noncoding
XR_001781753.2	0.13808	noncoding
XR_003955066.1	0.35252	noncoding
XR_003946767.1	0.17012	noncoding
XR_003948153.1	0.06045	noncoding
XR_001778295.2	0.36940	noncoding
XR_003951891.1	0.01722	noncoding
XR_876353.3	0.14001	noncoding
XR_003947367.1	0.36824	noncoding
XR_003955067.1	0.35097	noncoding
XR_871151.3	0.13225	noncoding
XR_003955069.1	0.35727	noncoding
XR_003955070.1	0.35334	noncoding
XR_003956273.1	0.14484	noncoding
XR_003956304.1	0.24101	noncoding
XR_001783342.2	0.04207	noncoding
XR_003951197.1	0.45014	noncoding
XR_881499.3	0.06751	noncoding
XR_003947431.1	0.17628	noncoding
XM_030254805.1	0.12400	noncoding
XR_003948695.1	0.11645	noncoding
XR_001783346.2	0.04223	noncoding
XR_866167.2	0.31032	noncoding
XR_003946881.1	0.58000	coding
XR_377697.4	0.08181	noncoding
XR_879795.3	0.02077	noncoding
XR_376014.3	0.16362	noncoding
XR_876354.3	0.10947	noncoding
XR_003947432.1	0.17637	noncoding
XR_866166.2	0.31049	noncoding
XR_003952374.1	0.19854	noncoding
XR_878081.2	0.12430	noncoding
XR_877109.2	0.10752	noncoding
XR_003952598.1	0.19944	noncoding
XR_865378.2	0.24566	noncoding
XR_003955075.1	0.32597	noncoding
XR_001783344.2	0.04104	noncoding
XR_001779658.2	0.33796	noncoding
XR_001779657.2	0.37344	noncoding
XR_003949038.1	0.04352	noncoding
XR_874229.3	0.10079	noncoding
NR_027651.2	0.14016	noncoding
XR_877488.3	0.20009	noncoding
XR_866169.2	0.30993	noncoding
XR_875611.2	0.04990	noncoding
XR_003951492.1	0.17484	noncoding
XR_003956274.1	0.14488	noncoding
XR_003952356.1	0.17905	noncoding
XR_877490.3	0.20049	noncoding
XR_866170.2	0.33064	noncoding
XR_379825.4	0.13138	noncoding
XR_001781651.2	0.17521	noncoding
XR_871152.3	0.13044	noncoding
XR_865382.2	0.24393	noncoding
XR_003951494.1	0.17420	noncoding
XR_374324.3	0.30188	noncoding
XR_003951493.1	0.17321	noncoding
XR_389343.2	0.19250	noncoding
XR_867490.3	0.36725	noncoding
XR_003951496.1	0.17375	noncoding
XR_003956369.1	0.04589	noncoding
XR_003953322.1	0.04589	noncoding
XR_003952872.1	0.32318	noncoding
XR_003952871.1	0.32205	noncoding
XR_003947470.1	0.12830	noncoding
XR_001782644.2	0.32210	noncoding
XR_865380.2	0.24376	noncoding
XR_003947371.1	0.13342	noncoding
XR_001783347.2	0.04062	noncoding
XR_875176.2	0.20449	noncoding
XR_878433.2	0.13998	noncoding
XR_003947801.1	0.17672	noncoding
XR_866172.2	0.30088	noncoding
XR_001783349.2	0.04306	noncoding
XR_003947797.1	0.06245	noncoding
XR_003948870.1	0.12617	noncoding
XR_003949009.1	0.01547	noncoding
XR_003947836.1	0.11482	noncoding
XR_003951619.1	0.01989	noncoding
XR_001783351.2	0.04322	noncoding
XR_003951622.1	0.01996	noncoding
XR_003953117.1	0.03348	noncoding
XR_001783350.2	0.04323	noncoding
XR_880740.3	0.06126	noncoding
XR_003951620.1	0.01991	noncoding
XR_003955750.1	0.49241	noncoding
XR_869023.2	0.17742	noncoding
XR_373557.4	0.42889	noncoding
XR_001778498.2	0.05328	noncoding
XR_001783369.2	0.04336	noncoding
XR_869112.3	0.09652	noncoding
XR_003956288.1	0.17758	noncoding
XR_003949624.1	0.14406	noncoding
NM_025335.3	0.10332	noncoding
XR_876409.3	0.06964	noncoding
XR_105045.5	0.08283	noncoding
XR_373558.4	0.43002	noncoding
XR_003946832.1	0.11268	noncoding
XR_003951621.1	0.01976	noncoding
XR_381325.3	0.13649	noncoding
XR_870477.3	0.05509	noncoding
XR_865384.2	0.24331	noncoding
XR_001778566.2	0.05518	noncoding
XR_001778560.2	0.04761	noncoding
XR_003949661.1	0.02093	noncoding
XR_872480.1	0.04666	noncoding
XR_878085.2	0.12135	noncoding
XR_003951497.1	0.07122	noncoding
XR_867944.3	0.12284	noncoding
XR_868972.2	0.03154	noncoding
XR_003950161.1	0.04481	noncoding
XR_001781022.2	0.11489	noncoding
XR_003947559.1	0.05525	noncoding
XR_001778565.2	0.05544	noncoding
XR_379060.3	0.17612	noncoding
XR_003955313.1	0.01965	noncoding
XR_383664.4	0.10532	noncoding
XR_872485.1	0.04670	noncoding
XR_872482.1	0.04664	noncoding
XR_871036.3	0.03725	noncoding
XR_003956357.1	0.14004	noncoding
XR_003954856.1	0.27257	noncoding
XR_872483.1	0.03157	noncoding
XR_881356.2	0.06757	noncoding
XR_003955314.1	0.02066	noncoding
XR_865939.3	0.08061	noncoding
XR_876696.2	0.11219	noncoding
XR_003955315.1	0.02106	noncoding
XR_872488.1	0.04736	noncoding
XR_881089.3	0.61856	coding
XR_875404.2	0.05009	noncoding
XR_003947552.1	0.04779	noncoding
XR_003948967.1	0.30318	noncoding
XR_003955755.1	0.18443	noncoding
XR_881092.3	0.60806	coding
XR_003951900.1	0.08827	noncoding
XR_003953491.1	0.08827	noncoding
XR_003951901.1	0.07893	noncoding
XR_003953492.1	0.07893	noncoding
XR_001785349.2	0.17814	noncoding
XR_003952895.1	0.50688	coding
XR_001780577.2	0.03690	noncoding
XR_865383.2	0.24494	noncoding
XR_001782255.2	0.38344	noncoding
XR_874872.3	0.10997	noncoding
XR_003947378.1	0.01495	noncoding
XR_867924.3	0.37249	noncoding
XR_003954583.1	0.02605	noncoding
XR_003951227.1	0.12873	noncoding
XR_003956284.1	0.06649	noncoding
XR_003947800.1	0.21825	noncoding
XR_001783801.2	0.03687	noncoding
XR_003949754.1	0.25690	noncoding
XR_003953342.1	0.25690	noncoding
XR_001782258.2	0.35952	noncoding
XR_003954602.1	0.33170	noncoding
